cancer_type	protein	Database_ID	adj_p	change
brca	ADAM28	ENSP00000265769.4	0.7508937398581782	
brca	ADAMDEC1	ENSP00000256412.4	0.8714149681518932	-0.07197892320534105
brca	AGPAT5	ENSP00000285518.6	0.0037069161328917946	-0.36159939213570647
brca	ANGPT2	ENSP00000314897.5	0.7949415700797743	-0.05535656783099535
brca	ARHGEF10	ENSP00000340297.3	0.022426153843236166	-0.213641793008652
brca	ASAH1	ENSP00000262097.6	0.26577765549778615	-0.17859944662967292
brca	ATP6V1B2	ENSP00000276390.2	0.03988102976218964	-0.12147524009308192
brca	BIN3	ENSP00000276416.6	0.057014524717158344	-0.20973437043934562
brca	BMP1	ENSP00000305714.5	0.9234566555053031	-0.02384460266994398
brca	BNIP3L	ENSP00000370003.2	0.022426153843236166	-0.3096640245797542
brca	CCAR2	ENSP00000310670.4	1.6140204160513227e-07	-0.3009304533220172
brca	CCDC25	ENSP00000348933.4	2.776036037940303e-06	-0.3450332658600045
brca	CDCA2	ENSP00000328228.3	0.6137860884782794	-0.10475711347520136
brca	CHMP7	ENSP00000324491.7	2.338638839952312e-06	-0.2924082006388471
brca	CLDN23	ENSP00000428780.1	0.7508937398581782	
brca	CLN8	ENSP00000328182.4	0.09631786221801922	
brca	CLU	ENSP00000315130.10	0.16005803473726993	-0.23234951238869228
brca	CNOT7	ENSP00000355279.4	0.03988102976218964	-0.12567377576873157
brca	CTSB	ENSP00000342070.3	0.8422085585090807	-0.037868698066568396
brca	DCTN6	ENSP00000221114.3	0.8852205928239377	-0.01714348273616885
brca	DEFA3	ENSP00000328359.2	0.09636022441369914	0.7708830232048998
brca	DEFA4	ENSP00000297435.2	0.9234566555053031	0.03803761616664075
brca	DEFA5	ENSP00000329890.2	0.3189803344922371	0.42029809089514253
brca	DEFB1	ENSP00000297439.3	0.1881655970427763	-0.5082681652880099
brca	DLC1	ENSP00000276297.4	0.6137860884782794	-0.08490684205761698
brca	DOCK5	ENSP00000276440.7	0.020036635772849604	-0.19878921969146768
brca	DOK2	ENSP00000276420.4	0.977045533720406	0.012120121622457375
brca	DPYSL2	ENSP00000427985.2	0.6173912417064987	-0.062440878818023404
brca	DUSP4	ENSP00000240100.2	0.044071125756581044	-0.42734741441614815
brca	ELP3	ENSP00000256398.8	0.014540225380077747	-0.139950097954632
brca	ENTPD4	ENSP00000351520.4	0.9904522664302834	
brca	EPHX2	ENSP00000430269.1	0.010943741256709386	-0.43136426382501336
brca	ERI1	ENSP00000250263.7	0.0047618644805636125	-0.2932699885928608
brca	ERICH1	ENSP00000262109.7	0.023904513457795564	-0.2554513898707155
brca	ESCO2	ENSP00000306999.8	0.47661341470594115	-0.19416314606668034
brca	FAM160B2	ENSP00000289921.6	2.9404126736573176e-05	-0.34427594329194655
brca	FAM167A	ENSP00000284486.4	0.8714149681518932	0.11971995350005989
brca	FDFT1	ENSP00000220584.4	0.022426153843236166	-0.4018171549254699
brca	FZD3	ENSP00000240093.3	0.9878268856575557	-0.04173025550877896
brca	GSR	ENSP00000221130.5	0.5752418302884561	-0.09261393257162331
brca	GTF2E2	ENSP00000348168.4	0.04044057543553956	-0.1442722364626269
brca	HMBOX1	ENSP00000287701.10	0.0005817880869752716	-0.5110496996783491
brca	HR	ENSP00000326765.8	0.3932861710709014	
brca	INTS10	ENSP00000381064.3	0.9929262527331094	0.0008430184999903834
brca	INTS9	ENSP00000398208.2	0.5768490849208465	-0.028180872064706625
brca	KBTBD11	ENSP00000321544.3	0.3189803344922371	-0.1145951471483106
brca	KCTD9	ENSP00000221200.4	0.1318330809564378	-0.14592613996461495
brca	KIF13B	ENSP00000427900.1	0.011770364246346404	-0.3323384034719472
brca	LOXL2	ENSP00000373783.3	0.7508937398581782	0.08749874653430033
brca	LPL	ENSP00000497642.1	0.899477113868666	
brca	LZTS1	ENSP00000265801.6	0.9878268856575557	0.005451227896316524
brca	MAK16	ENSP00000353246.5	0.26577765549778615	-0.1132869703568112
brca	MFHAS1	ENSP00000276282.6	0.6943928672098444	-0.09961632332840968
brca	MSR1	ENSP00000405453.2	0.9527468693288665	-0.014847315381289222
brca	MSRA	ENSP00000313921.4	0.03988102976218964	-0.18338401795183545
brca	MTMR9	ENSP00000221086.3	0.000886580777177101	-0.21144302900410705
