cancer_type	protein	Database_ID	adj_p	change
brca	A1BG	ENSP00000263100.2	0.98640684429775	-0.04735651757662329
brca	A2M	ENSP00000323929.8	0.9714223187820294	0.14515589486255803
brca	A2ML1	ENSP00000299698.7	0.98640684429775	0.17795338601626576
brca	AAAS	ENSP00000209873.4	0.960925728556645	0.12455195975915329
brca	AACS	ENSP00000324842.6	0.98640684429775	0.07438131547932703
brca	AADAT	ENSP00000226840.4	0.9918636372433203	
brca	AAGAB	ENSP00000261880.5	0.9939065353215062	0.006537127183229893
brca	AAK1	ENSP00000386456.3	0.9978806507619655	0.0009785620771247429
brca	AAMDC	ENSP00000377078.2	0.9725825542551231	-0.12257774155613144
brca	AAMP	ENSP00000416394.1	0.9935866774941133	-0.007554868186004551
brca	AAR2	ENSP00000313674.4	0.960925728556645	0.07559315318994878
brca	AARD	ENSP00000367528.3	0.9735504725638418	-0.24677598144886126
brca	AARS2	ENSP00000244571.4	0.9795840763450772	-0.04937069933456174
brca	AARSD1	ENSP00000400870.1	0.98640684429775	-0.060548849554255976
brca	AASDH	ENSP00000205214.6	0.9974448753338201	-0.006116931833113237
brca	AASDHPPT	ENSP00000278618.4	0.969103427663229	0.08955731991616354
brca	AASS	ENSP00000377040.1	0.960925728556645	-0.20488526852769667
brca	AATF	ENSP00000477848.1	0.969103427663229	0.0987919808179688
brca	AATK	ENSP00000324196.4	0.9808302956392215	0.19921679346735574
brca	ABAT	ENSP00000268251.8	0.9935866774941133	-0.022175933108659035
brca	ABCA1	ENSP00000363868.3	0.9909569590257785	0.04316928491287525
brca	ABCA12	ENSP00000272895.7	0.960925728556645	
brca	ABCA2	ENSP00000265662.5	0.9868925784115531	-0.05050653323995043
brca	ABCA3	ENSP00000301732.5	0.9918636372433203	0.041560545708046195
brca	ABCA4	ENSP00000359245.3	0.9714223187820294	-0.490384958869988
brca	ABCA6	ENSP00000284425.1	0.9714223187820294	0.25282097676080456
brca	ABCA8	ENSP00000402814.3	0.9714223187820294	-0.2169401680972287
brca	ABCB1	ENSP00000265724.3	0.960925728556645	-0.4248112562657005
brca	ABCB10	ENSP00000355637.3	0.960925728556645	-0.17766480257685377
brca	ABCB6	ENSP00000265316.3	0.9853888771495555	-0.07933717598676454
brca	ABCB8	ENSP00000297504.6	0.9877337774792375	0.0316151093110124
brca	ABCB9	ENSP00000280559.7	0.960925728556645	0.6891032882107578
brca	ABCC1	ENSP00000382342.3	0.9795840763450772	0.06686431629452257
brca	ABCC10	ENSP00000244533.3	0.9918636372433203	0.02908231360032379
brca	ABCC11	ENSP00000349017.2	0.9795840763450772	-0.14583495386385575
brca	ABCC3	ENSP00000285238.8	0.9918636372433203	0.03228989843409985
brca	ABCC4	ENSP00000494609.1	0.969103427663229	0.2001303967857329
brca	ABCC5	ENSP00000265586.6	0.9934025113198417	0.0208414705191403
brca	ABCD3	ENSP00000359233.4	0.9918636372433203	-0.03964746119690282
brca	ABCD4	ENSP00000349396.4	0.960925728556645	-0.3856429159338247
brca	ABCE1	ENSP00000296577.4	0.960925728556645	0.08617596586802578
brca	ABCF1	ENSP00000313603.8	0.98640684429775	0.030392422436398787
brca	ABCF3	ENSP00000411471.2	0.98640684429775	0.023096382806317234
brca	ABCG1	ENSP00000291524.4	0.9937671259561288	0.01498069464082541
brca	ABHD10	ENSP00000273359.3	0.98640684429775	-0.034961637678856336
