	event	proportion
C3L-00977	False	0.0
C3L-00987	True	1.0
C3L-00994	False	0.0
C3L-00995	False	0.0
C3L-00997	False	0.5594017938408712
C3L-00999	True	1.0
C3L-01138	False	0.0
C3L-01237	False	0.28871427099993435
C3L-02617	False	0.0
C3L-02621	False	0.0
C3L-02651	False	0.0
C3L-03378	False	0.0
C3L-04025	False	0.0
C3L-04354	False	0.0
C3L-04791	False	0.7675388401092851
C3L-04844	True	1.0
C3L-04849	True	0.8839599012091677
C3N-00204	False	0.4654192260588276
C3N-00295	False	0.0
C3N-00297	True	1.0
C3N-00299	False	0.33065128898180335
C3N-00306	False	0.4513614306041995
C3N-00307	False	0.0
C3N-00498	False	0.0
C3N-00519	False	0.0
C3N-00822	True	1.0
C3N-00825	False	0.0
C3N-00828	True	1.0
C3N-00829	False	0.5013527460076868
C3N-00846	False	0.0
C3N-00857	True	1.0
C3N-00871	True	1.0
C3N-01337	True	1.0
C3N-01338	False	0.772217769157401
C3N-01339	True	0.9849003018774709
C3N-01340	True	1.0
C3N-01620	True	1.0
C3N-01643	False	0.0
C3N-01645	False	0.0
C3N-01752	False	0.0
C3N-01754	False	0.7010562749408344
C3N-01755	False	0.24911763852255026
C3N-01756	False	0.35431570681339825
C3N-01757	True	1.0
C3N-01758	True	1.0
C3N-01858	True	1.0
C3N-01859	True	0.8401153087407663
C3N-01943	True	1.0
C3N-01944	True	0.9818080478654935
C3N-01945	False	0.0
C3N-01946	False	0.0
C3N-01947	True	1.0
C3N-01948	False	0.0
C3N-02275	False	0.0
C3N-02279	True	1.0
C3N-02333	False	0.0
C3N-02693	False	0.0
C3N-02694	False	0.0
C3N-02695	True	1.0
C3N-02700	False	0.0
C3N-02713	False	0.16545674729924978
C3N-02714	False	0.0
C3N-02716	False	0.0
C3N-02727	False	0.0
C3N-02730	False	0.0
C3N-02925	True	1.0
C3N-03008	True	1.0
C3N-03009	True	1.0
C3N-03011	False	0.0
C3N-03012	False	0.33509521867286324
C3N-03013	False	0.0
C3N-03015	False	0.0
C3N-03027	True	1.0
C3N-03028	False	0.7000151190138202
C3N-03042	True	1.0
C3N-03045	True	1.0
C3N-03226	False	0.0
C3N-03433	False	0.1716349080256674
C3N-03456	True	1.0
C3N-03457	True	0.8737614617880989
C3N-03458	False	0.0
C3N-03487	False	0.0
C3N-03488	True	1.0
C3N-03490	False	0.3068342124215966
C3N-03612	False	0.0
C3N-03619	False	0.0
C3N-03620	True	1.0
C3N-03664	True	1.0
C3N-03781	False	0.0
C3N-03782	True	1.0
C3N-03783	True	1.0
C3N-03785	False	0.0
C3N-03837	False	0.0
C3N-03841	False	0.0
C3N-03849	False	0.0
C3N-03876	True	0.8347396704453249
C3N-03878	False	0.0
C3N-03888	True	1.0
C3N-03889	False	0.0
C3N-03928	False	0.0
C3N-03933	False	0.21438572422590227
C3N-04152	False	0.0
C3N-04273	True	0.999767041734701
C3N-04275	False	0.0
C3N-04276	True	0.8495487867974618
C3N-04277	False	0.10906257683652583
C3N-04278	False	0.21079738535150264
C3N-04279	False	0.0
C3N-04280	True	1.0
C3N-04611	False	0.0
