	event	proportion
01CO001	True	1.0
01CO005	True	1.0
01CO006	False	0.0
01CO008	False	0.0
01CO013	True	0.9862050352573564
01CO014	False	0.0
01CO015	False	0.0
01CO019	False	0.005415308234754037
01CO022	False	0.0
05CO002	False	0.7381753837149805
05CO003	False	0.0
05CO005	False	0.6369859954845014
05CO006	False	0.0
05CO007	False	0.0
05CO011	True	1.0
05CO014	False	0.0
05CO015	False	0.0
05CO020	False	0.0
05CO026	False	0.34002900257538765
05CO028	False	0.0
05CO029	False	0.0
05CO032	False	0.0
05CO033	False	0.22665017494120737
05CO034	False	0.5401943025710874
05CO035	False	0.0
05CO037	False	0.0
05CO039	False	0.2602944983045213
05CO041	False	0.0
05CO044	False	0.0
05CO045	False	0.0
05CO047	True	1.0
05CO048	False	0.005415308234754037
05CO049	False	0.0
05CO050	False	0.0
05CO053	False	0.004664105208611476
05CO054	False	0.0
05CO055	True	1.0
06CO001	True	0.9985759270675044
06CO002	False	0.0
09CO005	False	0.0
09CO006	False	0.0
09CO008	True	0.9690269519479029
09CO011	False	0.0
09CO013	False	0.0
09CO014	False	0.0
09CO015	True	1.0
09CO018	False	0.22150370553194676
09CO019	False	0.00017576649288932348
09CO022	False	0.0
11CO005	False	0.0
11CO007	False	0.71395554487806
11CO008	True	1.0
11CO010	False	0.006839381167249602
11CO018	False	0.0
11CO019	False	0.0
11CO020	True	1.0
11CO021	True	1.0
11CO022	False	0.0
11CO027	False	0.0
11CO030	False	0.6586443578652166
11CO031	False	0.0
11CO032	True	1.0
11CO033	False	0.0
11CO036	False	0.7466511487229079
11CO037	True	0.9690269519479029
11CO039	True	0.9977545609721212
11CO042	True	0.8463982470162893
11CO043	True	0.8329655798530529
11CO044	True	0.9847267529354081
11CO045	True	0.8058474707869631
11CO047	False	0.0
11CO048	True	1.0
11CO051	False	0.0
11CO052	False	0.0
11CO053	True	0.8891096151944834
11CO054	False	0.0
11CO057	False	0.0
11CO058	False	0.0
11CO059	False	0.0
11CO060	True	1.0
11CO061	False	0.0
11CO062	False	0.0
11CO070	False	0.0
11CO072	True	0.8516775349500134
11CO077	False	0.0
11CO079	False	0.534187604123292
14CO002	False	0.0
14CO003	False	0.0
14CO005	True	1.0
15CO001	False	0.0
15CO002	True	0.9998242335071107
16CO002	False	0.0
16CO003	True	1.0
16CO006	False	0.0
16CO011	False	0.0
16CO012	False	0.005415308234754037
20CO001	False	0.0
20CO003	False	0.0
20CO004	True	0.9988846224909458
20CO007	False	0.0
21CO006	True	1.0
21CO007	True	0.891592979343076
22CO004	True	0.9968521568077802
22CO006	False	0.0
24CO005	False	0.0
27CO004	True	0.9690269519479029
