	event	proportion
C3L-00081	False	0.0
C3L-00415	False	0.0
C3L-00445	True	1.0
C3L-00568	False	0.0
C3L-00603	False	0.0
C3L-00904	False	0.0
C3L-00923	False	0.0
C3L-00927	False	0.7533381142849856
C3L-00965	False	0.0
C3L-00993	True	1.0
C3L-01000	False	0.0
C3L-01285	True	1.0
C3L-01455	False	0.0
C3L-01606	False	0.0
C3L-01663	True	1.0
C3L-01838	False	0.0
C3L-01884	True	1.0
C3L-02127	True	0.9587443913017005
C3L-02130	False	0.0
C3L-02163	False	0.19960079366520778
C3L-02164	False	0.0
C3L-02168	False	0.0
C3L-02170	False	0.0
C3L-02349	True	1.0
C3L-02358	False	0.0
C3L-02546	False	0.0
C3L-02552	False	0.0
C3L-02619	False	0.0
C3L-02624	True	0.9690269519479029
C3L-02625	False	0.0
C3L-02627	True	1.0
C3L-02629	False	0.0
C3L-02646	False	0.0
C3L-02648	False	0.0
C3L-02649	True	1.0
C3L-02650	False	0.0
C3L-02660	False	0.0
C3L-02665	True	1.0
C3L-02669	True	0.9690269519479029
C3L-02891	False	0.0
C3L-02951	False	0.0
C3L-02963	False	0.0
C3L-02964	False	0.0
C3L-02968	True	1.0
C3L-02969	False	0.009534283381405065
C3L-03272	False	0.0
C3L-03678	True	1.0
C3L-03961	False	0.0
C3L-03962	True	0.9674775681049618
C3L-03963	False	0.0
C3L-03965	True	1.0
C3L-04013	True	0.9951160210661442
C3L-04014	False	0.0
C3L-04071	False	0.0
C3L-04391	True	0.8291374695465507
C3N-00211	False	0.0
C3N-00221	False	0.1136972387934094
C3N-00247	False	0.0
C3N-00497	False	0.0
C3N-00555	True	1.0
C3N-01017	True	0.9926326569175514
C3N-01018	True	0.891592979343076
C3N-01020	False	0.0
C3N-01025	True	0.859592381825325
C3N-01028	False	0.0
C3N-01194	False	0.0
C3N-01411	True	1.0
C3N-01846	True	0.9690269519479029
C3N-01892	True	1.0
C3N-01893	False	0.0
C3N-02252	True	1.0
C3N-02283	False	0.7461307496247711
C3N-02284	True	1.0
C3N-02285	True	1.0
C3N-02288	False	0.0
C3N-02289	False	0.0
C3N-02300	True	1.0
C3N-02339	False	0.7775991897959602
C3N-02374	False	0.0
C3N-02375	False	0.3722571470415336
C3N-02425	True	0.9159349273138756
C3N-02426	False	0.0
C3N-02434	True	1.0
C3N-02435	False	0.0
C3N-02494	True	0.9998242335071107
C3N-02523	False	0.6289979493725153
C3N-02575	True	1.0
C3N-02675	False	0.0
C3N-03051	False	0.0
C3N-03072	False	0.6090387918968334
C3N-03076	False	0.7532273769782218
C3N-03092	False	0.0
C3N-03093	False	0.0
C3N-03204	True	0.9973495362364652
C3N-03424	False	0.0
C3N-03425	False	0.0
C3N-03441	False	0.0
C3N-03486	True	1.0
C3N-03662	True	0.9690269519479029
C3N-03848	False	0.0
C3N-03851	True	1.0
C3N-03875	False	0.0
C3N-03877	True	0.9975166358514073
C3N-03880	False	0.0
C3N-03882	True	0.891592979343076
C3N-03886	False	0.39717309626643593
C3N-04124	False	0.0
C3N-04127	False	0.0
C3N-04155	True	1.0
C3N-04162	False	0.0
