	event	proportion
C3L-00004	False	0.0
C3L-00010	False	0.0
C3L-00011	False	0.0
C3L-00026	False	0.0
C3L-00079	True	1.0
C3L-00088	False	0.0
C3L-00096	True	1.0
C3L-00097	False	0.0
C3L-00103	False	0.0
C3L-00183	False	0.0
C3L-00359	False	0.0
C3L-00360	False	0.0
C3L-00369	False	0.0
C3L-00416	False	0.0
C3L-00418	False	0.0
C3L-00447	False	0.0
C3L-00448	False	0.0
C3L-00561	True	0.9531070881019427
C3L-00581	False	0.0
C3L-00583	False	0.0
C3L-00606	False	0.0
C3L-00607	False	0.0
C3L-00610	False	0.0
C3L-00765	False	0.0
C3L-00766	False	0.0
C3L-00790	False	0.0
C3L-00791	False	0.0
C3L-00792	False	0.0
C3L-00796	False	0.0
C3L-00799	False	0.0
C3L-00800	False	0.0
C3L-00812	False	0.0
C3L-00813	False	0.0
C3L-00814	False	0.0
C3L-00817	False	0.0
C3L-00902	False	0.0
C3L-00907	False	0.0
C3L-00908	False	0.0
C3L-00910	False	0.0
C3L-00917	False	0.0
C3L-01281	False	0.0
C3L-01283	False	0.0
C3L-01286	False	0.0
C3L-01287	False	0.0
C3L-01288	False	0.0
C3L-01302	False	0.0
C3L-01313	True	1.0
C3L-01352	False	0.0
C3L-01553	False	0.0
C3L-01557	False	0.0
C3L-01560	False	0.0
C3L-01603	False	0.0
C3L-01607	False	0.0
C3L-01836	False	0.0
C3L-01861	False	0.0
C3L-01882	False	0.0
C3L-01885	False	0.0
C3N-00148	False	0.0
C3N-00149	False	0.0
C3N-00150	False	0.0
C3N-00154	False	0.16132648896757315
C3N-00168	False	0.0
C3N-00177	False	0.0
C3N-00194	False	0.0
C3N-00242	True	1.0
C3N-00244	False	0.0
C3N-00246	False	0.0
C3N-00305	False	0.0
C3N-00310	False	0.0
C3N-00312	False	0.0
C3N-00313	False	0.0
C3N-00314	False	0.0
C3N-00315	False	0.0
C3N-00317	False	0.0
C3N-00320	False	0.0
C3N-00380	False	0.0
C3N-00390	False	0.0
C3N-00435	False	0.0
C3N-00437	True	1.0
C3N-00491	False	0.0
C3N-00492	False	0.7017911488748779
C3N-00494	False	0.0
C3N-00495	False	0.0
C3N-00573	False	0.0
C3N-00577	False	0.0
C3N-00646	False	0.0
C3N-00733	False	0.0
C3N-00831	False	0.0
C3N-00832	False	0.0
C3N-00834	False	0.0
C3N-00852	False	0.0
C3N-00953	False	0.0
C3N-01175	False	0.0
C3N-01176	False	0.0
C3N-01178	False	0.0
C3N-01179	False	0.0
C3N-01180	False	0.0
C3N-01200	False	0.0
C3N-01213	False	0.0
C3N-01214	False	0.0
C3N-01220	False	0.0
C3N-01261	False	0.0
C3N-01361	False	0.0
C3N-01522	False	0.0
C3N-01524	False	0.0
C3N-01646	False	0.0
C3N-01648	False	0.0
C3N-01649	False	0.0
C3N-01651	False	0.0
C3N-01808	False	0.0
