	event	proportion
C3L-00081	False	0.7899209741879641
C3L-00415	True	1.0
C3L-00445	True	1.0
C3L-00568	False	0.0
C3L-00603	False	0.0
C3L-00904	False	0.0
C3L-00923	False	0.0
C3L-00927	False	0.15475951860557674
C3L-00965	False	0.5152476594251642
C3L-00993	True	0.9013920011494375
C3L-01000	True	1.0
C3L-01285	True	0.9999149134453923
C3L-01455	False	0.0
C3L-01606	True	1.0
C3L-01663	False	0.45177177493926607
C3L-01838	True	1.0
C3L-01884	False	0.6406001732689699
C3L-02127	False	0.6219489028200413
C3L-02130	False	0.0
C3L-02163	False	0.5974193421633497
C3L-02164	False	0.0
C3L-02168	False	0.0
C3L-02170	False	0.0
C3L-02349	False	0.0
C3L-02358	True	0.9993916931509937
C3L-02546	True	1.0
C3L-02552	False	0.0
C3L-02619	False	0.5900762484678218
C3L-02624	False	0.45177177493926607
C3L-02625	False	0.18561909721329875
C3L-02627	False	0.035343193517188426
C3L-02629	False	0.0
C3L-02646	False	0.1521477582843296
C3L-02648	False	0.006620180466845863
C3L-02649	False	0.0
C3L-02650	False	0.0
C3L-02660	False	0.0
C3L-02665	True	0.9562651388329776
C3L-02669	False	0.0
C3L-02891	False	0.0
C3L-02951	False	0.0
C3L-02963	False	0.0
C3L-02964	True	1.0
C3L-02968	False	0.5627717002218601
C3L-02969	False	0.0
C3L-03272	False	0.16749496649772727
C3L-03678	False	0.2211542936263076
C3L-03961	False	0.0
C3L-03962	True	1.0
C3L-03963	False	0.0
C3L-03965	False	0.748013216546621
C3L-04013	False	0.0
C3L-04014	False	0.0
C3L-04071	False	0.012232320924058836
C3L-04391	False	0.284853610939422
C3N-00211	False	0.0
C3N-00221	False	0.0
C3N-00247	False	0.0
C3N-00497	False	0.6342894300272486
C3N-00555	False	0.0
C3N-01017	False	0.0
C3N-01018	True	0.9987486074828738
C3N-01020	True	1.0
C3N-01025	False	0.45847334578094223
C3N-01028	False	0.0
C3N-01194	False	0.0
C3N-01411	True	0.8960891986910463
C3N-01846	False	0.0
C3N-01892	False	0.14636651140065568
C3N-01893	False	0.0
C3N-02252	False	0.0
C3N-02283	True	1.0
C3N-02284	False	0.26366591773960896
C3N-02285	False	0.0
C3N-02288	False	0.0
C3N-02289	False	0.0
C3N-02300	False	0.0
C3N-02339	False	0.0
C3N-02374	True	1.0
C3N-02375	True	1.0
C3N-02425	True	1.0
C3N-02426	False	0.45177177493926607
C3N-02434	True	1.0
C3N-02435	False	0.5846612458675966
C3N-02494	False	0.016077042476696456
C3N-02523	False	0.0
C3N-02575	False	0.6891485519955253
C3N-02675	False	0.0
C3N-03051	False	0.24900463615054336
C3N-03072	False	0.7351309137264012
C3N-03076	True	1.0
C3N-03092	False	0.0
C3N-03093	False	0.0
C3N-03204	True	1.0
C3N-03424	False	0.043734861167022375
C3N-03425	False	0.0
C3N-03441	False	0.19006666816829138
C3N-03486	False	0.6136334161641434
C3N-03662	False	0.0
C3N-03848	False	0.0
C3N-03851	False	0.0
C3N-03875	False	0.023252418914001854
C3N-03877	True	0.9313164462734719
C3N-03880	False	0.15289612305966685
C3N-03882	True	1.0
C3N-03886	False	0.5594441213525776
C3N-04124	False	0.0
C3N-04127	True	1.0
C3N-04155	False	0.0
C3N-04162	False	0.0
