	event	proportion
11LU013	True	0.9677357242374037
11LU016	False	0.0
11LU022	False	0.42662909495788487
11LU035	False	0.0
C3L-00001	False	0.5634583710434629
C3L-00009	False	0.0
C3L-00080	True	1.0
C3L-00083	False	0.0
C3L-00093	False	0.0
C3L-00094	False	0.0
C3L-00095	False	0.28971778352650873
C3L-00140	False	0.0
C3L-00144	False	0.028789965998122835
C3L-00263	False	0.0
C3L-00279	False	0.0
C3L-00368	False	0.0
C3L-00412	False	0.0
C3L-00422	False	0.0
C3L-00510	False	0.0
C3L-00604	False	0.3912104398374554
C3L-00893	True	0.9138441331406623
C3L-00913	False	0.0
C3L-00973	False	0.0
C3L-01330	False	0.5259144869707431
C3L-01632	False	0.0
C3L-01682	False	0.0
C3L-01683	False	0.0
C3L-01862	False	0.0
C3L-01889	False	0.0
C3L-01924	False	0.706976517003965
C3L-02219	False	0.0
C3L-02345	False	0.09732267093789594
C3L-02348	False	0.0
C3L-02350	False	0.0
C3L-02365	True	1.0
C3L-02508	False	0.0
C3L-02549	False	0.0
C3N-00167	False	0.0
C3N-00169	False	0.0
C3N-00175	False	0.6936994671448315
C3N-00180	False	0.0
C3N-00199	False	0.0
C3N-00203	False	0.0
C3N-00217	True	1.0
C3N-00223	False	0.4746474315817278
C3N-00293	False	0.0
C3N-00294	False	0.0
C3N-00433	False	0.0
C3N-00545	False	0.0
C3N-00546	True	0.9767475810859981
C3N-00547	True	0.9831340588032931
C3N-00549	True	1.0
C3N-00550	False	0.0
C3N-00551	True	0.9538858409324971
C3N-00552	False	0.0
C3N-00556	False	0.7778136784053699
C3N-00559	True	0.920705483136341
C3N-00560	True	0.9756738284573694
C3N-00572	False	0.0
C3N-00574	True	0.976551832397249
C3N-00578	False	0.0
C3N-00579	False	0.5892512313736106
C3N-00580	True	1.0
C3N-00704	True	1.0
C3N-00737	False	0.0
C3N-00738	False	0.0
C3N-00959	False	0.0
C3N-01016	False	0.7232094688088567
C3N-01021	True	1.0
C3N-01023	False	0.0
C3N-01024	False	0.32527570276284723
C3N-01030	True	1.0
C3N-01071	False	0.22552987589865542
C3N-01072	False	0.5339817342237373
C3N-01074	True	1.0
C3N-01405	True	0.9114477683161089
C3N-01410	True	0.8653719106014672
C3N-01413	False	0.0
C3N-01414	True	1.0
C3N-01415	True	1.0
C3N-01416	False	0.0
C3N-01488	False	0.0
C3N-01489	False	0.2211542936263076
C3N-01799	False	0.11048873617740393
C3N-01823	False	0.0
C3N-01842	False	0.0
C3N-02000	True	1.0
C3N-02002	True	1.0
C3N-02003	False	0.0
C3N-02067	True	1.0
C3N-02087	False	0.0
C3N-02089	True	1.0
C3N-02145	False	0.0
C3N-02149	False	0.0
C3N-02155	False	0.0
C3N-02158	False	0.0
C3N-02379	False	0.4000989087785808
C3N-02380	False	0.0
C3N-02421	False	0.545163496667435
C3N-02422	False	0.0
C3N-02423	False	0.0
C3N-02424	False	0.3961778325859774
C3N-02433	False	0.0
C3N-02529	True	0.9344852630583551
C3N-02572	False	0.0
C3N-02582	False	0.6894810593360391
C3N-02586	True	0.9625711440187427
C3N-02587	False	0.0
C3N-02588	False	0.0
C3N-02729	False	0.7931764155351478
