	event	proportion
01CO001	True	1.0
01CO005	True	1.0
01CO006	False	0.0
01CO008	False	0.0
01CO013	True	0.9738683081506466
01CO014	False	0.0
01CO015	False	0.0
01CO019	False	0.0
01CO022	False	0.0
05CO002	False	0.733283380752277
05CO003	False	0.0
05CO005	False	0.7452841073922044
05CO006	False	0.0
05CO007	False	0.0
05CO011	True	1.0
05CO015	False	0.0
05CO020	False	0.0
05CO026	True	1.0
05CO028	False	0.0
05CO029	False	0.0
05CO032	False	0.0
05CO033	True	0.8411494875868202
05CO034	False	0.5290630660729344
05CO035	False	0.0
05CO037	False	0.0
05CO039	False	0.29289329555682436
05CO041	False	0.0
05CO044	False	0.0
05CO045	False	0.0
05CO047	True	1.0
05CO048	False	0.0
05CO049	False	0.7888491560951881
05CO050	False	0.0
05CO053	False	0.0
05CO054	False	0.0
05CO055	True	1.0
06CO001	True	1.0
06CO002	False	0.6605678802711988
09CO005	False	0.0
09CO006	False	0.0
09CO008	True	0.9561352984340554
09CO011	False	0.0
09CO013	False	0.0
09CO014	False	0.0
09CO015	True	1.0
09CO018	True	1.0
09CO019	False	0.0
09CO022	False	0.0
11CO005	False	0.0
11CO007	False	0.7274779326958378
11CO008	True	1.0
11CO010	False	0.0
11CO018	False	0.0
11CO019	False	0.0
11CO020	True	1.0
11CO021	True	1.0
11CO022	False	0.0
11CO027	False	0.0
11CO030	False	0.6233687588563155
11CO031	False	0.0
11CO032	True	1.0
11CO033	False	0.0
11CO036	False	0.7475064023271265
11CO037	True	0.9900894329677538
11CO039	True	1.0
11CO042	True	0.8433903607905011
11CO043	True	0.8590247567434027
11CO044	True	1.0
11CO045	False	0.7997645152248651
11CO047	False	0.0
11CO048	True	1.0
11CO051	False	0.0
11CO052	False	0.0
11CO053	True	0.9449124063330395
11CO054	False	0.0
11CO057	False	0.0
11CO058	False	0.0
11CO059	False	0.0
11CO060	True	1.0
11CO061	False	0.0
11CO062	False	0.0
11CO070	False	0.0
11CO072	True	0.8623255828031612
11CO077	False	0.0
11CO079	True	1.0
14CO002	False	0.0
14CO003	False	0.0
14CO005	True	1.0
15CO001	False	0.0
15CO002	True	1.0
16CO002	False	0.0
16CO003	True	1.0
16CO006	False	0.0
16CO011	True	1.0
16CO012	False	0.0
20CO001	True	1.0
20CO003	False	0.0
20CO004	True	1.0
20CO007	False	0.0
21CO006	True	0.9628008785851166
21CO007	True	0.879652532100613
22CO004	True	1.0
22CO006	False	0.0
24CO005	False	0.0
27CO004	True	1.0
