	event	proportion
C3L-00006	False	0.0
C3L-00008	False	0.0
C3L-00032	False	0.0
C3L-00090	False	0.0
C3L-00098	True	0.9565955169546971
C3L-00136	False	0.0
C3L-00137	False	0.0
C3L-00139	False	0.5068268253263154
C3L-00143	False	0.0
C3L-00145	False	0.0
C3L-00156	False	0.0
C3L-00161	False	0.0
C3L-00358	True	1.0
C3L-00361	False	0.0
C3L-00362	False	0.0
C3L-00413	False	0.0
C3L-00449	False	0.0
C3L-00563	False	0.0
C3L-00586	False	0.0
C3L-00601	False	0.0
C3L-00605	False	0.0
C3L-00767	False	0.0
C3L-00769	False	0.0
C3L-00770	False	0.0
C3L-00771	False	0.0
C3L-00780	False	0.0
C3L-00781	False	0.0
C3L-00905	False	0.0
C3L-00918	False	0.0
C3L-00921	False	0.0
C3L-00932	False	0.0
C3L-00942	False	0.0
C3L-00946	False	0.0
C3L-00947	False	0.0
C3L-00949	False	0.0
C3L-00961	False	0.0
C3L-00963	False	0.7715224198810864
C3L-01246	False	0.0
C3L-01248	False	0.0
C3L-01249	False	0.012476449654594934
C3L-01252	False	0.0
C3L-01256	False	0.0
C3L-01257	False	0.0
C3L-01275	False	0.0
C3L-01282	False	0.0
C3L-01304	False	0.0
C3L-01307	False	0.0
C3L-01311	False	0.0
C3L-01312	False	0.0
C3L-01744	False	0.0
C3L-01925	False	0.0
C3N-00151	False	0.0
C3N-00200	False	0.0
C3N-00321	False	0.0
C3N-00322	False	0.0
C3N-00323	False	0.0
C3N-00324	False	0.0
C3N-00326	False	0.0
C3N-00328	False	0.0
C3N-00333	False	0.0
C3N-00334	False	0.0
C3N-00335	False	0.0
C3N-00337	False	0.0
C3N-00339	False	0.0
C3N-00340	True	1.0
C3N-00377	False	0.0
C3N-00379	False	0.0
C3N-00383	False	0.0
C3N-00386	False	0.0
C3N-00388	False	0.0
C3N-00389	False	0.0
C3N-00729	False	0.012476449654594934
C3N-00734	False	0.0
C3N-00743	False	0.0
C3N-00836	False	0.0
C3N-00847	False	0.0
C3N-00848	False	0.0
C3N-00850	False	0.0
C3N-00858	False	0.0
C3N-00866	False	0.0
C3N-00880	False	0.0
C3N-01003	False	0.0
C3N-01211	False	0.0
C3N-01212	False	0.0
C3N-01217	False	0.0
C3N-01219	False	0.0
C3N-01267	False	0.0
C3N-01346	False	0.0
C3N-01349	False	0.0
C3N-01510	False	0.0
C3N-01520	False	0.0
C3N-01521	True	0.8046945777097547
C3N-01537	False	0.3360532425779265
C3N-01802	False	0.0
C3N-01825	False	0.0
