	event	proportion
01CO001	False	0.0
01CO005	True	0.9649948569888351
01CO006	False	0.0
01CO008	True	1.0
01CO013	True	0.9611253409364297
01CO014	False	0.0
01CO015	True	1.0
01CO019	False	0.7263312646248646
01CO022	False	0.0
05CO002	True	1.0
05CO003	False	0.0
05CO005	False	0.4951882218958098
05CO006	True	1.0
05CO007	True	1.0
05CO011	True	0.9898353612764558
05CO015	False	0.0
05CO020	False	0.0
05CO026	False	0.0
05CO028	True	1.0
05CO029	False	0.0
05CO032	False	0.0
05CO033	False	0.3035202188330044
05CO034	True	1.0
05CO035	True	1.0
05CO037	False	0.0
05CO039	False	0.7530235256589363
05CO041	True	1.0
05CO044	False	0.1299591284372311
05CO045	False	0.0
05CO047	False	0.035408558508813325
05CO048	True	1.0
05CO049	True	0.9673390866582492
05CO050	False	0.0
05CO053	False	0.0
05CO054	False	0.0
05CO055	True	0.9301771135812654
06CO001	True	0.9611253409364297
06CO002	False	0.535358896109851
09CO005	False	0.0
09CO006	False	0.0
09CO008	True	0.8860385610830762
09CO011	False	0.0
09CO013	False	0.0
09CO014	False	0.0
09CO015	True	0.9708244786435742
09CO018	False	0.0
09CO019	False	0.0
09CO022	True	1.0
11CO005	False	0.0
11CO007	False	0.0
11CO008	False	0.5432884361048869
11CO010	True	1.0
11CO018	False	0.0
11CO019	False	0.0
11CO020	True	0.9969568670684672
11CO021	False	0.0
11CO022	True	0.9301771135812654
11CO027	True	1.0
11CO030	True	1.0
11CO031	False	0.0
11CO032	False	0.0
11CO033	False	0.0
11CO036	False	0.0
11CO037	True	1.0
11CO039	True	0.9818901795809593
11CO042	True	0.9301771135812654
11CO043	False	0.06982288641873462
11CO044	True	0.9611253409364297
11CO045	False	0.0
11CO047	True	1.0
11CO048	False	0.0
11CO051	False	0.0
11CO052	False	0.0
11CO053	False	0.715512401752825
11CO054	True	1.0
11CO057	True	0.9523935421354623
11CO058	False	0.0
11CO059	False	0.0
11CO060	True	0.9301771135812654
11CO061	True	1.0
11CO062	False	0.0
11CO070	False	0.0
11CO072	False	0.7200543504973389
11CO077	False	0.004910792073451981
11CO079	False	0.02708859765958851
14CO002	True	1.0
14CO003	False	0.0
14CO005	True	0.9649948569888351
15CO001	False	0.0
15CO002	True	0.9338127461048606
16CO002	True	1.0
16CO003	True	0.9929349447038817
16CO006	False	0.0
16CO011	False	0.0
16CO012	True	1.0
20CO001	False	0.0
20CO003	False	0.0
20CO004	True	0.96388323342264
20CO007	False	0.0
21CO006	True	1.0
21CO007	True	1.0
22CO004	True	0.9818901795809593
22CO006	False	0.0
24CO005	True	0.88877708192487
27CO004	True	0.9301771135812654
