	event	proportion
01OV007	False	0.0
01OV017	False	0.7974882669074352
01OV018	False	0.19403655669306455
01OV023	True	0.9567940390880141
01OV026	True	1.0
01OV030	True	1.0
01OV039	False	0.5264873145476034
01OV041	True	1.0
01OV047	True	1.0
02OV005	True	1.0
02OV006	True	1.0
02OV008	True	1.0
02OV015	False	0.2182050619175256
02OV022	False	0.48773022762186324
02OV023	False	0.0
02OV029	False	0.4028562710628659
02OV032	False	0.5571180216714653
02OV036	False	0.41560016914348846
02OV041	False	0.30560331540321645
02OV044	True	0.8999129587820538
02OV046	False	0.6303041225367884
04OV001	False	0.7890643133126899
04OV004	False	0.159093768523814
04OV005	True	1.0
04OV008	False	0.2033532095780946
04OV011	False	0.6233767627911891
04OV012	False	0.3527601029527572
04OV013	True	1.0
04OV017	True	0.8632300751683063
04OV018	True	1.0
04OV021	False	0.39115412422875334
04OV023	False	0.5997258309867443
04OV024	False	0.0
04OV027	False	0.3599931429031875
04OV028	False	0.2884665372173546
04OV031	True	1.0
04OV033	False	0.7611510654387565
04OV036	False	0.6674025978156776
04OV037	False	0.487682450594401
04OV039	True	0.8917759545001895
04OV040	True	1.0
04OV044	True	0.8090379160080299
04OV045	True	1.0
04OV048	False	0.0
04OV049	False	0.6965130986806118
04OV050	False	0.0
04OV051	False	0.39616494706181665
04OV053	True	0.9778088629102806
04OV054	True	1.0
04OV055	True	0.8071968769595097
04OV057	True	1.0
04OV058	True	1.0
04OV063	False	0.3075033965203481
11OV002	False	0.7590191011804791
13OV003	False	0.0
14OV011	True	1.0
15OV001	True	1.0
17OV001	False	0.46174559896930617
17OV002	False	0.0
17OV010	False	0.0
17OV011	False	0.08697473211511264
17OV013	False	0.0
17OV014	False	0.6199310738517544
17OV015	False	0.016293048692102217
17OV017	True	1.0
17OV018	False	0.7033158140591425
17OV025	False	0.6121821171050064
17OV027	False	0.41549140627560865
17OV028	False	0.4658054093579006
17OV029	True	0.9115778868037421
17OV030	True	1.0
17OV033	True	1.0
17OV036	True	1.0
17OV039	True	0.9452649321212797
17OV040	False	0.0
18OV001	False	0.0
20OV005	True	1.0
26OV002	True	1.0
26OV008	False	0.07370546343893344
26OV009	False	0.0
26OV011	False	0.18646485868204674
26OV013	False	0.2182050619175256
