protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
SCGN	ENSP00000367197	2.6938427568445846e-60	coad	-2.078189404696846	69	70
NCAM1	ENSP00000318472	1.5660333808489323e-58	coad	-2.042663776411911	69	70
CADM3	ENSP00000357106	4.338122285422958e-53	coad	-1.8507761306816017	69	70
ANK2	ENSP00000421011	1.0714724610886068e-50	coad	-1.4926286399183386	69	70
NOC2L	ENSP00000317992	1.3118386012510046e-48	coad	0.7658093494642437	69	70
NEGR1	ENSP00000350364	1.7533758686019765e-48	coad	-1.844025148974405	69	70
RBM28	ENSP00000223073	2.1457319869400045e-48	coad	0.8840684646800391	69	70
GAP43	ENSP00000305010	4.360562367938653e-48	coad	-2.577749702705863	69	70
NOP2	ENSP00000313272	4.818176003490024e-47	coad	0.7821763621890584	69	70
NUP93	ENSP00000310668	5.950864289002188e-47	coad	0.4615526034298665	69	70
CHL1	ENSP00000256509	6.909362389505181e-47	coad	-1.3637596240564558	69	70
SCG2	ENSP00000304133	1.0663033174266106e-46	coad	-1.9642483166183826	69	70
ABCA8	ENSP00000402814	1.0663033174266106e-46	coad	-1.9293874537253677	69	70
LPAR1	ENSP00000351755	1.5798466565330893e-46	coad	-2.3758576153101676	69	70
GNL3	ENSP00000378278	2.966642032381242e-46	coad	0.8305019506991289	69	70
SCN7A	ENSP00000403846	4.494392477458065e-46	coad	-1.8141771673821934	63	68
GTPBP4	ENSP00000354040	4.8437488825994074e-46	coad	0.8251138345513287	69	70
TUBB4A	ENSP00000264071	5.0833639045076374e-46	coad	-2.0232041570558517	69	70
VAT1L	ENSP00000303129	6.711010783986328e-46	coad	-1.3695438524904822	69	70
MATN2	ENSP00000429977	9.905222015960354e-46	coad	-1.4458293721589723	69	70
PRKAR2B	ENSP00000265717	2.1161984945382145e-45	coad	-1.1414187134273712	69	70
RRP12	ENSP00000360031	2.1161984945382145e-45	coad	0.6539483369762871	69	70
GSTM2	ENSP00000241337	2.155498389555556e-45	coad	-1.7804064608019967	69	70
NCAM1	ENSP00000384055	2.6473247039752303e-45	coad	-2.9373779742912403	61	57
PDCD11	ENSP00000358812	3.7090173620876516e-45	coad	0.6557810865163758	69	70
RPL7L1	ENSP00000346063	6.195199132479741e-45	coad	0.9398304272410851	69	70
SPTAN1	ENSP00000361824	8.883967897725431e-45	coad	-1.5983023473310327	69	70
ADH1B	ENSP00000306606	1.2901722953285133e-44	coad	-2.7037189497495566	69	70
METTL7A	ENSP00000331787	3.62237362360052e-44	coad	-1.1578087287950893	69	70
RSL1D1	ENSP00000460871	4.14554113020486e-44	coad	1.0065778348742689	69	70
