protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
HLF	ENSG00000108924	5.715216954297398e-25	hnscc	-7.0051295129865405	82	46
ETFDH	ENSG00000171503	2.2949809993240315e-23	hnscc	-7.633450044544411	82	46
SH3BGRL2	ENSG00000198478	2.3390977253815496e-23	hnscc	-33.64263107372999	82	46
SASH1	ENSG00000111961	2.3390977253815496e-23	hnscc	-17.16796205082399	82	46
GPD1L	ENSG00000152642	7.123585345321146e-23	hnscc	-17.475386196122038	82	46
CBX3	ENSG00000122565	1.1804779891220863e-22	hnscc	20.896142195065302	82	46
CAB39L	ENSG00000102547	2.2410438284975053e-22	hnscc	-6.3368581286784575	82	46
KAT2B	ENSG00000114166	4.248624342347146e-22	hnscc	-9.4146577158198	82	46
IL17RC	ENSG00000163702	5.312071618414246e-22	hnscc	-3.544379220883191	82	46
CPEB3	ENSG00000107864	2.8673640523931174e-21	hnscc	-1.719872860515935	82	46
YWHAH	ENSG00000128245	3.1451094292437007e-21	hnscc	21.053096616850002	82	46
ASPA	ENSG00000108381	5.013920297085315e-21	hnscc	-1.4152782035930827	82	46
MGLL	ENSG00000074416	5.013920297085315e-21	hnscc	-15.149500597250732	82	46
FAM91A1	ENSG00000176853	5.013920297085315e-21	hnscc	10.391006550499235	82	46
GPT2	ENSG00000166123	6.179809819398847e-21	hnscc	-12.166858887115295	82	46
TAF2	ENSG00000064313	1.8645489844019967e-20	hnscc	7.22312759692122	82	46
ATP6V1C1	ENSG00000155097	2.7968564467212725e-20	hnscc	8.390853884795272	82	46
NDNF	ENSG00000173376	3.976462804850436e-20	hnscc	-4.1896794030412865	82	46
SSBP2	ENSG00000145687	6.596153869111422e-20	hnscc	-2.5589540838998945	82	46
PRKDC	ENSG00000253729	8.078706839071074e-20	hnscc	33.14219798831585	82	46
NDRG2	ENSG00000165795	8.078706839071074e-20	hnscc	-24.362350150310096	82	46
ECHDC2	ENSG00000121310	8.346422412402176e-20	hnscc	-4.665898129142629	82	46
KPNA2	ENSG00000182481	8.347817575583232e-20	hnscc	34.787144975936585	82	46
MAMDC2	ENSG00000165072	8.347817575583232e-20	hnscc	-13.742335688871567	82	46
ARMC1	ENSG00000104442	8.347817575583232e-20	hnscc	7.132216975407005	82	46
ADAR	ENSG00000160710	1.0039103166392805e-19	hnscc	34.85217792674999	82	46
GPT	ENSG00000167701	1.0274157857983381e-19	hnscc	-2.8944744015594326	82	46
PAIP2B	ENSG00000124374	1.0891475229021502e-19	hnscc	-6.483680795935558	82	46
MAPRE1	ENSG00000101367	1.0891475229021502e-19	hnscc	22.84010686379981	82	46
ALDH9A1	ENSG00000143149	1.1525970760092793e-19	hnscc	-25.11856274494749	82	46
BUB3	ENSG00000154473	1.226675750896736e-19	hnscc	6.455445339126777	82	46
RUVBL1	ENSG00000175792	1.4398295769454907e-19	hnscc	5.654869397848017	82	46
PRIM2	ENSG00000146143	2.1433401791022098e-19	hnscc	4.1194629833737055	82	46
DERL1	ENSG00000136986	3.78260627329086e-19	hnscc	6.004858846544687	82	46
TBK1	ENSG00000183735	3.818656801755216e-19	hnscc	4.436934352756776	82	46
