cancer_type	protein	Database_ID	adj_p	change
brca	A1BG	ENSP00000263100	0.3728987470394362	-0.16930380697894412
brca	A2M	ENSP00000323929	0.8978249225771732	-0.037489379595804395
brca	A2ML1	ENSP00000299698	0.39016536413240427	0.42232342134633516
brca	A4GALT	ENSP00000249005	0.7895575201327436	
brca	AAAS	ENSP00000209873	0.09514692159756385	0.15706189896766617
brca	AACS	ENSP00000324842	0.6825718509056412	-0.10733980384781647
brca	AADAT	ENSP00000226840	0.3307988872593135	
brca	AAGAB	ENSP00000261880	0.4334043514094309	-0.10234705410782116
brca	AAK1	ENSP00000386456	0.5857981608744744	-0.05416647360890979
brca	AAMDC	ENSP00000377078	0.3527871246884765	-0.2257376199288642
brca	AAMP	ENSP00000416394	0.6532978723548126	0.06844142200690956
brca	AAR2	ENSP00000313674	0.009222225926312227	0.1990460851948605
brca	AARS1	ENSP00000261772	0.8913526427531497	-0.02367933596094004
brca	AARS2	ENSP00000244571	0.5009323932730565	0.07959616044335495
brca	AARSD1	ENSP00000400870	0.9980783244080145	0.0009334903006367051
brca	AASDH	ENSP00000205214	0.6161608371690527	0.14596756406703754
brca	AASDHPPT	ENSP00000278618	0.3001879825333251	0.12091053568986018
brca	AASS	ENSP00000377040	0.012234501765845906	-0.4157019028340049
brca	AATF	ENSP00000477848	0.08592447674540278	0.21055801537218327
brca	ABAT	ENSP00000268251	0.3051058079369165	-0.37531129795750034
brca	ABCA1	ENSP00000363868	0.5002091984440408	0.15472386638793711
brca	ABCA12	ENSP00000272895	0.9990576807936431	
brca	ABCA2	ENSP00000265662	0.6068331519274409	-0.12493374505289784
brca	ABCA3	ENSP00000301732	0.40249984988988974	-0.18901272875230646
brca	ABCA4	ENSP00000359245	0.24050730126867292	-0.7754910069331326
brca	ABCA6	ENSP00000284425	0.6375986727974451	-0.20103182245785983
brca	ABCA8	ENSP00000402814	0.7161507173319104	-0.13501551354244945
brca	ABCB1	ENSP00000265724	0.8649580221133581	-0.07180356690990362
brca	ABCB10	ENSP00000355637	0.9803489101578954	-0.006393644027861245
brca	ABCB6	ENSP00000265316	0.6619618276535372	-0.10573738606255792
brca	ABCB8	ENSP00000297504	0.8751974769836595	-0.02968940583614299
brca	ABCB9	ENSP00000280559	0.9697443574187222	-0.0422333498961337
brca	ABCC1	ENSP00000382342	0.9140617018253153	0.02166961397640063
