protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
HLF	ENSG00000108924	1.390406408947967e-25	hnscc	-7.1185373291102545	70	46
GPD1L	ENSG00000152642	1.390406408947967e-25	hnscc	-16.46922271370035	70	46
CBX3	ENSG00000122565	2.7102200923853463e-25	hnscc	21.2727273497636	70	46
ETFDH	ENSG00000171503	9.696037802540805e-25	hnscc	-7.829228816288894	70	46
SASH1	ENSG00000111961	3.1706879135001976e-22	hnscc	-18.167796172615475	70	46
YWHAH	ENSG00000128245	3.1706879135001976e-22	hnscc	23.34370395257209	70	46
CAB39L	ENSG00000102547	3.1706879135001976e-22	hnscc	-6.8068797046389395	70	46
KAT2B	ENSG00000114166	4.568321652946535e-22	hnscc	-9.883318242482549	70	46
SH3BGRL2	ENSG00000198478	2.4566422786750967e-21	hnscc	-35.47729639759206	70	46
CYP4F12	ENSG00000186204	2.8586496039529634e-21	hnscc	-5.044793949544072	70	46
CPEB3	ENSG00000107864	3.6608811952648855e-21	hnscc	-1.7417577564599969	70	46
MAPRE1	ENSG00000101367	1.4616332029397597e-20	hnscc	22.544192561675896	70	46
KPNA2	ENSG00000182481	1.9604209150588323e-20	hnscc	34.13300977517564	70	46
MGLL	ENSG00000074416	2.538574670101952e-20	hnscc	-15.157679228022655	70	46
TBK1	ENSG00000183735	2.538574670101952e-20	hnscc	4.235375980175876	70	46
ZNF281	ENSG00000162702	9.74984961070204e-20	hnscc	6.3901554207178854	70	46
IL17RC	ENSG00000163702	1.4708990452628884e-19	hnscc	-3.418796246914151	70	46
PAIP2B	ENSG00000124374	1.5270084755207808e-19	hnscc	-6.7142695214983465	70	46
ABLIM1	ENSG00000099204	1.663588463008889e-19	hnscc	-49.191451329967805	70	46
NDNF	ENSG00000173376	2.221749377996211e-19	hnscc	-4.396551245003476	70	46
GPT2	ENSG00000166123	2.6632809708590315e-19	hnscc	-12.748653082455156	70	46
ASPA	ENSG00000108381	3.3037579097426543e-19	hnscc	-1.3552122281374834	70	46
TPX2	ENSG00000088325	3.665301079043795e-19	hnscc	21.03487662883374	70	46
USB1	ENSG00000103005	4.830451529780695e-19	hnscc	2.1740252010151657	70	46
IKBIP	ENSG00000166130	4.859272514117794e-19	hnscc	3.6885077263017148	70	46
EPHX2	ENSG00000120915	4.870824338262285e-19	hnscc	-7.3107733988631765	70	46
ZNF200	ENSG00000010539	4.99498986462866e-19	hnscc	1.1174578642316524	70	46
NDE1	ENSG00000072864	8.93927428528132e-19	hnscc	4.63015240719502	70	46
PDCD4	ENSG00000150593	1.1368412098145895e-18	hnscc	-39.12757549478033	70	46
KRT13	ENSG00000171401	1.244833999819151e-18	hnscc	-5670.490076629821	70	46
KNTC1	ENSG00000184445	1.401624442880155e-18	hnscc	8.477201706610618	70	46
CIPC	ENSG00000198894	1.4930735342541911e-18	hnscc	-4.851077409470623	70	46
UBE2Z	ENSG00000159202	1.4930735342541911e-18	hnscc	9.87426867486364	70	46
CDC27	ENSG00000004897	1.4930735342541911e-18	hnscc	6.762291273071247	70	46
CEP55	ENSG00000138180	1.4930735342541911e-18	hnscc	12.905693651519455	70	46
LIMK1	ENSG00000106683	1.5125035191548403e-18	hnscc	4.3182260032654005	70	46
GNA12	ENSG00000146535	1.7954291009030387e-18	hnscc	5.209026340879955	70	46
SLC26A6	ENSG00000225697	1.7954291009030387e-18	hnscc	1.8317635435161743	70	46
ANKRD35	ENSG00000198483	1.8289495349467635e-18	hnscc	-8.953922167982775	70	46
COLGALT1	ENSG00000130309	1.8289495349467635e-18	hnscc	16.991963737938732	70	46
NDRG2	ENSG00000165795	2.0506838659296474e-18	hnscc	-23.584182585852666	70	46
MPC1	ENSG00000060762	2.2195550677454433e-18	hnscc	-10.223916994158296	70	46
CD276	ENSG00000103855	2.2195550677454433e-18	hnscc	8.855013333677087	70	46
MTFR1L	ENSG00000117640	2.304335125141631e-18	hnscc	-2.7512265742769832	70	46
SSBP2	ENSG00000145687	3.4356833358344496e-18	hnscc	-2.5056632365238394	70	46
ADAR	ENSG00000160710	3.4356833358344496e-18	hnscc	38.006932625427254	70	46
PTK7	ENSG00000112655	3.926361018751189e-18	hnscc	15.237890705614117	70	46
MAMDC2	ENSG00000165072	4.429055072235512e-18	hnscc	-13.711887083112114	70	46
ALDH9A1	ENSG00000143149	4.4370564931522156e-18	hnscc	-25.793495365857805	70	46
MSANTD3	ENSG00000066697	4.582891234331721e-18	hnscc	5.170647603522318	70	46
ACADVL	ENSG00000072778	4.877260717302303e-18	hnscc	-25.265184523992062	70	46
UBL3	ENSG00000122042	5.19822099732271e-18	hnscc	-8.706028364426269	70	46
LGI1	ENSG00000108231	5.606396183307438e-18	hnscc	-0.39144370761032093	70	46
ZNF662	ENSG00000182983	5.73504717559537e-18	hnscc	-2.1178213448006127	70	46
MGST2	ENSG00000085871	6.0522600640353056e-18	hnscc	-9.57544097027672	70	46
