cancer_type	protein	Database_ID	adj_p	change
brca	ADAM28	ENSP00000265769	0.7209984269845958	
brca	ADAMDEC1	ENSP00000256412	0.9381708490290095	-0.01902551242229933
brca	AGPAT5	ENSP00000285518	0.010946248742989361	-0.29610859157765473
brca	ANGPT2	ENSP00000314897	0.9145051689690133	-0.014691586553949976
brca	ARHGEF10	ENSP00000340297	0.0005488605223605056	-0.2805122552072796
brca	ASAH1	ENSP00000262097	0.021306353223690507	-0.32014302945095013
brca	ATP6V1B2	ENSP00000276390	0.0013450086901093668	-0.17473973196145032
brca	BIN3	ENSP00000276416	0.026692404496068727	-0.2218960144139882
brca	BMP1	ENSP00000305714	0.22871204165981748	-0.1575499368265908
brca	BNIP3L	ENSP00000370003	0.028097045537207245	-0.2805745517670727
brca	CCAR2	ENSP00000310670	6.095190003993415e-09	-0.31385745340483995
brca	CCDC25	ENSP00000348933	4.031283474949492e-09	-0.4022577085146294
brca	CDCA2	ENSP00000328228	0.08847499032676942	-0.2514102868912822
brca	CHMP7	ENSP00000324491	2.3039408708216334e-08	-0.31754992619116706
brca	CLDN23	ENSP00000428780	0.2067489469377912	
brca	CLN8	ENSP00000328182	0.06112521027820662	
brca	CLU	ENSP00000315130	0.07548203427800083	-0.2678344182782217
brca	CNOT7	ENSP00000355279	0.021933857000402093	-0.12832711314547562
brca	CSGALNACT1	ENSP00000330805	0.10836942091734801	-0.5781913589640616
brca	CTSB	ENSP00000342070	0.3629139822228717	-0.09803809660629505
brca	DCTN6	ENSP00000221114	0.8809224944051385	0.012790437806635108
brca	DEFA3	ENSP00000328359	0.018621235092126154	0.9908214404610223
brca	DEFA4	ENSP00000297435	0.308166433928443	0.21997279934405312
brca	DEFA5	ENSP00000329890	0.48313580323298005	0.2708538369556292
brca	DEFB1	ENSP00000297439	0.11223943712707843	-0.5399380164790337
brca	DLC1	ENSP00000276297	0.14724488646490452	-0.1822118866339277
brca	DOCK5	ENSP00000276440	0.0006338804263662616	-0.2671439115697581
brca	DOK2	ENSP00000276420	0.4803235457424188	0.09510171202077577
brca	DPYSL2	ENSP00000427985	0.22871204165981748	-0.11577063178491481
brca	DUSP4	ENSP00000240100	0.038540371287293734	-0.41842318526732175
brca	ELP3	ENSP00000256398	0.008132331720545784	-0.14423835203397747
brca	ENTPD4	ENSP00000351520	0.8809224944051385	0.0416826517495187
brca	EPHX2	ENSP00000430269	0.0024953677518997986	-0.4773742662442494
brca	ERI1	ENSP00000250263	0.0003093074914617245	-0.3515417262423316
brca	ERICH1	ENSP00000262109	0.00823035703055535	-0.28572131110744176
brca	ESCO2	ENSP00000306999	0.26755925358740196	-0.23806559638900163
brca	FAM167A	ENSP00000284486	0.8922069998232293	-0.06703764436317916
brca	FDFT1	ENSP00000220584	0.028097045537207245	-0.3607812216264211
brca	FGL1	ENSP00000371262	0.6344718754843437	-0.3299327716314622
brca	FZD3	ENSP00000240093	0.5287688855247721	-0.3854043860336193
brca	GFRA2	ENSP00000428518	0.738466038643107	
brca	GSR	ENSP00000221130	0.33834999179781156	-0.1212289666589493
brca	GTF2E2	ENSP00000348168	0.022909546803466355	-0.15173967880258793
brca	HMBOX1	ENSP00000287701	0.011983772575850576	-0.3627941543816936
brca	HR	ENSP00000326765	0.2414221091138964	
brca	INTS10	ENSP00000381064	0.5539033649410038	-0.02853703888378091
brca	INTS9	ENSP00000398208	0.10694394647107827	-0.061259598307948
brca	KBTBD11	ENSP00000321544	0.42164157565133387	-0.08390300251547633
brca	KCTD9	ENSP00000221200	0.0029744746924482116	-0.24659381302063782
brca	KIF13B	ENSP00000427900	0.0024971969085481366	-0.3694482028603287
brca	LOXL2	ENSP00000373783	0.6739424961113128	-0.08448034315028462
brca	LPL	ENSP00000497642	0.5564799958709666	
brca	LZTS1	ENSP00000265801	0.8922069998232293	0.01646753167587071
brca	MAK16	ENSP00000353246	0.13554293399206907	-0.13122083759045802
brca	MFHAS1	ENSP00000276282	0.8922069998232293	0.025946442115733465
brca	MSR1	ENSP00000405453	0.9145051689690133	0.01129352955685281
brca	MSRA	ENSP00000313921	0.023249291553393368	-0.18990148216768213
brca	MTMR7	ENSP00000180173	0.42164157565133387	
brca	MTMR9	ENSP00000221086	0.0005065576498525237	-0.18857624068800233
brca	MTUS1	ENSP00000262102	0.0005488605223605056	-0.4578951245727213
brca	MYOM2	ENSP00000262113	0.05632099758746274	-0.9902480264296375
brca	NAT1	ENSP00000443194	0.02773994022929817	-0.5573268660902383
brca	NEFL	ENSP00000482169	0.9995250600082555	-0.00012164377926338066
brca	NEFM	ENSP00000221166	0.8805942260632889	0.059639379063877215
