protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
EPHX2	ENSP00000430269	1.2371319230069124e-17	coad	-1.0742497558903223	29	31
DPYSL2	ENSP00000427985	2.7698938347356005e-13	coad	-0.9146925501786962	29	31
GSR	ENSP00000221130	1.4815382813729664e-12	coad	-0.5860278118099769	29	31
DMTN	ENSP00000370879	8.403293233883682e-12	coad	-0.8473234993044398	29	31
DCTN6	ENSP00000221114	1.324010362685239e-10	coad	-0.5402773281824402	29	31
BIN3	ENSP00000276416	4.259458933353671e-09	coad	-0.6196195132573441	29	31
KBTBD11	ENSP00000321544	6.19416592837844e-09	coad	-0.4561465737289238	29	31
SORBS3	ENSP00000240123	1.2438658431521185e-08	coad	-0.5744012643548652	29	31
PPP2CB	ENSP00000221138	2.1809366834721434e-08	coad	-0.6984170751507192	29	31
KIF13B	ENSP00000427900	3.219949529455074e-08	coad	-0.352382058886401	29	31
SCARA5	ENSP00000346990	5.34538173255568e-08	coad	-1.1082201556367162	20	23
TACC1	ENSP00000321703	8.792765243421421e-08	coad	-0.44984441982896006	29	31
DDHD2	ENSP00000380352	1.6860945435399588e-07	coad	-0.588145366997749	26	28
RBPMS	ENSP00000287771	1.9047061369826385e-07	coad	-0.71384002229755	29	31
XPO7	ENSP00000252512	5.334261433894247e-07	coad	-0.20480487639860093	29	31
CLU	ENSP00000315130	1.3337917474749852e-06	coad	-0.7274363614919737	29	31
MTMR9	ENSP00000221086	1.3677361498670375e-06	coad	-0.5285366318102884	27	30
ADAMDEC1	ENSP00000256412	1.4221750957566531e-06	coad	-0.8155153065014458	27	31
CHMP7	ENSP00000324491	1.6267725486139777e-06	coad	-0.3080500588346081	29	31
NEFL	ENSP00000482169	4.071577373082327e-06	coad	-0.9749891977626688	19	21
PPP2R2A	ENSP00000370113	4.667741605331028e-06	coad	-0.3280612699379846	29	31
ASH2L	ENSP00000340896	9.589615721230372e-06	coad	0.2744255748029133	29	31
MSRA	ENSP00000313921	2.7508035707127574e-05	coad	-0.5173464010597817	29	31
PDLIM2	ENSP00000380867	2.7508035707127574e-05	coad	-0.3527548375433949	28	28
VPS37A	ENSP00000318629	5.38060207285179e-05	coad	-0.33863952626819294	29	31
NAT1	ENSP00000307218	8.476468918230384e-05	coad	-0.3152830643908791	29	31
DOCK5	ENSP00000276440	0.0002870613548679704	coad	-0.2174183452991548	29	31
PTK2B	ENSP00000332816	0.00031263956626740544	coad	-0.26389442699890203	29	31
MAK16	ENSP00000353246	0.0003857992444551419	coad	0.3765990735513851	29	31
CCDC25	ENSP00000348933	0.00043081691851750646	coad	-0.31165165955720386	29	31
PCM1	ENSP00000327077	0.0006729068843900425	coad	-0.22111299666517367	29	31
ANGPT2	ENSP00000314897	0.0006729068843900425	coad	-2.5806923615243167	21	21
DEFA5	ENSP00000329890	0.0008690498371739398	coad	-0.9600719461784651	29	31
GTF2E2	ENSP00000348168	0.0009998495171732425	coad	0.4306771311275143	27	24
NUDT18	ENSP00000480722	0.001529274083708257	coad	-0.7221255552679606	8	9
DEFA3	ENSP00000328359	0.001618773167969771	coad	1.1747303973121495	29	31
ATP6V1B2	ENSP00000276390	0.002435454507190766	coad	-0.12573110113394453	29	31
ENTPD4	ENSP00000348536	0.0033719834176909416	coad	-0.5578630004034263	21	25
TTI2	ENSP00000353971	0.005420385868174295	coad	0.39573215615052876	20	16
ARHGEF10	ENSP00000381571	0.006122924601152065	coad	-0.42285233283774476	20	17
