protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
PPP2R2A	ENSP00000370113	1.957204522793633e-08	brca	-0.5136757078026173	44	76
PCM1	ENSP00000327077	5.119794256927446e-06	brca	-0.5213984605108759	44	76
CCDC25	ENSP00000348933	5.119794256927446e-06	brca	-0.3440556510669894	44	76
CCAR2	ENSP00000310670	5.119794256927446e-06	brca	-0.2731863182525066	44	76
NEIL2	ENSP00000284503	9.064869863540119e-06	brca	-0.46331482323401	44	76
CHMP7	ENSP00000324491	0.0002596123174344814	brca	-0.24155469057267104	44	76
WRN	ENSP00000298139	0.00033195388544609515	brca	-0.2899244296184786	44	76
KIF13B	ENSP00000427900	0.0008130478748526507	brca	-0.433649863149316	44	76
XPO7	ENSP00000252512	0.0008510052436485887	brca	-0.28756919230776873	44	76
ASAH1	ENSP00000262097	0.000899662560077938	brca	-0.47687206238554775	44	76
MTUS1	ENSP00000262102	0.002528574033112634	brca	-0.43335671904459416	44	76
ARHGEF10	ENSP00000340297	0.004154082131939826	brca	-0.25543970458075127	44	76
EPHX2	ENSP00000430269	0.004283663722743285	brca	-0.4845697297136401	44	76
NAT1	ENSP00000443194	0.004283663722743285	brca	-0.7787463333236118	44	76
VPS37A	ENSP00000318629	0.0044683486221227175	brca	-0.16877092837001956	44	76
DOCK5	ENSP00000276440	0.006746474474026369	brca	-0.23252145518673903	44	76
DUSP4	ENSP00000240100	0.006783354968818854	brca	-0.5829063800421986	31	50
PCM1	ENSP00000428123	0.0070209112948132445	brca	-0.990219786863128	22	35
ERICH1	ENSP00000262109	0.009184473253992121	brca	-0.3020429384537282	44	76
PRAG1	ENSP00000479068	0.009571937055835535	brca	-0.2556853602072471	44	76
SH2D4A	ENSP00000265807	0.009738964299642614	brca	-0.3357728736371197	44	76
BIN3	ENSP00000276416	0.011091582056182001	brca	-0.27243940392045896	44	76
MTMR9	ENSP00000221086	0.011091582056182001	brca	-0.14843263805446524	44	76
TNKS	ENSP00000311579	0.014357759425564982	brca	-0.20399636679324806	34	61
SARAF	ENSP00000256255	0.015916670151493537	brca	-0.41084155774639475	42	71
ERI1	ENSP00000250263	0.017703931859688944	brca	-0.2528948855809123	44	76
SLC7A2	ENSP00000004531	0.01850962842727045	brca	-0.587755897397157	44	68
MAK16	ENSP00000353246	0.01850962842727045	brca	-0.21256629155019038	44	76
SORBS3	ENSP00000240123	0.021201440428588767	brca	-0.20279204077845758	44	76
KCTD9	ENSP00000221200	0.021924432241552508	brca	-0.20647877527391728	44	76
ELP3	ENSP00000256398	0.021924432241552508	brca	-0.13222719810049147	44	76
HMBOX1	ENSP00000287701	0.021924432241552508	brca	-0.35307406739824765	44	68
NUDT18	ENSP00000480722	0.030512420288547025	brca	-0.15555107850507757	44	76
DEFA3	ENSP00000328359	0.034599313194443135	brca	0.9627762728906819	24	44
GTF2E2	ENSP00000348168	0.034599313194443135	brca	-0.152938337891611	44	76
ERLIN2	ENSP00000428112	0.05314489351144766	brca	-0.2961305331108583	44	76
NSD3	ENSP00000313983	0.05314489351144766	brca	-0.26821164636979056	44	76
PSD3	ENSP00000324127	0.05340419426395132	brca	-0.22345661049692297	36	68
AGPAT5	ENSP00000285518	0.06031906002512841	brca	-0.24201532846381277	44	76
REEP4	ENSP00000303482	0.06031906002512841	brca	-0.2041806893349342	44	76
PINX1	ENSP00000318966	0.06049998607297819	brca	-0.24872211546442446	32	57
MSRA	ENSP00000313921	0.06049998607297819	brca	-0.17365919392077406	44	76
GSR	ENSP00000221130	0.06049998607297819	brca	-0.24112407365140962	44	76
CLN8	ENSP00000328182	0.06274157416207975	brca	-0.6643303962552213	10	21
PCM1	ENSP00000431099	0.0733790207986276	brca	-0.3492094916759377	30	46
ATP6V1B2	ENSP00000276390	0.11494025052834538	brca	-0.09969643157658897	44	76
PPP2CB	ENSP00000221138	0.1235197509572574	brca	-0.21354631873792657	44	76
CLDN23	ENSP00000428780	0.1235197509572574	brca	-0.42082122340115097	33	60
R3HCC1	ENSP00000265806	0.1235197509572574	brca	-0.1343488792506359	44	76
UBXN8	ENSP00000477532	0.1372610457385899	brca	-0.3626202399229507	14	26
RBPMS	ENSP00000318102	0.13966483931856954	brca	-0.31908889039609034	16	45
INTS9	ENSP00000398208	0.14526766575217456	brca	-0.06077247025838889	44	76
PBK	ENSP00000301905	0.1453840482093938	brca	-0.2535827760213436	44	76
BNIP3L	ENSP00000370003	0.14549033382151075	brca	-0.2128219019600979	44	68
SLC39A14	ENSP00000240095	0.15647034274144653	brca	-0.24178002018782985	37	68
TDRP	ENSP00000315111	0.16510256065567283	brca	-0.1932045794163844	44	76
STC1	ENSP00000290271	0.1762078567608135	brca	-0.2813460152024273	44	76
ZNF395	ENSP00000340494	0.1762078567608135	brca	-0.22964240704036795	30	59
NSD3	ENSP00000434730	0.1762078567608135	brca	-0.19429487352680683	44	76
PLPBP	ENSP00000333551	0.1783918745289136	brca	-0.16257362434115158	44	76
FDFT1	ENSP00000220584	0.1783918745289136	brca	-0.25343200189497916	44	76
FGFR1	ENSP00000327229	0.19233309731188755	brca	-0.238881777124885	40	72
DOK2	ENSP00000276420	0.20440052748249973	brca	0.18183374844268774	44	76
MYOM2	ENSP00000262113	0.20722301681151348	brca	-0.7564147491585972	12	21
CLU	ENSP00000315130	0.22316674727595076	brca	-0.20609749219402362	44	76
PPP3CC	ENSP00000289963	0.225926463001008	brca	-0.10011512202656414	44	76
CSGALNACT1	ENSP00000330805	0.2397211199337037	brca	-0.47981222961276443	4	5
TTI2	ENSP00000353971	0.2546673209064185	brca	-0.09679885247119153	44	76
SLC25A37	ENSP00000429200	0.2747300945030587	brca	-0.22199200182027432	13	32
DLC1	ENSP00000276297	0.2814869351946265	brca	-0.15475906142669532	30	66
EIF4EBP1	ENSP00000340691	0.29947088055264653	brca	-0.10881668507440782	44	76
DEFB1	ENSP00000297439	0.29947088055264653	brca	-0.4222839819564079	13	30
NSD3	ENSP00000313410	0.30283983096147804	brca	0.16010793946072485	35	69
BAG4	ENSP00000287322	0.31925018136810085	brca	-0.14720130917826027	44	76
CNOT7	ENSP00000355279	0.3282574005989637	brca	-0.06464757899871015	44	76
HR	ENSP00000326765	0.33318050495286317	brca	-0.284925010270212	6	11
RBPMS	ENSP00000340176	0.33318050495286317	brca	-0.10654225361990848	44	76
BMP1	ENSP00000305714	0.372405442802546	brca	-0.13032998487651465	44	76
DDHD2	ENSP00000380352	0.3791463039020774	brca	-0.11138786604357134	44	76
DEFA4	ENSP00000297435	0.3812425153418293	brca	0.2110968956010686	39	73
CDCA2	ENSP00000328228	0.4088714879078368	brca	-0.14244558689186904	44	76
PPP1R3B	ENSP00000308318	0.40912674534500837	brca	-0.13254836793763636	21	43
KBTBD11	ENSP00000321544	0.44480924498897945	brca	-0.08952445405654935	44	76
LSM1	ENSP00000310596	0.44572216200865217	brca	-0.07496228872036027	44	76
PNMA2	ENSP00000429344	0.4600415639214384	brca	-0.3629330682315941	5	12
ADAM9	ENSP00000419446	0.4696455506864825	brca	-0.10454595913917133	44	76
IDO1	ENSP00000430505	0.4800559131332633	brca	0.19168761776593451	39	70
ADAMDEC1	ENSP00000256412	0.48459604622267316	brca	0.20943945040941958	42	71
ESCO2	ENSP00000306999	0.49370088296466913	brca	-0.16653713472198703	32	49
RAB11FIP1	ENSP00000331342	0.4993081980952433	brca	-0.08695552466566789	44	76
ZNF703	ENSP00000332325	0.5035333866337733	brca	-0.18296499093439078	44	76
TM2D2	ENSP00000380260	0.5035333866337733	brca	-0.24333851140082796	4	12
DPYSL2	ENSP00000427985	0.5411784996559069	brca	-0.06706605550526312	44	76
ADGRA2	ENSP00000323508	0.5411784996559069	brca	-0.12415919312831197	21	36
PDGFRL	ENSP00000251630	0.5615267135799054	brca	-0.12132201122455913	44	76
PDLIM2	ENSP00000312634	0.5615267135799054	brca	-0.05916984750349638	44	76
FZD3	ENSP00000240093	0.5615267135799054	brca	-0.38540438603361943	5	9
LZTS1	ENSP00000265801	0.6356140957905441	brca	0.058562889263623845	44	76
PEBP4	ENSP00000256404	0.6434301032323215	brca	-0.09124455763473982	41	73
ADAM28	ENSP00000265769	0.6673837297946843	brca	-0.33014234292047134	7	11
PLEKHA2	ENSP00000482228	0.6673837297946843	brca	0.04698167104709386	44	76
DCTN6	ENSP00000221114	0.6673837297946843	brca	-0.034198381263412	44	76
BRF2	ENSP00000220659	0.6846310698541881	brca	0.12603275091560134	27	52
TNFRSF10C	ENSP00000349324	0.6926040815481657	brca	0.21131384351863775	21	39
SCARA3	ENSP00000301904	0.7525908125352669	brca	-0.10576317136435387	8	7
LPL	ENSP00000497642	0.8053064065806372	brca	-0.05434108260674531	44	76
INTS10	ENSP00000381064	0.8053064065806372	brca	-0.016087275924904026	44	76
PTK2B	ENSP00000391995	0.8053064065806372	brca	-0.028479794074806164	44	76
LOXL2	ENSP00000373783	0.8188549075464641	brca	-0.05759629049574824	44	76
DEFA5	ENSP00000329890	0.8213264744039586	brca	0.11757765314534813	9	17
TNFRSF10A	ENSP00000221132	0.83033752950785	brca	-0.0579672925062713	26	50
MFHAS1	ENSP00000276282	0.8607074828044068	brca	0.04357788636120935	37	60
TUSC3	ENSP00000371450	0.8780150766033946	brca	0.04714472830584693	28	55
TACC1	ENSP00000321703	0.8936944390432726	brca	-0.020658331742619496	44	76
NEFM	ENSP00000221166	0.8936944390432726	brca	0.05624338755448485	7	16
FAM167A	ENSP00000284486	0.9057304515483837	brca	-0.06703764436317917	10	8
CTSB	ENSP00000342070	0.9057304515483837	brca	-0.017273902859553353	44	76
ASH2L	ENSP00000340896	0.9057304515483837	brca	-0.011323805846060894	44	76
POLR3D	ENSP00000303088	0.9121597392893331	brca	0.00958319663145904	44	76
ENTPD4	ENSP00000351520	0.9213176581594424	brca	0.025829827226105107	20	24
MSR1	ENSP00000405453	0.9240842611485215	brca	0.011067046424397972	44	76
MTMR7	ENSP00000180173	0.9240842611485215	brca	-0.04286568902781293	4	5
DMTN	ENSP00000370879	0.9340715407694992	brca	0.015819521377824733	44	76
NEFL	ENSP00000482169	0.9943317002693697	brca	0.0016716260808742056	35	63
ANGPT2	ENSP00000314897	0.9943317002693697	brca	0.0008363022174945611	29	54
GSR	ENSP00000221130	7.436928421340934e-07	coad	-0.37886882011937933	29	67
PPP2R2A	ENSP00000370113	3.4203454213815117e-06	coad	-0.4058744139290195	29	67
PCM1	ENSP00000327077	1.8246310576230682e-05	coad	-0.3458985562430491	29	67
XPO7	ENSP00000252512	4.087314543620288e-05	coad	-0.2227175802260134	29	67
