protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
EPHX2	ENSG00000120915	2.9341548385181095e-15	hnscc	-6.464764704023797	78	43
SCARA5	ENSG00000168079	9.646476838481069e-13	hnscc	-17.99070889529126	78	43
ERI1	ENSG00000104626	9.646476838481069e-13	hnscc	1.9481725362616031	78	43
LEPROTL1	ENSG00000104660	1.4513244563224328e-11	hnscc	2.373469549423735	78	43
BMP1	ENSG00000168487	3.994176607569073e-11	hnscc	4.831053883104087	78	43
PDLIM2	ENSG00000120913	1.0960354612449386e-10	hnscc	-1.9719419019740796	78	43
CDCA2	ENSG00000184661	1.0960354612449386e-10	hnscc	5.863532165791474	78	43
LOXL2	ENSG00000134013	1.1588122318001197e-10	hnscc	6.9507303258426685	78	43
MFHAS1	ENSG00000147324	2.7894902044807767e-10	hnscc	7.043371512151951	78	43
EXTL3	ENSG00000012232	5.920576259414719e-10	hnscc	3.063602088086985	78	43
PHYHIP	ENSG00000168490	9.674716450742754e-10	hnscc	-1.2221887012932842	78	43
ESCO2	ENSG00000171320	1.3142603918895186e-09	hnscc	1.4829341814066044	78	43
SLC39A14	ENSG00000104635	3.315710720282197e-09	hnscc	10.041732025133916	78	43
CTSB	ENSG00000164733	2.2676056846485687e-08	hnscc	62.75415912908609	78	43
ATP6V1B2	ENSG00000147416	3.8811484709623753e-08	hnscc	4.644232251670891	78	43
TNFRSF10B	ENSG00000120889	7.439910057283835e-08	hnscc	9.994303319950237	78	43
PBK	ENSG00000168078	1.6909154221462605e-07	hnscc	5.7062836724919155	78	43
ASAH1	ENSG00000104763	2.756693532018719e-07	hnscc	-9.789258037245531	78	43
SH2D4A	ENSG00000104611	2.767241674118748e-07	hnscc	-3.8400308457261616	78	43
GTF2E2	ENSG00000197265	3.542760920008199e-07	hnscc	6.041646522429437	78	43
ANGPT2	ENSG00000091879	7.28328200623751e-07	hnscc	1.8790410358159249	78	43
MAK16	ENSG00000198042	3.518001641169379e-06	hnscc	3.1940250131015624	78	43
ADRA1A	ENSG00000120907	3.518001641169379e-06	hnscc	-0.6040200700649652	78	43
TTI2	ENSG00000129696	3.518001641169379e-06	hnscc	0.8418273336920965	78	43
AGPAT5	ENSG00000155189	3.518001641169379e-06	hnscc	3.3182459264691975	78	43
TACC1	ENSG00000147526	3.665987551244146e-06	hnscc	-8.23505864836346	78	43
WRN	ENSG00000165392	4.719286448266748e-06	hnscc	3.944194020340132	78	43
ADAMDEC1	ENSG00000134028	5.123815517845341e-06	hnscc	7.938139902516345	78	43
MSR1	ENSG00000038945	5.123815517845341e-06	hnscc	3.9258528328478985	78	43
PEBP4	ENSG00000134020	6.721039138859855e-06	hnscc	-5.905304300918366	78	43
XPO7	ENSG00000130227	9.534830070823057e-06	hnscc	4.651048860068906	78	43
TDRP	ENSG00000180190	1.0529294499642609e-05	hnscc	2.131837912009813	78	43
LONRF1	ENSG00000154359	1.20813118802076e-05	hnscc	-2.8476380813770232	78	43
PINX1	ENSG00000254093	1.2890726006105591e-05	hnscc	0.9952862104428766	78	43
POLR3D	ENSG00000168495	1.2890726006105591e-05	hnscc	1.27764985940619	78	43
CLDN23	ENSG00000253958	1.4423337176233811e-05	hnscc	-1.0602137348797744	78	43
NKX3-1	ENSG00000167034	2.2339636564935885e-05	hnscc	-9.92054778573037	78	43
DOCK5	ENSG00000147459	2.325598516885171e-05	hnscc	2.639192015107855	78	43
DCTN6	ENSG00000104671	2.5350909908170867e-05	hnscc	2.2740456531534354	78	43
NRG1	ENSG00000157168	2.793402826346992e-05	hnscc	6.433906704892673	78	43
MYOM2	ENSG00000036448	5.925729577726691e-05	hnscc	-3.516076400491996	78	43
KBTBD11	ENSG00000176595	0.00011181615036824914	hnscc	-0.6103857458423851	78	43
EBF2	ENSG00000221818	0.00012362328250655066	hnscc	-0.8461104281974131	78	43
BAG4	ENSG00000156735	0.00012564368014304235	hnscc	3.591046432577297	78	43
RBPMS	ENSG00000157110	0.00012564368014304235	hnscc	-1.380169063283612	78	43
DLGAP2	ENSG00000198010	0.000130554145043568	hnscc	-0.06402221684822373	78	43
TUSC3	ENSG00000104723	0.00019198307091875127	hnscc	4.968325801628477	78	43
LSM1	ENSG00000175324	0.00019198307091875127	hnscc	5.276515118731377	78	43
CNOT7	ENSG00000198791	0.00022911699276402406	hnscc	1.6831180039494518	78	43
HTRA4	ENSG00000169495	0.00022911699276402406	hnscc	0.404179686005699	78	43
TM2D2	ENSG00000169490	0.00027670323003833517	hnscc	3.263322728958001	78	43
CLU	ENSG00000120885	0.00029845654966405896	hnscc	-39.77624202960018	78	43
ELP3	ENSG00000134014	0.000434471681425867	hnscc	1.5318163717925062	78	43
SCARA3	ENSG00000168077	0.0004415609055119144	hnscc	-4.187345847209227	78	43
FAM167A	ENSG00000154319	0.000458739951574736	hnscc	0.8503657940826531	78	43
MICU3	ENSG00000155970	0.0005327851717723567	hnscc	-0.4404888639433119	78	43
DUSP26	ENSG00000133878	0.0005339714913880851	hnscc	-5.452827248958068	78	43
BNIP3L	ENSG00000104765	0.0006290877477214322	hnscc	8.519857924245553	78	43
