cancer_type	protein	Database_ID	adj_p	change
brca	AARD	ENSP00000367528	0.7490905015410166	0.11936887586371026
brca	ADAM9	ENSP00000419446	0.14733237315188802	0.18360006348877655
brca	ADCK5	ENSP00000310547	0.05036274347625458	0.16205130199444553
brca	ADGRA2	ENSP00000323508	0.9015331194875699	-0.027777122398739557
brca	ADHFE1	ENSP00000379865	0.3333151639213375	
brca	AGO2	ENSP00000220592	1.3401235127483733e-06	0.27226218249248324
brca	ANKRD46	ENSP00000335287	0.14409334848445998	0.24754503185810237
brca	AP3M2	ENSP00000174653	0.5886928651675718	-0.05479173835949066
brca	ARFGEF1	ENSP00000262215	0.0001357476892050994	0.38701419439180873
brca	ARHGAP39	ENSP00000276826	0.01793929236776251	
brca	ARMC1	ENSP00000276569	9.304432968015353e-07	0.2917139398522235
brca	ASH2L	ENSP00000340896	0.00036250263979824114	0.22623106533593323
brca	ATAD2	ENSP00000287394	7.2365768010122404e-09	0.7276343421963926
brca	ATP6V0D2	ENSP00000285393	0.8285284507314886	
brca	ATP6V1C1	ENSP00000379203	0.0017093376763839716	0.20383260816993692
brca	ATP6V1H	ENSP00000352522	0.6943227896712343	0.027584953624336463
brca	BAG4	ENSP00000287322	0.014717478243991748	0.30552858353334184
brca	BHLHE22	ENSP00000318799	0.7072387977470754	0.6549228565287262
brca	BOP1	ENSP00000455106	1.6959150427728926e-05	0.316980061160974
brca	BRF2	ENSP00000220659	0.00015515426889581326	0.83805685324458
brca	C8orf76	ENSP00000276704	0.14846293174176137	
brca	C8orf82	ENSP00000436621	0.0004740552615022437	0.3571366297704826
brca	CA13	ENSP00000318912	0.20492005399548818	0.19487560427212303
brca	CA3	ENSP00000285381	0.22366453581836115	0.2911781427916785
brca	CA8	ENSP00000314407	0.42192743738285826	-0.176396613948131
brca	CALB1	ENSP00000265431	0.21400680638900318	0.9204654387172355
brca	CCN3	ENSP00000259526	0.9346732611752158	-0.01856384829346302
brca	CCN4	ENSP00000250160	0.2057581094832202	
brca	CCNE2	ENSP00000309181	0.06956112252658812	
brca	CEBPD	ENSP00000386165	0.6589867357694186	
brca	CHCHD7	ENSP00000306425	0.0035193977024845476	0.3195203071795099
brca	CHD7	ENSP00000392028	0.00014717166257869165	
brca	CHMP4C	ENSP00000297265	0.07488202460997909	0.24334712536962405
brca	CHRAC1	ENSP00000220913	0.0006691454359821203	0.36740815062805515
brca	CNGB3	ENSP00000316605	0.008189945858523612	-0.4765607106888772
brca	COL22A1	ENSP00000303153	0.42527888324936103	
brca	COLEC10	ENSP00000332723	0.7341144521157547	0.1166147266609297
brca	COMMD5	ENSP00000304544	0.951607615912616	0.0034367800964673345
brca	COPS5	ENSP00000350512	0.0035193977024845476	-0.12800738945370566
brca	COX6C	ENSP00000297564	0.6589867357694186	0.06853428618510221
brca	CPNE3	ENSP00000477590	0.019071032686524977	0.16690554874231586
brca	CPQ	ENSP00000220763	0.9953131689022496	-0.0007228961558959357
brca	CPSF1	ENSP00000478145	0.0024063176229692953	0.1477257294947244
brca	CRH	ENSP00000276571	0.12043297847757783	1.281261634822176
brca	CRISPLD1	ENSP00000262207	0.16193565316930977	
brca	CSPP1	ENSP00000262210	0.8483226809071405	0.03148654034512163
brca	CTHRC1	ENSP00000330523	0.9247655582554306	-0.019905059406915337
brca	CYC1	ENSP00000317159	4.245900426783476e-05	0.35009455037190723
brca	CYHR1	ENSP00000433769	0.0006982666869850467	0.2637314311457466
brca	CYP7B1	ENSP00000310721	0.9098534510400462	0.018026758509431792
brca	CYRIB	ENSP00000384880	0.025173642386796636	0.16377396809234454
brca	DCAF13	ENSP00000297579	6.349286346290474e-05	0.28041430948461993
brca	DDHD2	ENSP00000380352	0.2932243632000701	0.12419419297793345
brca	DECR1	ENSP00000220764	0.00269332231780116	0.2774355783358704
brca	DENND3	ENSP00000428714	0.008189945858523612	0.20774784795638435
brca	DEPTOR	ENSP00000286234	0.8471224579904464	-0.03322221333614306
brca	DERL1	ENSP00000259512	0.051630859951931014	0.2992035187824743
brca	DGAT1	ENSP00000482264	0.012286865615708527	0.4100070998185875
brca	DKK4	ENSP00000220812	0.8483226809071405	
brca	DPY19L4	ENSP00000389630	0.44819184922269933	
brca	DSCC1	ENSP00000322180	6.349286346290474e-05	0.4623970219627928
brca	E2F5	ENSP00000398124	0.00035119751165039255	0.6058658701332089
brca	EBAG9	ENSP00000337675	0.049050118954309885	0.22320043230578232
brca	EFR3A	ENSP00000254624	0.844198460732893	-0.022769330575498726
brca	EIF3E	ENSP00000220849	0.13330137551786894	0.07806851774635189
brca	EIF3H	ENSP00000276682	0.0916364049000215	0.0601296432273898
brca	EIF4EBP1	ENSP00000340691	0.06956112252658812	0.16771495370666242
brca	ELOC	ENSP00000284811	0.21945717117412225	0.08860519373033654
brca	EMC2	ENSP00000220853	0.18890069444386778	0.08412420496801966
brca	ENY2	ENSP00000429713	0.01587469344810945	0.16987578998068192
brca	EPPK1	ENSP00000484472	0.9629411137867872	-0.008985308187262758
brca	ERLIN2	ENSP00000428112	0.7629366651951645	-0.055143569533918996
brca	EXOSC4	ENSP00000315476	0.008189945858523612	0.11595650329701565
brca	EXT1	ENSP00000367446	0.5782397178267774	0.06203625533131925
brca	FABP4	ENSP00000256104	0.36815809811243955	-0.2645212971672433
brca	FABP5	ENSP00000297258	0.1574760474168844	0.22196945684398223
brca	FABP9	ENSP00000368362	0.6168474084503951	-0.23119566679943604
brca	FAM110B	ENSP00000355204	0.9010671005354224	
brca	FAM135B	ENSP00000378710	0.5677738647162237	-0.1003380637763763
brca	FAM83H	ENSP00000499217	0.0020758428475639553	0.313638583545008
brca	FAM91A1	ENSP00000335082	0.009505821098649843	0.15675315311234966
brca	FBXL6	ENSP00000330098	0.003429690754227591	0.27805361618325874
brca	FER1L6	ENSP00000428280	0.5701673586336042	0.7182514410714325
brca	FGFR1	ENSP00000327229	0.5701673586336042	-0.11204912374432396
brca	FNTA	ENSP00000303423	0.24915204464846116	-0.07401620312312723
brca	FSBP	ENSP00000420405	0.33964907205457884	0.2759486732984232
brca	FZD6	ENSP00000351605	0.15846187057246422	0.26322632294409853
brca	GDAP1	ENSP00000220822	0.6756794314051655	0.1062286975203337
brca	GEM	ENSP00000297596	0.20339132203681135	
brca	GGH	ENSP00000260118	0.007225894931629059	0.4712581287419328
brca	GINS4	ENSP00000276533	0.0005786401624703993	0.47328075472222025
brca	GLI4	ENSP00000345024	0.31445533457042113	0.49724263788349865
brca	GOLGA7	ENSP00000350378	0.8448525320553171	0.0396833533096618
brca	GPAA1	ENSP00000347206	0.9346732611752158	-0.010222537257553926
brca	GPAT4	ENSP00000380184	0.4255431988422124	0.10575577793297217
brca	GPT	ENSP00000378408	0.9223004340461239	-0.02315491098279815
brca	GRHL2	ENSP00000495564	2.5031592206187405e-06	0.3101959208058637
brca	GSDMC	ENSP00000276708	0.7027510555723895	0.17750465794871467
brca	GSDMD	ENSP00000433958	0.16849258455083108	0.11834668103590396
brca	HGH1	ENSP00000321320	7.2365768010122404e-09	0.41055753859613353
brca	HGSNAT	ENSP00000368965	0.5799622483670075	0.13049248837330005
brca	HOOK3	ENSP00000305699	0.21201560313453205	0.10443652741368249
brca	HSF1	ENSP00000431512	1.90325032326901e-11	0.509258342687404
brca	IDO1	ENSP00000430505	0.03871888045868947	0.4651639578056399
brca	IKBKB	ENSP00000430684	0.5886928651675718	-0.06376294155054418
brca	IMPA1	ENSP00000256108	0.8639534997671822	0.020626451471506442
brca	INTS8	ENSP00000430338	0.052144994884133655	0.08285799782004957
brca	JPH1	ENSP00000344488	0.007068386266838132	0.638222337579192
brca	JRK	ENSP00000461610	0.03871888045868947	0.3528080578144819
brca	KAT6A	ENSP00000265713	0.011494688382020321	0.21149433148209007
brca	KHDRBS3	ENSP00000348108	0.9010671005354224	-0.02403829530014759
brca	KLF10	ENSP00000285407	0.03590425107263526	
brca	LACTB2	ENSP00000276590	0.015185906811945992	0.23429713172253033
brca	LRATD2	ENSP00000302578	0.9346732611752158	0.012219147368006361
brca	LRRC14	ENSP00000292524	0.0035193977024845476	0.20652487575158063
brca	LRRCC1	ENSP00000353538	0.5886928651675718	0.10015545617111207
brca	LSM1	ENSP00000310596	0.2565516110890765	0.10046981583453478
brca	LY6D	ENSP00000301263	0.38612094346636633	
brca	LY6E	ENSP00000292494	0.0916364049000215	
brca	LY6H	ENSP00000342711	0.8632528239103471	
brca	LY96	ENSP00000284818	0.03834075677503393	
brca	LYNX1	ENSP00000477648	0.6433898186820591	-0.30709672586991354
brca	LYPLA1	ENSP00000344477	0.04557496827685732	-0.5807028655606002
brca	LYPLA1	ENSP00000320043	0.29227502794248933	0.11382667495197754
brca	MAF1	ENSP00000318604	0.3947069372891681	0.06715693720816598
brca	MAL2	ENSP00000479708	0.49832422139035465	0.13021498251897418
brca	MCM4	ENSP00000262105	0.0006309937255859836	0.43725345069879273
brca	MED30	ENSP00000297347	0.05170715142062362	0.14589299855861992
brca	MFSD3	ENSP00000301327	0.010349282177126794	
brca	MROH1	ENSP00000321737	0.0008225505795131416	0.24464467262563394
brca	MRPL13	ENSP00000306548	0.03995899636574468	0.16859654589246093
brca	MRPL15	ENSP00000260102	0.0006691454359821203	0.25514368657893194
brca	MRPS28	ENSP00000276585	0.00991433209385803	0.26074101469605304
brca	MTBP	ENSP00000303398	0.003515712597939754	
brca	MTERF3	ENSP00000287025	7.364414781366229e-07	0.5486130825557454
brca	MTFR1	ENSP00000262146	4.2277526303283576e-07	0.5521580996596185
brca	MTSS1	ENSP00000322804	0.33964907205457884	0.1332417060901391
brca	MYC	ENSP00000367207	0.005798207099344255	
brca	NAPRT	ENSP00000401508	0.5989325500588292	0.08382472472214757
brca	NBN	ENSP00000265433	0.16020448446271945	0.09194538144281325
brca	NCALD	ENSP00000220931	0.9346732611752158	-0.013542255723852314
brca	NCOA2	ENSP00000399968	4.061688843299663e-05	0.2751375718074154
brca	NDRG1	ENSP00000319977	0.003429690754227591	0.42296378541687446
brca	NDUFAF6	ENSP00000379430	0.00037987016698977886	0.34439905185292696
brca	NDUFB9	ENSP00000276689	0.8933061994872761	0.015716507168293856
brca	NIPAL2	ENSP00000407087	0.649181239192936	0.1528079299457289
brca	NRBP2	ENSP00000414055	0.06941023847760255	0.14746162830530163
brca	NSMAF	ENSP00000038176	0.00382466138471034	0.16643814229513756
brca	NSMCE2	ENSP00000287437	0.0018020553714090865	0.21568734717363344
brca	NUDCD1	ENSP00000239690	4.2277526303283576e-07	0.4504133281447643
brca	OPLAH	ENSP00000480476	0.2262774170184591	0.1497331080048095
brca	OTUD6B	ENSP00000285420	1.0707576971513109e-05	0.40836604253324893
brca	PABPC1	ENSP00000313007	0.015185906811945992	0.13527371104933603
brca	PAG1	ENSP00000220597	0.30523855554983503	0.11278019493976796
brca	PARP10	ENSP00000325618	0.06105905264985702	
brca	PCMTD1	ENSP00000353739	0.5924240747780083	0.06810523714871347
brca	PDE7A	ENSP00000385632	0.6665979482448152	0.06570292730644504
brca	PDP1	ENSP00000297598	0.010349282177126794	0.19357821024856886
brca	PEX2	ENSP00000349543	0.8529021807483796	-0.05697130503609554
brca	PHF20L1	ENSP00000220847	2.0189921291265217e-05	0.3293535769978591
brca	PHF20L1	ENSP00000338269	0.04430637020341508	0.7283794508464496
brca	PI15	ENSP00000260113	0.3515820141108835	-0.20383905361059984
brca	PIP4P2	ENSP00000285419	0.21201560313453205	0.18305916251496507
brca	PKIA	ENSP00000336552	0.04717442321182726	
brca	PLEKHA2	ENSP00000482228	0.6087198765898776	0.054589829962122485
brca	PLEKHF2	ENSP00000322373	0.5540536230285014	0.06371326734263018
brca	PLPBP	ENSP00000333551	0.9346732611752158	0.009581324828303317
brca	PMP2	ENSP00000256103	0.5569876125987656	0.310171433888166
brca	POLB	ENSP00000265421	0.62896576093886	-0.0698837500018831
brca	POLR2K	ENSP00000342889	0.3947069372891681	0.10174197165140428
