cancer_type	protein	Database_ID	adj_p	change
brca	A1BG	ENSP00000263100	0.1149246845009095	-0.22009409213574888
brca	A2M	ENSP00000323929	0.9952105635527352	-0.0018481232881203125
brca	A2ML1	ENSP00000299698	0.029385848594575652	0.7343530138225228
brca	A4GALT	ENSP00000249005	0.8634961949144883	
brca	AAAS	ENSP00000209873	0.010313003525825	0.1786315369265254
brca	AACS	ENSP00000324842	0.5306565596948067	-0.12208555270420524
brca	AADAT	ENSP00000226840	0.8817789853793679	
brca	AAGAB	ENSP00000261880	0.00638915375010063	-0.23632557999057138
brca	AAK1	ENSP00000386456	0.6498398582797629	-0.03689825826369224
brca	AAMDC	ENSP00000377078	0.10109821946753851	-0.2903030092903699
brca	AAMP	ENSP00000416394	0.5227308984274225	-0.07160603256488976
brca	AAR2	ENSP00000313674	0.053623531150322076	0.11985079007674239
brca	AARS1	ENSP00000261772	0.9946702120188642	0.0011815231077563961
brca	AARS2	ENSP00000244571	0.5711043447463391	0.055749269377634705
brca	AARSD1	ENSP00000400870	0.3767126698278394	-0.1330182409526934
brca	AASDH	ENSP00000205214	0.987758186353548	-0.004604491253785099
brca	AASDHPPT	ENSP00000278618	0.7148743976309807	0.03949983489570123
brca	AASS	ENSP00000377040	0.0009041413750677689	-0.4263575056194766
brca	AATF	ENSP00000477848	0.042799467627226556	0.194018435849474
brca	ABAT	ENSP00000268251	0.012197866229676701	-0.6396958145989449
brca	ABCA1	ENSP00000363868	0.8117978527991891	0.05168196791065702
brca	ABCA12	ENSP00000272895	0.8698966986878519	
brca	ABCA2	ENSP00000265662	0.9464611088242072	0.016246870420811747
brca	ABCA3	ENSP00000301732	0.527302991325963	-0.12028703814201312
brca	ABCA4	ENSP00000359245	0.3439123577114621	-0.555305957540321
brca	ABCA6	ENSP00000284425	0.40216928285614256	-0.2505173428052316
brca	ABCA8	ENSP00000402814	0.985716623370218	-0.006695707665270962
brca	ABCB1	ENSP00000265724	0.5666478508881263	-0.16041433226493107
brca	ABCB10	ENSP00000355637	0.21761009650589808	0.15398749010497112
brca	ABCB6	ENSP00000265316	0.932890986281107	-0.019830309244487393
brca	ABCB8	ENSP00000297504	0.9221177935973138	0.01530275541000968
brca	ABCB9	ENSP00000280559	0.7858182157225883	-0.20289990166719393
brca	ABCC1	ENSP00000382342	0.7684071113952963	0.04172278517610711
brca	ABCC10	ENSP00000244533	0.6568880930565923	-0.08949827355349119
brca	ABCC11	ENSP00000349017	0.1285787673181451	-0.3896590326549588
brca	ABCC3	ENSP00000285238	0.6366685156354824	-0.12323018423401544
brca	ABCC4	ENSP00000494609	0.7409481726377403	-0.08218151249087541
brca	ABCC5	ENSP00000265586	0.11830620675514317	0.34130626908841677
brca	ABCD3	ENSP00000359233	0.48031558029283994	-0.1746470476090613
brca	ABCD4	ENSP00000349396	0.40686102386981665	-0.23738288704557423
brca	ABCE1	ENSP00000296577	0.10718622530332512	0.11093148147818727
brca	ABCF1	ENSP00000313603	0.18343703122371674	0.0987655347219838
brca	ABCF3	ENSP00000411471	0.9664676234008077	-0.0041916104475914345
brca	ABCG1	ENSP00000291524	0.4266625533314214	-0.18154856717208492
brca	ABHD10	ENSP00000273359	0.8644892901439566	0.023988698930206956
brca	ABHD11	ENSP00000222800	0.5019171415863095	0.12057798841795353
brca	ABHD12	ENSP00000341408	0.5096684848065186	-0.10074358973710779
brca	ABHD13	ENSP00000365063	0.18439322463072225	-0.2222615563895556
brca	ABHD14B	ENSP00000354841	0.02261119917350381	-0.2724157816289364
brca	ABHD15	ENSP00000302657	0.29474004846467255	-0.3070539514133949
brca	ABHD16A	ENSP00000379282	0.14783302711265997	-0.16277349936671376
brca	ABHD17A	ENSP00000250974	0.7539135940185125	-0.043947202129437604
brca	ABHD17B	ENSP00000330222	0.42662565770135535	0.09130158203355047
brca	ABHD17C	ENSP00000258884	0.061025420882077394	-0.3370233197830564
brca	ABHD18	ENSP00000381937	0.2727433039698976	0.3339357398996837
brca	ABHD2	ENSP00000268129	0.14186356979222203	0.3365523856270406
brca	ABHD3	ENSP00000289119	0.006830486203778202	-0.37166443960401885
brca	ABHD4	ENSP00000414558	0.18009317829006286	-0.13192789924362375
brca	ABHD5	ENSP00000495778	0.4832980200386063	0.12501096956514507
brca	ABHD6	ENSP00000295962	0.36327537711136326	-0.1324068698414228
brca	ABI3	ENSP00000225941	0.4914267389192948	0.07737451975894333
brca	ABI3BP	ENSP00000420524	0.022300839546944472	-0.5118310220446792
brca	ABITRAM	ENSP00000363753	0.7954479410206619	0.03041411443376893
brca	ABL1	ENSP00000361423	0.32657376299990204	0.3358949598659527
brca	ABL1	ENSP00000323315	0.7081263579891465	-0.03926732019290653
brca	ABRACL	ENSP00000356632	0.8739082871425923	-0.04812835348783212
brca	ABRAXAS1	ENSP00000369857	0.5720530020936128	0.047959346399037636
brca	ABRAXAS2	ENSP00000298492	0.06878511804157941	-0.10620435582514545
brca	ABT1	ENSP00000274849	0.0016965333977813923	0.31698546032366665
brca	ABTB1	ENSP00000232744	0.8280958287769333	0.06263756599246054
brca	ABTB2	ENSP00000410157	0.96851851945715	-0.012650652524047401
brca	AC119396.1	ENSP00000458866	0.4233370506433288	
brca	ACAA1	ENSP00000333664	0.05294993157141942	-0.19865565785776335
brca	ACAA2	ENSP00000466015	0.4780383870820563	0.1121873606797306
brca	ACACA	ENSP00000478547	0.17590233177790038	-0.2273092369641263
brca	ACACB	ENSP00000341044	0.1634228023387836	-0.2451249938737191
brca	ACAD10	ENSP00000389813	0.07721595775882562	0.1960609552946908
brca	ACAD11	ENSP00000264990	0.8626288223719983	-0.045974320261437905
