	event	proportion
C3L-00081	False	0.0
C3L-00415	False	0.0
C3L-00445	True	1.0
C3L-00568	False	0.0
C3L-00603	False	0.0
C3L-00904	False	0.0
C3L-00923	False	0.0
C3L-00927	False	0.7711998943283834
C3L-00965	False	0.0
C3L-00993	True	1.0
C3L-01000	False	0.0
C3L-01285	True	1.0
C3L-01455	False	0.0
C3L-01606	False	0.0
C3L-01663	True	1.0
C3L-01838	False	0.0
C3L-01884	True	1.0
C3L-02127	True	0.9875075739162641
C3L-02130	False	0.0
C3L-02163	False	0.24875636172118681
C3L-02164	False	0.0
C3L-02168	False	0.0
C3L-02170	False	0.0
C3L-02349	True	1.0
C3L-02358	False	0.0
C3L-02546	False	0.0
C3L-02552	False	0.0
C3L-02619	False	0.0
C3L-02624	True	1.0
C3L-02625	False	0.0
C3L-02627	True	1.0
C3L-02629	False	0.0
C3L-02646	False	0.0
C3L-02648	False	0.0
C3L-02649	True	1.0
C3L-02650	False	0.0
C3L-02660	False	0.0
C3L-02665	True	1.0
C3L-02669	True	1.0
C3L-02891	False	0.0
C3L-02951	False	0.0
C3L-02963	False	0.0
C3L-02964	False	0.0
C3L-02968	True	1.0
C3L-02969	False	0.007563774427875858
C3L-03272	False	0.0
C3L-03678	True	1.0
C3L-03961	False	0.0
C3L-03962	True	0.99864022190478
C3L-03963	False	0.0
C3L-03965	True	1.0
C3L-04013	True	1.0
C3L-04014	False	0.0
C3L-04071	False	0.0
C3L-04391	True	0.8724701645777876
C3N-00211	False	0.0
C3N-00221	False	0.1445558377567297
C3N-00247	False	0.0
C3N-00497	False	0.0
C3N-00555	True	1.0
C3N-01017	True	1.0
C3N-01018	True	0.9875075739162641
C3N-01020	False	0.0
C3N-01025	True	0.9757147590668191
C3N-01028	False	0.0
C3N-01194	False	0.0
C3N-01411	True	1.0
C3N-01846	True	1.0
C3N-01892	True	1.0
C3N-01893	False	0.0
C3N-02252	True	1.0
C3N-02283	True	0.8618347122136414
C3N-02284	True	1.0
C3N-02285	True	1.0
C3N-02288	False	0.0
C3N-02289	False	0.0
C3N-02300	True	1.0
C3N-02339	True	0.8737085213813419
C3N-02374	False	0.0
C3N-02375	False	0.4134630103370227
C3N-02425	True	0.9042572761358102
C3N-02426	False	0.0
C3N-02434	True	1.0
C3N-02435	False	0.0
C3N-02494	True	1.0
C3N-02523	False	0.5967884559654456
C3N-02575	True	1.0
C3N-02675	False	0.0
C3N-03051	False	0.0
C3N-03072	False	0.6491903761624597
C3N-03076	True	0.8481890646019525
C3N-03092	False	0.0
C3N-03093	False	0.0
C3N-03204	True	1.0
C3N-03424	False	0.0
C3N-03425	False	0.0
C3N-03441	False	0.0
C3N-03486	True	1.0
C3N-03662	True	1.0
C3N-03848	False	0.0
C3N-03851	True	1.0
C3N-03875	False	0.0
C3N-03877	True	1.0
C3N-03880	False	0.0
C3N-03882	True	0.9875075739162641
C3N-03886	False	0.3176953003573225
C3N-04124	False	0.0
C3N-04127	False	0.0
C3N-04155	True	1.0
C3N-04162	False	0.0
