protein	cancers	mean_simp_change	num_cancers
ATP6V1E1	colon_hnscc_lscc_luad	-1.0	4
CNOT8	brca_lscc_luad		3
ATP6V1H	colon_lscc_luad	-1.0	3
AGO2	colon_lscc	1.0	2
ATP6V1D	colon_lscc	-1.0	2
COQ8A	colon_lscc	1.0	2
CRELD2	colon_lscc	-1.0	2
CSNK2A2	colon_lscc	1.0	2
DNAJC19	colon_lscc	1.0	2
FNDC3A	colon_lscc	-1.0	2
MRE11	colon_lscc	1.0	2
NUCB2	colon_lscc	-1.0	2
ATP6V1A	colon_luad	-1.0	2
CDKN2C	hnscc_lscc	-1.0	2
SLIT3	hnscc_lscc	-1.0	2
ATP6V1G1	lscc_luad	-1.0	2
ELOB	lscc_luad	1.0	2
ISG20	lscc_luad	-1.0	2
MTMR6	lscc_luad	-1.0	2
PLCL2	lscc_luad	-1.0	2
PPIB	lscc_luad	-1.0	2
RCC1	lscc_luad	1.0	2
SELP	lscc_luad	-1.0	2
STK4	lscc_luad	-1.0	2
DICER1	colon	-1.0	1
LAMP1	colon	1.0	1
NDUFAF2	colon	1.0	1
RABGAP1	colon	1.0	1
A2M	lscc	-1.0	1
AAAS	lscc	1.0	1
AAGAB	lscc	1.0	1
AAR2	lscc	1.0	1
AARS2	lscc	1.0	1
AATF	lscc	1.0	1
AATK	lscc	-1.0	1
ABCA1	lscc	-1.0	1
ABCA3	lscc	-1.0	1
ABCA6	lscc	-1.0	1
ABCA8	lscc	-1.0	1
ABCB1	lscc	-1.0	1
ABCB6	lscc	1.0	1
ABCC1	lscc	1.0	1
ABCC5	lscc	1.0	1
ABCD1	lscc	-1.0	1
ABCF1	lscc	1.0	1
ABCF3	lscc	1.0	1
ABHD11	lscc	1.0	1
ABHD14B	lscc	-1.0	1
ABHD6	lscc	-1.0	1
ABI3	lscc	-1.0	1
ABITRAM	lscc		1
ABT1	lscc	1.0	1
AC118549.1	lscc	1.0	1
ACAA1	lscc	-1.0	1
ACAD9	lscc	1.0	1
ACADM	lscc	-1.0	1
ACAP1	lscc	-1.0	1
ACAT2	lscc	1.0	1
ACE	lscc	-1.0	1
ACOX2	lscc	-1.0	1
ACP2	lscc	-1.0	1
ACP5	lscc	-1.0	1
ACSL4	lscc	-1.0	1
ACSL5	lscc	-1.0	1
ACSM3	lscc	-1.0	1
ACTB	lscc	-1.0	1
ACTL6A	lscc	1.0	1
ACTR1A	lscc	-1.0	1
ACTR3	lscc	-1.0	1
ACTR6	lscc	1.0	1
ADA2	lscc	-1.0	1
ADAM8	lscc	-1.0	1
ADAMTS15	lscc		1
ADAP1	lscc	-1.0	1
ADAP2	lscc	-1.0	1
ADARB1	lscc	-1.0	1
ADAT2	lscc	1.0	1
ADCY7	lscc	-1.0	1
ADGRE2	lscc	-1.0	1
ADGRE5	lscc	-1.0	1
ADGRF5	lscc	-1.0	1
ADGRG1	lscc	1.0	1
ADGRL4	lscc	-1.0	1
ADI1	lscc	1.0	1
ADNP	lscc	1.0	1
ADPGK	lscc	-1.0	1
ADPRH	lscc	-1.0	1
AEBP2	lscc	1.0	1
AFF4	lscc	1.0	1
AFG3L2	lscc	1.0	1
AGAP2	lscc		1
AGPAT3	lscc	-1.0	1
AGR3	lscc	-1.0	1
AHCTF1	lscc	1.0	1
AHCY	lscc	1.0	1
AHSA1	lscc	1.0	1
AIF1	lscc	-1.0	1
AIF1L	lscc	1.0	1
AIFM2	lscc	-1.0	1
AK1	lscc	-1.0	1
AK4	lscc	1.0	1
AKAP1	lscc	1.0	1
AKAP11	lscc	-1.0	1
AKAP12	lscc	-1.0	1
AKAP13	lscc	-1.0	1
AKAP8	lscc	1.0	1
AKAP8L	lscc	1.0	1
AKNA	lscc	-1.0	1
AKR1C1	lscc	1.0	1
AL022312.1	lscc	1.0	1
AL034430.2	lscc	1.0	1
ALDH16A1	lscc	-1.0	1
ALDH1L2	lscc	-1.0	1
ALDH3B1	lscc	-1.0	1
ALDH5A1	lscc	1.0	1
ALG1	lscc	-1.0	1
ALG11	lscc	-1.0	1
ALG13	lscc	-1.0	1
ALG14	lscc	-1.0	1
ALG2	lscc	-1.0	1
ALG3	lscc	1.0	1
ALG5	lscc	-1.0	1
ALKBH2	lscc	1.0	1
ALKBH4	lscc	1.0	1
ALOX15B	lscc	-1.0	1
ALOX5	lscc	-1.0	1
ALOX5AP	lscc	-1.0	1
ALPL	lscc	-1.0	1
ALYREF	lscc	1.0	1
AMD1	lscc	-1.0	1
AMMECR1	lscc	1.0	1
AMPD2	lscc	-1.0	1
AMPD3	lscc	-1.0	1
AMPH	lscc	-1.0	1
ANAPC1	lscc	1.0	1
ANAPC10	lscc	1.0	1
ANAPC11	lscc	1.0	1
ANAPC5	lscc	1.0	1
ANAPC7	lscc	1.0	1
ANGEL2	lscc	1.0	1
ANKRD11	lscc	1.0	1
ANKRD13A	lscc	-1.0	1
ANKRD13D	lscc	-1.0	1
ANKRD28	lscc	1.0	1
ANKRD40	lscc	1.0	1
ANKRD54	lscc	1.0	1
ANKZF1	lscc	1.0	1
ANLN	lscc	1.0	1
ANO10	lscc	-1.0	1
ANP32E	lscc	1.0	1
ANTXR2	lscc	-1.0	1
AOAH	lscc	-1.0	1
AOX1	lscc	-1.0	1
AP1G2	lscc	-1.0	1
AP2A1	lscc	-1.0	1
AP2M1	lscc	-1.0	1
AP2S1	lscc	-1.0	1
AP3B1	lscc	-1.0	1
AP3D1	lscc	-1.0	1
AP3M1	lscc	-1.0	1
AP4B1	lscc	-1.0	1
AP4E1	lscc		1
AP5B1	lscc	-1.0	1
APAF1	lscc	-1.0	1
APBA3	lscc	-1.0	1
APBB1IP	lscc	-1.0	1
APEX2	lscc	1.0	1
APOBEC3C	lscc	-1.0	1
APOBR	lscc	-1.0	1
APOL3	lscc	-1.0	1
APOL6	lscc		1
APPL1	lscc	-1.0	1
AQR	lscc	1.0	1
ARAP1	lscc	-1.0	1
ARCN1	lscc	-1.0	1
ARF4	lscc	-1.0	1
ARFGAP3	lscc	-1.0	1
ARGLU1	lscc	1.0	1
ARHGAP1	lscc	-1.0	1
ARHGAP15	lscc	-1.0	1
ARHGAP18	lscc	-1.0	1
ARHGAP24	lscc	-1.0	1
ARHGAP26	lscc	-1.0	1
ARHGAP30	lscc	-1.0	1
ARHGAP31	lscc	-1.0	1
ARHGAP4	lscc	-1.0	1
ARHGAP42	lscc		1
ARHGAP44	lscc	-1.0	1
ARHGAP45	lscc	-1.0	1
ARHGAP6	lscc	-1.0	1
ARHGAP9	lscc	-1.0	1
ARHGDIA	lscc	-1.0	1
ARHGDIB	lscc	-1.0	1
ARHGEF17	lscc	-1.0	1
ARHGEF18	lscc	-1.0	1
ARHGEF40	lscc	-1.0	1
ARHGEF6	lscc	-1.0	1
ARID2	lscc	1.0	1
ARID4B	lscc	1.0	1
ARL2	lscc	1.0	1
ARL5A	lscc	-1.0	1
ARL6IP5	lscc	-1.0	1
ARMCX1	lscc	-1.0	1
ARPC1B	lscc	-1.0	1
ARPC2	lscc	-1.0	1
ARPC3	lscc	-1.0	1
ARPC5	lscc	-1.0	1
ARRB2	lscc	-1.0	1
ARSB	lscc	-1.0	1
ASB6	lscc	1.0	1
ASF1A	lscc	1.0	1
ASF1B	lscc	1.0	1
ASH2L	lscc	1.0	1
ASPA	lscc	-1.0	1
ASPHD2	lscc	-1.0	1
ASPM	lscc		1
ASXL2	lscc	1.0	1
ATAD1	lscc	1.0	1
ATAD2	lscc	1.0	1
ATAD2B	lscc	1.0	1
ATAD3A	lscc	1.0	1
ATAD5	lscc		1
ATG2B	lscc	-1.0	1
ATG4C	lscc	-1.0	1
ATG7	lscc	-1.0	1
ATM	lscc	-1.0	1
ATOX1	lscc	-1.0	1
ATP13A1	lscc	-1.0	1
ATP13A4	lscc	-1.0	1
ATP6V1F	lscc	-1.0	1
ATP9B	lscc		1
ATPAF1	lscc	1.0	1
ATR	lscc	1.0	1
ATXN1	lscc		1
ATXN10	lscc	1.0	1
ATXN7L3	lscc	1.0	1
ATXN7L3B	lscc	1.0	1
AUH	lscc	-1.0	1
AURKA	lscc	1.0	1
AURKB	lscc	1.0	1
AVEN	lscc	-1.0	1
AXL	lscc		1
AZI2	lscc	-1.0	1
BAIAP2L1	lscc	1.0	1
BANF1	lscc	1.0	1
BANK1	lscc	-1.0	1
BAP1	lscc	1.0	1
BASP1	lscc	-1.0	1
BAX	lscc	-1.0	1
BAZ1B	lscc	1.0	1
BAZ2A	lscc	1.0	1
BBS1	lscc	-1.0	1
BBS2	lscc	-1.0	1
BCAS2	lscc	1.0	1
BCL11A	lscc		1
BCL3	lscc	-1.0	1
BCL9	lscc	1.0	1
BDH2	lscc	-1.0	1
BEND3	lscc	1.0	1
BICC1	lscc	-1.0	1
BIN2	lscc	-1.0	1
BIRC3	lscc		1
BIRC5	lscc	1.0	1
BIRC6	lscc	1.0	1
BLM	lscc	1.0	1
BLNK	lscc	-1.0	1
BMP2K	lscc	-1.0	1
BMS1	lscc	1.0	1
BMT2	lscc		1
BNIP3	lscc	1.0	1
BOD1	lscc	1.0	1
BOLA3	lscc	1.0	1
BOP1	lscc	1.0	1
BORCS6	lscc	-1.0	1
BPHL	lscc		1
BRAP	lscc	1.0	1
BRCA1	lscc		1
BRD1	lscc	1.0	1
BRD2	lscc	1.0	1
BRF2	lscc	1.0	1
BRIX1	lscc	1.0	1
BRMS1L	lscc	1.0	1
BROX	lscc	1.0	1
BST2	lscc	-1.0	1
BTAF1	lscc	1.0	1
BTBD11	lscc	1.0	1
BTF3	lscc	1.0	1
BTF3L4	lscc	1.0	1
BTG2	lscc	-1.0	1
BTK	lscc	-1.0	1
BTN3A1	lscc	-1.0	1
BTN3A2	lscc	-1.0	1
BTN3A3	lscc	-1.0	1
BUB1	lscc	1.0	1
BUB3	lscc	1.0	1
BUD13	lscc	1.0	1
BUD31	lscc	1.0	1
BYSL	lscc	1.0	1
C10orf88	lscc	1.0	1
C11orf96	lscc	-1.0	1
C12orf10	lscc	1.0	1
C12orf43	lscc	1.0	1
C12orf65	lscc	1.0	1
C12orf73	lscc	1.0	1
C15orf40	lscc	1.0	1
C15orf48	lscc	-1.0	1
C16orf86	lscc	-1.0	1
C16orf89	lscc	-1.0	1
C17orf75	lscc	1.0	1
C19orf25	lscc	-1.0	1
C19orf53	lscc	-1.0	1
C1D	lscc	1.0	1
C1QBP	lscc	1.0	1
C1orf112	lscc	1.0	1
C1orf116	lscc	-1.0	1
C1orf131	lscc		1
C1orf226	lscc		1
C1orf35	lscc	1.0	1
C1orf43	lscc		1
C2CD2	lscc	-1.0	1
C2CD2L	lscc	-1.0	1
C3	lscc	-1.0	1
C5AR1	lscc	-1.0	1
C5orf22	lscc	1.0	1
C5orf51	lscc	1.0	1
C8orf82	lscc	1.0	1
CA3	lscc	-1.0	1
CA4	lscc	-1.0	1
CA8	lscc	1.0	1
CAB39	lscc	-1.0	1
CABIN1	lscc	1.0	1
CACNA2D2	lscc		1
CACNB3	lscc	1.0	1
CACUL1	lscc	1.0	1
CACYBP	lscc	1.0	1
CAD	lscc	1.0	1
CALCRL	lscc	-1.0	1
CALHM5	lscc	-1.0	1
CALHM6	lscc		1
CALR	lscc	-1.0	1
CAMK1	lscc	-1.0	1
CAMK4	lscc	-1.0	1
CAPG	lscc	-1.0	1
CAPN15	lscc	-1.0	1
CAPZA1	lscc	-1.0	1
CARD16	lscc	-1.0	1
CARD8	lscc		1
CARD9	lscc		1
CARMIL2	lscc	-1.0	1
CASC3	lscc	1.0	1
CASP10	lscc	-1.0	1
CASP2	lscc	1.0	1
CASP4	lscc	-1.0	1
CASP8AP2	lscc		1
CASS4	lscc		1
CAV1	lscc	-1.0	1
CAVIN1	lscc	-1.0	1
CAVIN3	lscc	-1.0	1
CBLL1	lscc	1.0	1
CBR3	lscc	1.0	1
CBX1	lscc	1.0	1
CBX2	lscc		1
CBX3	lscc	1.0	1
CBX4	lscc	1.0	1
CBX8	lscc	1.0	1
CCAR1	lscc	1.0	1
CCDC12	lscc	1.0	1
CCDC137	lscc	1.0	1
CCDC149	lscc	-1.0	1
CCDC22	lscc	-1.0	1
CCDC32	lscc	-1.0	1
CCDC43	lscc	1.0	1
CCDC58	lscc	1.0	1
CCDC61	lscc	-1.0	1
CCDC77	lscc	-1.0	1
CCDC86	lscc	1.0	1
CCDC88B	lscc	-1.0	1
CCDC97	lscc	1.0	1
CCDC9B	lscc	-1.0	1
CCL5	lscc		1
CCM2	lscc	-1.0	1
CCNB1	lscc	1.0	1
CCND3	lscc		1
CCNDBP1	lscc	1.0	1
CCNH	lscc	1.0	1
CCNK	lscc	1.0	1
CCNL1	lscc	1.0	1
CCNT1	lscc	1.0	1
CCNT2	lscc	1.0	1
CCP110	lscc	1.0	1
CCR1	lscc	-1.0	1
CCR6	lscc	-1.0	1
CCRL2	lscc	-1.0	1
CCT2	lscc	1.0	1
CCT3	lscc	1.0	1
CCT4	lscc	1.0	1
CCT5	lscc	1.0	1
CCT6A	lscc	1.0	1
CCT7	lscc	1.0	1
CCT8	lscc	1.0	1
CD14	lscc	-1.0	1
CD163L1	lscc		1
CD180	lscc	-1.0	1
CD19	lscc		1
CD2	lscc	-1.0	1
CD209	lscc	-1.0	1
CD248	lscc	-1.0	1
CD27	lscc	-1.0	1
CD2BP2	lscc	1.0	1
CD300A	lscc	-1.0	1
CD300LF	lscc	-1.0	1
CD33	lscc	-1.0	1
CD34	lscc	-1.0	1
CD37	lscc	-1.0	1
CD38	lscc	-1.0	1
CD3D	lscc	-1.0	1
CD3E	lscc	-1.0	1
CD3G	lscc	-1.0	1
CD4	lscc	-1.0	1
CD40	lscc	-1.0	1
CD44	lscc	-1.0	1
CD47	lscc	-1.0	1
CD48	lscc	-1.0	1
CD5	lscc	-1.0	1
CD53	lscc	-1.0	1
CD6	lscc	-1.0	1
CD63	lscc	-1.0	1
CD69	lscc	-1.0	1
CD7	lscc		1
CD72	lscc		1
CD79A	lscc		1
CD81	lscc	-1.0	1
CD82	lscc	-1.0	1
CD83	lscc	-1.0	1
CD84	lscc		1
CD86	lscc		1
CD8A	lscc	-1.0	1
CD93	lscc	-1.0	1
CD99L2	lscc	-1.0	1
CDC40	lscc	1.0	1
CDC42EP1	lscc	-1.0	1
CDC42EP5	lscc	-1.0	1
CDC42SE2	lscc	-1.0	1
CDC45	lscc	1.0	1
CDC5L	lscc	1.0	1
CDC73	lscc	1.0	1
CDCA3	lscc	1.0	1
CDCA5	lscc	1.0	1
CDCA7	lscc	1.0	1
CDCA7L	lscc	1.0	1
CDCA8	lscc		1
CDH1	lscc	1.0	1
CDH5	lscc	-1.0	1
CDK1	lscc	1.0	1
CDK12	lscc	1.0	1
CDK14	lscc	-1.0	1
CDK2	lscc	1.0	1
CDK2AP1	lscc	1.0	1
CDK4	lscc	1.0	1
CDK5RAP1	lscc	1.0	1
CDK5RAP3	lscc	-1.0	1
CDK7	lscc	1.0	1
CDK8	lscc	1.0	1
CDK9	lscc	1.0	1
CDPF1	lscc	1.0	1
CDT1	lscc	1.0	1
CDYL	lscc	1.0	1
CEBPZ	lscc	1.0	1
CEBPZOS	lscc	1.0	1
CELF1	lscc	1.0	1
CENPF	lscc	1.0	1
CENPH	lscc	1.0	1
CENPL	lscc	1.0	1
CENPM	lscc	1.0	1
CENPN	lscc	1.0	1
CENPO	lscc	1.0	1
CENPQ	lscc	1.0	1
CENPU	lscc	1.0	1
CENPX	lscc		1
CEP112	lscc	-1.0	1
CEP120	lscc	-1.0	1
CEP128	lscc	-1.0	1
CEP55	lscc	1.0	1
CFAP298	lscc	1.0	1
CFAP36	lscc	1.0	1
CFAP46	lscc	-1.0	1
CFDP1	lscc	1.0	1
CFLAR	lscc		1
CFP	lscc	-1.0	1
CGAS	lscc	-1.0	1
CGNL1	lscc	-1.0	1
CHAC2	lscc		1
CHAF1A	lscc	1.0	1
CHAF1B	lscc	1.0	1
CHAMP1	lscc	1.0	1
CHCHD1	lscc	1.0	1
CHCHD2	lscc	1.0	1
CHCHD3	lscc	1.0	1
CHD1	lscc	1.0	1
CHD1L	lscc	1.0	1
CHD6	lscc	1.0	1
CHD7	lscc	1.0	1
CHD8	lscc	1.0	1
CHEK1	lscc	1.0	1
CHEK2	lscc	1.0	1
CHERP	lscc	1.0	1
CHI3L1	lscc	-1.0	1
CHID1	lscc	-1.0	1
CHKA	lscc		1
CHKB	lscc	-1.0	1
CHML	lscc	1.0	1
CHMP1A	lscc	1.0	1
CHMP1B	lscc	1.0	1
CHMP4C	lscc	1.0	1
CHMP6	lscc	-1.0	1
CHORDC1	lscc	1.0	1
CHRAC1	lscc	1.0	1
CHST12	lscc		1
CHTF18	lscc	1.0	1
CIAO1	lscc	1.0	1
CIAO2B	lscc	1.0	1
CIAPIN1	lscc	1.0	1
CISD2	lscc	-1.0	1
CIT	lscc	1.0	1
CKAP2	lscc	1.0	1
CKAP2L	lscc	1.0	1
CKS1B	lscc	1.0	1
CLASRP	lscc	1.0	1
CLC	lscc	-1.0	1
CLCC1	lscc	-1.0	1
CLCN2	lscc		1
CLCN7	lscc	-1.0	1
CLDN3	lscc	1.0	1
CLDN4	lscc	1.0	1
CLEC14A	lscc	-1.0	1
CLEC16A	lscc		1
CLIC2	lscc	-1.0	1
CLIC3	lscc	-1.0	1
CLIC5	lscc	-1.0	1
CLK2	lscc	1.0	1
CLMP	lscc		1
CLN5	lscc	-1.0	1
CLNS1A	lscc	1.0	1
CLP1	lscc	1.0	1
CLPTM1	lscc	-1.0	1
CLPX	lscc	1.0	1
CLSTN3	lscc		1
CMAS	lscc	1.0	1
CMBL	lscc	1.0	1
CMIP	lscc	1.0	1
CMSS1	lscc	1.0	1
CNKSR1	lscc	1.0	1
CNNM3	lscc	1.0	1
CNOT10	lscc	1.0	1
CNPY2	lscc	-1.0	1
CNPY3	lscc	1.0	1
CNRIP1	lscc	-1.0	1
CNTRL	lscc	-1.0	1
CNTROB	lscc	-1.0	1
COA1	lscc	1.0	1
COA3	lscc	1.0	1
COASY	lscc	1.0	1
COG5	lscc	1.0	1
COIL	lscc	1.0	1
COL6A6	lscc		1
COLEC12	lscc	-1.0	1
COP1	lscc	1.0	1
COPA	lscc	-1.0	1
COPB1	lscc	-1.0	1
COPB2	lscc	-1.0	1
COPG1	lscc	-1.0	1
COPZ1	lscc	-1.0	1
COQ3	lscc	1.0	1
COQ7	lscc	1.0	1
CORO1A	lscc	-1.0	1
COTL1	lscc	-1.0	1
COX20	lscc	1.0	1
COX6A1	lscc	-1.0	1
COX7A1	lscc	-1.0	1
CPEB4	lscc	-1.0	1
CPLX2	lscc		1
CPM	lscc	-1.0	1
CPSF1	lscc	1.0	1
CPSF2	lscc	1.0	1
CPSF3	lscc	1.0	1
CPSF4	lscc	1.0	1
CPSF6	lscc	1.0	1
CPT1A	lscc	1.0	1
CR1	lscc	-1.0	1
CR2	lscc		1
CRCP	lscc	1.0	1
CRIPT	lscc	1.0	1
CRISPLD2	lscc	-1.0	1
CRLF3	lscc	-1.0	1
CRNKL1	lscc		1
CRYBB1	lscc	-1.0	1
CRYL1	lscc	-1.0	1
CSE1L	lscc	1.0	1
CSF1R	lscc	-1.0	1
CSK	lscc	-1.0	1
CSNK1G3	lscc		1
CSNK2A1	lscc	1.0	1
CSNK2B	lscc	1.0	1
CST6	lscc	-1.0	1
CST7	lscc	-1.0	1
CSTF1	lscc	1.0	1
CSTF2T	lscc	1.0	1
CSTF3	lscc	1.0	1
CTBP2	lscc	1.0	1
CTBS	lscc	-1.0	1
CTDNEP1	lscc	-1.0	1
CTDSPL2	lscc	1.0	1
CTH	lscc	-1.0	1
CTNNA1	lscc	1.0	1
CTNNBL1	lscc	1.0	1
CTPS1	lscc	1.0	1
CTR9	lscc	1.0	1
CTSE	lscc		1
CTSH	lscc	-1.0	1
CTSL	lscc	-1.0	1
CTSO	lscc	-1.0	1
CTSS	lscc	-1.0	1
CTSZ	lscc	-1.0	1
CUL1	lscc	1.0	1
CWC15	lscc	1.0	1
CWC22	lscc	1.0	1
CWC27	lscc	1.0	1
CWF19L1	lscc	1.0	1
CX3CL1	lscc	1.0	1
CXCL13	lscc	-1.0	1
CXXC1	lscc	1.0	1
CXorf56	lscc	1.0	1
CYB5R4	lscc	-1.0	1
CYBA	lscc	-1.0	1
CYBB	lscc	-1.0	1
CYBC1	lscc	-1.0	1
CYBRD1	lscc	-1.0	1
CYFIP2	lscc	-1.0	1
CYHR1	lscc	1.0	1
CYLD	lscc	-1.0	1
CYP1B1	lscc	-1.0	1
CYP20A1	lscc	-1.0	1
CYP4F11	lscc	1.0	1
CYP4V2	lscc	-1.0	1
CYP4X1	lscc		1
CYP7B1	lscc	-1.0	1
CYTH4	lscc	-1.0	1
CYTIP	lscc		1
DAB2	lscc	-1.0	1
DACH1	lscc	1.0	1
DAG1	lscc	1.0	1
DAGLB	lscc	-1.0	1
DAP3	lscc	1.0	1
DAPK1	lscc	-1.0	1
DARS2	lscc	1.0	1
DAZAP1	lscc	1.0	1
DBR1	lscc	1.0	1
DCAF13	lscc	1.0	1
DCAF5	lscc	-1.0	1
DCAF7	lscc	1.0	1
DCBLD1	lscc	-1.0	1
DCTN5	lscc	-1.0	1
DCTPP1	lscc	1.0	1
DCUN1D3	lscc	-1.0	1
DCXR	lscc	1.0	1
DDB1	lscc	1.0	1
DDO	lscc	-1.0	1
DDOST	lscc	-1.0	1
DDR1	lscc	1.0	1
DDX10	lscc	1.0	1
DDX11	lscc	1.0	1
DDX17	lscc	1.0	1
DDX18	lscc	1.0	1
DDX19A	lscc	1.0	1
DDX20	lscc	1.0	1
DDX21	lscc	1.0	1
DDX23	lscc	1.0	1
DDX27	lscc	1.0	1
DDX28	lscc	1.0	1
DDX31	lscc	1.0	1
DDX39A	lscc	1.0	1
DDX39B	lscc	1.0	1
DDX41	lscc	1.0	1
DDX42	lscc	1.0	1
DDX47	lscc	1.0	1
DDX49	lscc	1.0	1
DDX5	lscc	1.0	1
DDX50	lscc	1.0	1
DDX51	lscc	1.0	1
DDX52	lscc	1.0	1
DDX55	lscc	1.0	1
DDX56	lscc	1.0	1
DDX59	lscc	1.0	1
DDX6	lscc	1.0	1
DDX60L	lscc	-1.0	1
DEF6	lscc	-1.0	1
DEK	lscc	1.0	1
DENND1C	lscc		1
DENND2D	lscc	-1.0	1
DENND3	lscc	-1.0	1
DENND4B	lscc	-1.0	1
DENND6A	lscc	1.0	1
DENR	lscc	1.0	1
DERL1	lscc	-1.0	1
DERL2	lscc	-1.0	1
DERL3	lscc	-1.0	1
DERPC	lscc	1.0	1
DES	lscc	-1.0	1
DGCR8	lscc	1.0	1
DGKQ	lscc	-1.0	1
DHFR	lscc	1.0	1
DHODH	lscc	1.0	1
DHRS1	lscc	-1.0	1
DHRS7	lscc	-1.0	1
DHRS7B	lscc	-1.0	1
DHRSX	lscc	-1.0	1
DHX16	lscc	1.0	1
DHX33	lscc	1.0	1
DHX34	lscc	1.0	1
DHX35	lscc	1.0	1
DHX36	lscc	1.0	1
DHX37	lscc	1.0	1
DHX38	lscc	1.0	1
DHX40	lscc	1.0	1
DHX57	lscc	1.0	1
DHX8	lscc	1.0	1
DHX9	lscc	1.0	1
DIDO1	lscc	1.0	1
DIP2B	lscc	1.0	1
DIPK1A	lscc	-1.0	1
DIPK2A	lscc	1.0	1
DIS3	lscc	1.0	1
DKC1	lscc	1.0	1
DKK2	lscc	-1.0	1
DLD	lscc	1.0	1
DLG2	lscc		1
DMAP1	lscc	1.0	1
DMBT1	lscc	-1.0	1
DMXL1	lscc	-1.0	1
DMXL2	lscc	-1.0	1
DNAJA1	lscc	1.0	1
DNAJA2	lscc	1.0	1
DNAJB1	lscc	1.0	1
DNAJC1	lscc	-1.0	1
DNAJC11	lscc	1.0	1
DNAJC2	lscc	1.0	1
DNAJC25	lscc	-1.0	1
DNAJC30	lscc	1.0	1
DNAJC7	lscc	1.0	1
DNAJC9	lscc	1.0	1
DNMT3A	lscc	1.0	1
DNTTIP1	lscc	1.0	1
DNTTIP2	lscc	1.0	1
DOCK11	lscc	-1.0	1
DOCK2	lscc	-1.0	1
DOCK4	lscc	-1.0	1
DOCK8	lscc	-1.0	1
DOK1	lscc	-1.0	1
DOK3	lscc	-1.0	1
DPAGT1	lscc	-1.0	1
DPF2	lscc	1.0	1
DPH1	lscc	1.0	1
DPH3	lscc	-1.0	1
DPP4	lscc	-1.0	1
DPP9	lscc	-1.0	1
DPY19L1	lscc	-1.0	1
DPY30	lscc	1.0	1
DPYD	lscc	-1.0	1
DRAM2	lscc	-1.0	1
DRG1	lscc	1.0	1
DRG2	lscc	-1.0	1
DROSHA	lscc		1
DSCC1	lscc	1.0	1
DSG2	lscc	1.0	1
DTL	lscc	1.0	1
DTYMK	lscc	1.0	1
DUOX1	lscc	-1.0	1
DUS1L	lscc	1.0	1
DUSP11	lscc	1.0	1
E2F4	lscc	1.0	1
EBNA1BP2	lscc	1.0	1
ECHDC1	lscc	-1.0	1
ECHDC2	lscc	-1.0	1
ECHS1	lscc	1.0	1
ECSIT	lscc	1.0	1
ECT2	lscc		1
EDC4	lscc	1.0	1
EDEM2	lscc	-1.0	1
EDRF1	lscc	1.0	1
EED	lscc	1.0	1
