	event	proportion
C3L-00081	False	0.7965616855809697
C3L-00415	True	1.0
C3L-00445	True	1.0
C3L-00568	False	0.0
C3L-00603	False	0.0
C3L-00904	False	0.0
C3L-00923	False	0.0
C3L-00927	False	0.1461951167383616
C3L-00965	False	0.48892096458887074
C3L-00993	True	0.9097823347583192
C3L-01000	True	1.0
C3L-01285	True	1.0
C3L-01455	False	0.0
C3L-01606	True	1.0
C3L-01663	False	0.4158015687396282
C3L-01838	True	1.0
C3L-01884	False	0.6390175094888785
C3L-02127	False	0.6167536255708106
C3L-02130	False	0.0
C3L-02163	False	0.5853800744963668
C3L-02164	False	0.0
C3L-02168	False	0.0
C3L-02170	False	0.0
C3L-02349	False	0.0
C3L-02358	True	1.0
C3L-02546	True	1.0
C3L-02552	False	0.0
C3L-02619	False	0.5759570426844107
C3L-02624	False	0.4158015687396282
C3L-02625	False	0.16588300566873607
C3L-02627	False	0.04043912944089907
C3L-02629	False	0.0
C3L-02646	False	0.14990822050927105
C3L-02648	False	0.008496148565661148
C3L-02649	False	0.0
C3L-02650	False	0.0
C3L-02660	False	0.0
C3L-02665	True	0.9520348663700611
C3L-02669	False	0.0
C3L-02891	False	0.0
C3L-02951	False	0.0
C3L-02963	False	0.0
C3L-02964	True	1.0
C3L-02968	False	0.5424169971230234
C3L-02969	False	0.0
C3L-03272	False	0.14496951204469133
C3L-03678	False	0.21140377401951704
C3L-03961	False	0.0
C3L-03962	True	1.0
C3L-03963	False	0.0
C3L-03965	False	0.7703380871659888
C3L-04013	False	0.0
C3L-04014	False	0.0
C3L-04071	False	0.013576036657170758
C3L-04391	False	0.27513830589731975
C3N-00211	False	0.0
C3N-00221	False	0.0
C3N-00247	False	0.0
C3N-00497	False	0.6311221144563449
C3N-00555	False	0.0
C3N-01017	False	0.0
C3N-01018	True	0.9998681474600353
C3N-01020	True	1.0
C3N-01025	False	0.4068551415216732
C3N-01028	False	0.0
C3N-01194	False	0.0
C3N-01411	True	0.9211324764361334
C3N-01846	False	0.0
C3N-01892	False	0.12051965180615537
C3N-01893	False	0.0
C3N-02252	False	0.0
C3N-02283	True	1.0
C3N-02284	False	0.2644821567892232
C3N-02285	False	0.0
C3N-02288	False	0.0
C3N-02289	False	0.0
C3N-02300	False	0.0
C3N-02339	False	0.0
C3N-02374	True	1.0
C3N-02375	True	1.0
C3N-02425	True	1.0
C3N-02426	False	0.4158015687396282
C3N-02434	True	1.0
C3N-02435	False	0.5690083947284323
C3N-02494	False	0.009581401291995726
C3N-02523	False	0.0
C3N-02575	False	0.6942504811805965
C3N-02675	False	0.0
C3N-03051	False	0.2459860021752804
C3N-03072	False	0.7452040389406199
C3N-03076	True	1.0
C3N-03092	False	0.0
C3N-03093	False	0.0
C3N-03204	True	1.0
C3N-03424	False	0.04796513362993894
C3N-03425	False	0.0
C3N-03441	False	0.15988638907749095
C3N-03486	False	0.6127283031345283
C3N-03662	False	0.0
C3N-03848	False	0.0
C3N-03851	False	0.0
C3N-03875	False	0.028364690118995485
C3N-03877	True	0.9414024965587665
C3N-03880	False	0.14195858194025757
C3N-03882	True	1.0
C3N-03886	False	0.5424169971230234
C3N-04124	False	0.0
C3N-04127	True	1.0
C3N-04155	False	0.0
C3N-04162	False	0.0
