Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2018	mitochondrial large ribosomal subunit (GO:0005762)	3/52	4.639477315107045e-05	0.02069206882537742	0	0	42.735042735042725	426.42409199502225	MRPL53;MRPL19;MRPL15
GO_Cellular_Component_2018	mitochondrial inner membrane (GO:0005743)	4/341	0.0010686766936622225	0.2383149026866756	0	0	8.689040947105463	59.444632395274574	MRPL53;MRPL19;TIMM13;MRPL15
GO_Cellular_Component_2018	nucleolus (GO:0005730)	5/676	0.0018911725928120414	0.2811543254647235	0	0	5.478851632697786	34.35545815699054	ARFGEF1;BOP1;PRKDC;UTP14A;PML
GO_Cellular_Component_2018	mitochondrion (GO:0005739)	6/1026	0.0020998949182074104	0.2341382833801263	0	0	4.3318171973142725	26.709412928107433	MRPL19;TIMM13;SLIRP;MRPL15;MTPAP;TOMM22
GO_Cellular_Component_2018	PML body (GO:0016605)	2/62	0.0031571877933943672	0.2816211511707776	0	0	23.894862604540023	137.58837721417441	HSF1;PML
GO_Cellular_Component_2018	preribosome (GO:0030684)	2/75	0.004583386700167664	0.34069841137912976	0	0	19.753086419753085	106.3766340727409	BOP1;UTP14A
GO_Cellular_Component_2018	nuclear chromosome, telomeric region (GO:0000784)	2/107	0.009121523170406955	0.5811713334287859	0	0	13.845621322256838	65.0345237042883	PRKDC;PML
GO_Cellular_Component_2018	mitochondrial outer membrane translocase complex (GO:0005742)	1/9	0.012086885938503105	0.6738438910715481	0	0	82.30452674897118	363.42668484427537	TOMM22
GO_Cellular_Component_2018	chromosome, telomeric region (GO:0000781)	2/124	0.012094755712239913	0.5993623386287779	0	0	11.947431302270012	52.74771006620357	PRKDC;PML
GO_Cellular_Component_2018	perinuclear region of cytoplasm (GO:0048471)	3/378	0.013998392785249269	0.6243283182221174	0	0	5.878894767783656	25.09590098183802	ARFGEF1;HSF1;NDRG1
