Name,amplifications,neutral,deletions,average
A1BG,22.0,71.0,5.0,0.12357385098632226
A1CF,0.0,23.0,75.0,-0.4470727135641101
A2M,2.0,93.0,3.0,-0.004708279701992017
A2ML1,2.0,93.0,3.0,-0.00427670248933835
A3GALT2,2.0,90.0,6.0,-0.00963764838996262
A4GALT,0.0,75.0,23.0,-0.1143530742515738
A4GNT,2.0,91.0,5.0,-0.017485903369773164
AAAS,1.0,90.0,7.0,-0.034689793492533594
AACS,2.0,92.0,4.0,-0.015603908039922754
AADAC,2.0,92.0,4.0,-0.01381247345966143
AADACL2,2.0,92.0,4.0,-0.01381247345966143
AADACL3,1.0,89.0,8.0,-0.018057826939317796
AADACL4,1.0,89.0,8.0,-0.018057826939317796
AADAT,0.0,92.0,6.0,-0.03684778491308675
AAGAB,0.0,92.0,6.0,-0.03132986572169062
AAK1,0.0,96.0,2.0,-0.010996586281535606
AAMDC,0.0,90.0,8.0,-0.030850638774031994
AAMP,0.0,96.0,2.0,-0.009665956412925477
AANAT,3.0,91.0,4.0,0.0067653317626348
AAR2,24.0,74.0,0.0,0.1373087302345138
AARD,1.0,92.0,5.0,-0.019879733846705522
AARS,1.0,92.0,5.0,-0.035282173368815416
AARS2,1.0,90.0,7.0,-0.027747078353098795
AARSD1,2.0,86.0,10.0,-0.03058825014646029
AASDH,7.0,88.0,3.0,0.05386286223157303
AASDHPPT,0.0,89.0,9.0,-0.04108529052889374
AASS,58.0,39.0,1.0,0.322028136829797
AATF,2.0,85.0,11.0,-0.042429353655898644
AATK,2.0,92.0,4.0,0.003485524492933408
ABAT,1.0,96.0,1.0,-0.00014517002018825755
ABCA1,5.0,85.0,8.0,-0.005301728156908568
ABCA10,2.0,91.0,5.0,0.001677781480254707
ABCA12,0.0,95.0,3.0,-0.011098337473123752
ABCA13,51.0,46.0,1.0,0.29754927397954184
ABCA2,4.0,87.0,7.0,0.007198120126650683
ABCA3,1.0,96.0,1.0,0.006178097084102773
ABCA4,2.0,90.0,6.0,-0.009502931053679137
ABCA5,2.0,91.0,5.0,0.0031756554774303434
ABCA6,2.0,91.0,5.0,0.001365102814012666
ABCA7,23.0,74.0,1.0,0.1480636075593147
ABCA8,2.0,91.0,5.0,0.0006612439617491923
