Name,amplifications,neutral,deletions,average
A1BG,42.0,44.0,22.0,0.27972222222222237
A1BG-AS1,42.0,44.0,22.0,0.27972222222222237
A1CF,18.0,52.0,38.0,-0.06517592592592593
A2M,61.0,41.0,6.0,0.6099814814814815
A2M-AS1,60.0,42.0,6.0,0.5976388888888889
A2ML1,60.0,42.0,6.0,0.5976388888888889
A2MP1,61.0,41.0,6.0,0.6161388888888889
A3GALT2,15.0,62.0,31.0,-0.10423148148148144
A4GALT,47.0,45.0,16.0,0.35338888888888886
A4GNT,79.0,24.0,5.0,1.113388888888889
AA06,42.0,49.0,17.0,0.25662962962962965
AAAS,38.0,61.0,9.0,0.22980555555555546
AACS,24.0,68.0,16.0,0.04673148148148148
AACSP1,6.0,29.0,73.0,-0.43206481481481496
AADAC,91.0,16.0,1.0,1.5883425925925925
AADACL2,91.0,16.0,1.0,1.5884074074074075
AADACL2-AS1,93.0,15.0,0.0,1.6250740740740743
AADACL3,13.0,54.0,41.0,-0.18318518518518528
AADACL4,13.0,54.0,41.0,-0.18318518518518528
AADACP1,91.0,16.0,1.0,1.5884074074074075
AADAT,4.0,38.0,66.0,-0.4165000000000002
AAED1,20.0,34.0,54.0,-0.21687037037037044
AAGAB,23.0,61.0,24.0,-0.011694444444444443
AAK1,65.0,42.0,1.0,0.5988796296296298
AAMDC,31.0,58.0,19.0,0.21945370370370365
AAMP,20.0,62.0,26.0,-0.009731481481481475
AANAT,59.0,45.0,4.0,0.49085185185185193
AAR2,57.0,41.0,10.0,0.5906851851851852
AARD,72.0,33.0,3.0,0.8283240740740743
AARS,24.0,50.0,34.0,0.03712037037037038
AARS2,42.0,51.0,15.0,0.3216296296296296
AARSD1,45.0,52.0,11.0,0.2748703703703705
AASDH,22.0,46.0,40.0,0.052249999999999984
AASDHPPT,19.0,58.0,31.0,-0.04153703703703703
AASS,40.0,54.0,14.0,0.2287777777777778
AATBC,7.0,52.0,49.0,-0.2685925925925926
AATF,42.0,51.0,15.0,0.23526851851851857
AATK,67.0,33.0,8.0,0.525824074074074
AATK-AS1,64.0,37.0,7.0,0.4776944444444446
ABALON,71.0,36.0,1.0,0.8704166666666668
ABAT,21.0,64.0,23.0,-0.014425925925925938
ABCA1,19.0,36.0,53.0,-0.20775000000000007
ABCA10,60.0,41.0,7.0,0.4206111111111112
ABCA11P,11.0,36.0,61.0,-0.344712962962963
ABCA12,21.0,59.0,28.0,-0.02428703703703703
ABCA13,52.0,38.0,18.0,0.34133333333333354
ABCA17P,17.0,63.0,28.0,-0.0625
ABCA2,33.0,37.0,38.0,-0.002425925925925932
ABCA3,17.0,63.0,28.0,-0.0625
ABCA4,4.0,56.0,48.0,-0.24812037037037046
ABCA5,60.0,42.0,6.0,0.4252407407407408
ABCA6,59.0,42.0,7.0,0.42479629629629634
ABCA7,31.0,48.0,29.0,0.04843518518518519
ABCA8,57.0,45.0,6.0,0.39741666666666675
ABCA9,59.0,42.0,7.0,0.4236851851851853
ABCA9-AS1,58.0,44.0,6.0,0.41594444444444456
ABCB1,54.0,50.0,4.0,0.47283333333333344
ABCB10,51.0,47.0,10.0,0.36593518518518536
ABCB11,40.0,61.0,7.0,0.29572222222222233
ABCB4,54.0,50.0,4.0,0.47283333333333344
ABCB5,53.0,39.0,16.0,0.40361111111111125
ABCB6,20.0,59.0,29.0,-0.012805555555555551
ABCB7,6.0,18.0,84.0,-0.6213425925925927
ABCB8,37.0,54.0,17.0,0.23952777777777787
ABCB9,24.0,70.0,14.0,0.06651851851851852
ABCC1,23.0,62.0,23.0,0.014972222222222218
ABCC10,42.0,52.0,14.0,0.32462962962962966
ABCC11,17.0,52.0,39.0,-0.10710185185185185
ABCC12,17.0,52.0,39.0,-0.10710185185185185
ABCC13,20.0,48.0,40.0,0.00608333333333334
ABCC2,5.0,57.0,46.0,-0.2614537037037038
ABCC3,49.0,53.0,6.0,0.33672222222222237
ABCC4,13.0,36.0,59.0,-0.29811111111111127
ABCC5,98.0,9.0,1.0,2.183074074074075
ABCC5-AS1,98.0,9.0,1.0,2.183074074074075
ABCC6,23.0,62.0,23.0,0.014972222222222218
ABCC6P1,23.0,62.0,23.0,0.014972222222222218
ABCC6P2,23.0,62.0,23.0,0.014972222222222218
ABCC8,24.0,51.0,33.0,-0.029749999999999988
ABCC9,66.0,37.0,5.0,0.732148148148148
ABCD1,9.0,16.0,83.0,-0.5127407407407409
ABCD2,40.0,61.0,7.0,0.290824074074074
ABCD3,3.0,55.0,50.0,-0.2913333333333335
ABCD4,32.0,43.0,33.0,0.07286111111111114
ABCE1,6.0,41.0,61.0,-0.325314814814815
ABCF1,33.0,53.0,22.0,0.09967592592592596
ABCF2,34.0,56.0,18.0,0.1945185185185185
ABCF3,98.0,9.0,1.0,2.0600555555555564
ABCG1,5.0,55.0,48.0,-0.26841666666666675
ABCG2,6.0,47.0,55.0,-0.3169351851851853
ABCG4,21.0,58.0,29.0,-0.009138888888888887
ABCG5,68.0,39.0,1.0,0.6109351851851853
ABCG8,68.0,39.0,1.0,0.6109351851851853
ABHD1,67.0,40.0,1.0,0.5692962962962965
ABHD10,62.0,35.0,11.0,0.7601666666666668
ABHD11,46.0,51.0,11.0,0.3667129629629632
ABHD11-AS1,46.0,51.0,11.0,0.3667129629629632
ABHD12,55.0,42.0,11.0,0.503888888888889
ABHD12B,32.0,43.0,33.0,0.06734259259259263
ABHD13,17.0,37.0,54.0,-0.15725925925925924
ABHD14A,3.0,16.0,89.0,-0.613166666666667
ABHD14A-ACY1,3.0,16.0,89.0,-0.613166666666667
ABHD14B,3.0,16.0,89.0,-0.613166666666667
ABHD15,46.0,42.0,20.0,0.27325000000000005
ABHD16A,32.0,53.0,23.0,0.09169444444444447
ABHD16B,57.0,39.0,12.0,0.5993611111111112
ABHD17A,26.0,51.0,31.0,-0.006638888888888874
ABHD17B,18.0,36.0,54.0,-0.2448425925925926
ABHD17C,28.0,58.0,22.0,0.0738611111111111
ABHD18,5.0,44.0,59.0,-0.3569259259259261
ABHD2,31.0,58.0,19.0,0.1317314814814815
ABHD3,39.0,48.0,21.0,0.22735185185185186
ABHD4,36.0,39.0,33.0,0.15272222222222223
ABHD5,5.0,19.0,84.0,-0.5540555555555559
