Name	brca_pvalue_transcriptomics	brca_rvalue_transcriptomics	colon_pvalue_transcriptomics	colon_rvalue_transcriptomics	hnscc_pvalue_transcriptomics	hnscc_rvalue_transcriptomics	lscc_pvalue_transcriptomics	lscc_rvalue_transcriptomics	luad_pvalue_transcriptomics	luad_rvalue_transcriptomics	ovarian_pvalue_transcriptomics	ovarian_rvalue_transcriptomics	brca_pvalue_proteomics	brca_rvalue_proteomics	colon_pvalue_proteomics	colon_rvalue_proteomics	hnscc_pvalue_proteomics	hnscc_rvalue_proteomics	lscc_pvalue_proteomics	lscc_rvalue_proteomics	luad_pvalue_proteomics	luad_rvalue_proteomics	ovarian_pvalue_proteomics	ovarian_rvalue_proteomics
ADAM28	0.8050655410002117	0.03672095986941592	0.0014047962586961292	0.31557511857091003	0.0024180128910431522	0.3169780600000346	1.2061783151825826e-06	0.46200267715062626	6.711552532717095e-05	0.3853128893935993	0.009135736983782925	0.2808174902285079					0.21081320087080746	0.17795757021721303	0.0014787384409768913	0.3847242255558168	0.1282607203021656	0.18118979644758346	0.8042754052426992	0.09657146718626569
ADAM7	0.750322667373064	-0.17778848479511156			0.012537816419621612	0.26696928775620354			0.2749601834400812	0.1558614694616473	0.41951491930644885	0.09022117008202443												
ADAMDEC1	0.8463074160664662	-0.02733662728754365	0.44084628670980724	0.08067499639661391	0.5393994803388802	-0.07631494180080717	0.0010214701401077457	0.3246884177033757	0.18363453300982147	0.1335103271697899	0.39852292104444137	-0.09475091792026502	0.4819244739285467	0.08706992054462448	0.39536369084547585	0.112317145625553	0.8282376041179191	0.04388445631449964	0.8800121237030062	0.01881159754670058	0.40626015913612107	0.14703130692857969	0.8990184566452233	0.034902231977897255
ADRA1A	0.713720976473706	-0.06242689248466776			0.07887983183037386	0.19785454123947382	0.019132867210128725	0.24102478168328215	0.05624217177535572	0.1936227596763594	0.8319262086060277	-0.023194706683743196												
AGPAT5	2.0633799906960244e-11	0.5828388231442425	4.4508373331359635e-15	0.6810153238097558	8.712120987261499e-09	0.5419396171023626	3.33589290145017e-07	0.4820149780781041	1.1465120927109306e-09	0.5552352690063656	1.6186490026821324e-10	0.6057207882558038	1.2020072763745789e-05	0.4137242229584287	1.43954054745593e-05	0.4588048875390147	7.807306485271283e-07	0.4870850237224568	7.015062018064154e-07	0.485135085023289	1.3815111308798464e-05	0.4276218591157773	1.1682559417461842e-06	0.5542378555288219
ANGPT2	0.28998687695088976	0.12296557961792218	0.1268716438543094	0.15742656300849345	0.11473728983541806	0.18065714130416965	0.26866417472743404	0.11207076196659119	0.0006240303167752583	0.3354148874856674	0.3565525571034963	0.10521102066329341	0.3452595563614502	-0.11766037249294943			0.2254744179976551	-0.17193545660191972	0.5212145445006944	-0.07023392333666909	0.5601478165231483	0.06040107339694861	0.1028454387192137	0.3752788198302782
ARHGEF10	3.979020425284612e-07	0.46084604426429165	0.0016135429071746563	0.31167241619012725	0.0009483451267430971	0.34156993825288984	7.316542803663398e-05	0.38641408579092307	1.912637560752326e-06	0.4512835825975835	1.0087263190717184e-05	0.44573250646513857	0.0001020483001141867	0.3719323107614234	0.06914933792723181	0.3388496076527699	3.7510267942130016e-05	0.41337780944541824	0.009259884690644118	0.2683001251411548	1.472337879849537e-05	0.4258725510621548	3.27961134811509e-05	0.4834154655827028
ASAH1	0.0016644716807587574	0.30520507748507353	8.721121528475833e-11	0.5885185978646112	1.8011054634549628e-06	0.46511849426817375	7.780630834939331e-11	0.5891316473627399	1.8987721432393702e-06	0.4516442203247834	3.897319497125889e-13	0.6667097112096225	0.30755195973256255	0.11399593302651642	0.0009749983567203092	0.35920891617838846	0.046794805384642216	0.2227218849616899	0.2935865376336951	0.11703327070729616	0.02008727190200772	0.24036627077926098	4.777371400398459e-05	0.4745881406774293
ATP6V1B2	6.744319777446579e-08	0.48766517584625646	2.202687850126494e-18	0.73570707736975	7.196257309724408e-13	0.6419695069229281	9.626321795155141e-17	0.7061473078086348	3.072733344221866e-06	0.44341113295150975	1.6703214958744706e-10	0.6048631739084289	7.870280698036612e-08	0.49944180685471906	1.6866207785732578e-10	0.6201433847950331	0.00010044536152066439	0.393477107082733	2.488475896160532e-09	0.5633422135446775	2.7552568326166564e-05	0.4135580440310139	4.332626417280588e-06	0.5265769388421082
BIN3	1.142140681697926e-07	0.4793660331034586	5.346357528707624e-26	0.8233936659273089	1.3794768149575459e-17	0.7248309430715152	8.589037109277506e-25	0.8111695812199213	1.5298631629022088e-24	0.8036784383799389	1.715448167925369e-11	0.6301013824114832	0.42126875967029537	0.09353988371702093	0.1110763133195948	0.19214878953349032	0.18003222497868301	0.15610998899880596	0.3615192608894281	0.10260955434378359	0.012211535359712604	0.2582411438144536	0.00028998842842994905	0.4308848406363485
