protein	cancers	num_cancers
AACS	brca_colon_hnscc_lscc_luad_ovarian	6
AAGAB	brca_colon_hnscc_lscc_luad_ovarian	6
AAMDC	brca_colon_hnscc_lscc_luad_ovarian	6
AASDHPPT	brca_colon_hnscc_lscc_luad_ovarian	6
ABHD12	brca_colon_hnscc_lscc_luad_ovarian	6
ABHD17A	brca_colon_hnscc_lscc_luad_ovarian	6
ABHD17B	brca_colon_hnscc_lscc_luad_ovarian	6
ABHD17C	brca_colon_hnscc_lscc_luad_ovarian	6
ACBD6	brca_colon_hnscc_lscc_luad_ovarian	6
ACOT11	brca_colon_hnscc_lscc_luad_ovarian	6
ACOX3	brca_colon_hnscc_lscc_luad_ovarian	6
ACP5	brca_colon_hnscc_lscc_luad_ovarian	6
ACTA1	brca_colon_hnscc_lscc_luad_ovarian	6
ACTA2	brca_colon_hnscc_lscc_luad_ovarian	6
ACTBL2	brca_colon_hnscc_lscc_luad_ovarian	6
ACTR1B	brca_colon_hnscc_lscc_luad_ovarian	6
ACTR3B	brca_colon_hnscc_lscc_luad_ovarian	6
ACTR5	brca_colon_hnscc_lscc_luad_ovarian	6
ADAMTSL4	brca_colon_hnscc_lscc_luad_ovarian	6
ADH5	brca_colon_hnscc_lscc_luad_ovarian	6
ADIPOQ	brca_colon_hnscc_lscc_luad_ovarian	6
ADIRF	brca_colon_hnscc_lscc_luad_ovarian	6
ADO	brca_colon_hnscc_lscc_luad_ovarian	6
ADRM1	brca_colon_hnscc_lscc_luad_ovarian	6
AFF4	brca_colon_hnscc_lscc_luad_ovarian	6
AGAP1	brca_colon_hnscc_lscc_luad_ovarian	6
AGO3	brca_colon_hnscc_lscc_luad_ovarian	6
AGPAT2	brca_colon_hnscc_lscc_luad_ovarian	6
AGPS	brca_colon_hnscc_lscc_luad_ovarian	6
AHSP	brca_colon_hnscc_lscc_luad_ovarian	6
AIP	brca_colon_hnscc_lscc_luad_ovarian	6
AK1	brca_colon_hnscc_lscc_luad_ovarian	6
AK3	brca_colon_hnscc_lscc_luad_ovarian	6
AK6	brca_colon_hnscc_lscc_luad_ovarian	6
AKAP10	brca_colon_hnscc_lscc_luad_ovarian	6
AKT1	brca_colon_hnscc_lscc_luad_ovarian	6
AKT1S1	brca_colon_hnscc_lscc_luad_ovarian	6
AKT2	brca_colon_hnscc_lscc_luad_ovarian	6
AKT3	brca_colon_hnscc_lscc_luad_ovarian	6
ALDH3A2	brca_colon_hnscc_lscc_luad_ovarian	6
ALG12	brca_colon_hnscc_lscc_luad_ovarian	6
ALKBH7	brca_colon_hnscc_lscc_luad_ovarian	6
AMFR	brca_colon_hnscc_lscc_luad_ovarian	6
ANAPC10	brca_colon_hnscc_lscc_luad_ovarian	6
ANAPC2	brca_colon_hnscc_lscc_luad_ovarian	6
ANAPC4	brca_colon_hnscc_lscc_luad_ovarian	6
ANGEL2	brca_colon_hnscc_lscc_luad_ovarian	6
ANGPTL2	brca_colon_hnscc_lscc_luad_ovarian	6
ANKLE2	brca_colon_hnscc_lscc_luad_ovarian	6
ANKRD28	brca_colon_hnscc_lscc_luad_ovarian	6
ANKZF1	brca_colon_hnscc_lscc_luad_ovarian	6
ANLN	brca_colon_hnscc_lscc_luad_ovarian	6
ANO1	brca_colon_hnscc_lscc_luad_ovarian	6
ANO6	brca_colon_hnscc_lscc_luad_ovarian	6
ANXA11	brca_colon_hnscc_lscc_luad_ovarian	6
ANXA7	brca_colon_hnscc_lscc_luad_ovarian	6
AP1G1	brca_colon_hnscc_lscc_luad_ovarian	6
AP1S3	brca_colon_hnscc_lscc_luad_ovarian	6
AP4S1	brca_colon_hnscc_lscc_luad_ovarian	6
AP5B1	brca_colon_hnscc_lscc_luad_ovarian	6
AP5Z1	brca_colon_hnscc_lscc_luad_ovarian	6
APBB1	brca_colon_hnscc_lscc_luad_ovarian	6
APBB2	brca_colon_hnscc_lscc_luad_ovarian	6
APEX1	brca_colon_hnscc_lscc_luad_ovarian	6
APMAP	brca_colon_hnscc_lscc_luad_ovarian	6
APOA4	brca_colon_hnscc_lscc_luad_ovarian	6
APOBEC3F	brca_colon_hnscc_lscc_luad_ovarian	6
APOC1	brca_colon_hnscc_lscc_luad_ovarian	6
APOC3	brca_colon_hnscc_lscc_luad_ovarian	6
APOO	brca_colon_hnscc_lscc_luad_ovarian	6
APRT	brca_colon_hnscc_lscc_luad_ovarian	6
APTX	brca_colon_hnscc_lscc_luad_ovarian	6
ARFGAP2	brca_colon_hnscc_lscc_luad_ovarian	6
ARGLU1	brca_colon_hnscc_lscc_luad_ovarian	6
ARHGAP21	brca_colon_hnscc_lscc_luad_ovarian	6
ARHGAP32	brca_colon_hnscc_lscc_luad_ovarian	6
ARHGEF17	brca_colon_hnscc_lscc_luad_ovarian	6
ARIH2	brca_colon_hnscc_lscc_luad_ovarian	6
ARL2BP	brca_colon_hnscc_lscc_luad_ovarian	6
ARL5B	brca_colon_hnscc_lscc_luad_ovarian	6
ARL8A	brca_colon_hnscc_lscc_luad_ovarian	6
ARMC6	brca_colon_hnscc_lscc_luad_ovarian	6
ARMCX3	brca_colon_hnscc_lscc_luad_ovarian	6
ARNT	brca_colon_hnscc_lscc_luad_ovarian	6
ARRDC1	brca_colon_hnscc_lscc_luad_ovarian	6
ASB9	brca_colon_hnscc_lscc_luad_ovarian	6
ASCC2	brca_colon_hnscc_lscc_luad_ovarian	6
ASL	brca_colon_hnscc_lscc_luad_ovarian	6
ASMTL	brca_colon_hnscc_lscc_luad_ovarian	6
ASPN	brca_colon_hnscc_lscc_luad_ovarian	6
ASPSCR1	brca_colon_hnscc_lscc_luad_ovarian	6
ATAD3B	brca_colon_hnscc_lscc_luad_ovarian	6
ATF1	brca_colon_hnscc_lscc_luad_ovarian	6
ATF2	brca_colon_hnscc_lscc_luad_ovarian	6
ATF7	brca_colon_hnscc_lscc_luad_ovarian	6
ATG9A	brca_colon_hnscc_lscc_luad_ovarian	6
ATIC	brca_colon_hnscc_lscc_luad_ovarian	6
ATL1	brca_colon_hnscc_lscc_luad_ovarian	6
ATP6V0A2	brca_colon_hnscc_lscc_luad_ovarian	6
ATPAF2	brca_colon_hnscc_lscc_luad_ovarian	6
ATRAID	brca_colon_hnscc_lscc_luad_ovarian	6
ATXN10	brca_colon_hnscc_lscc_luad_ovarian	6
ATXN2	brca_colon_hnscc_lscc_luad_ovarian	6
ATXN3	brca_colon_hnscc_lscc_luad_ovarian	6
AURKB	brca_colon_hnscc_lscc_luad_ovarian	6
AZGP1	brca_colon_hnscc_lscc_luad_ovarian	6
B3GLCT	brca_colon_hnscc_lscc_luad_ovarian	6
B4GALT1	brca_colon_hnscc_lscc_luad_ovarian	6
B4GALT3	brca_colon_hnscc_lscc_luad_ovarian	6
B4GALT4	brca_colon_hnscc_lscc_luad_ovarian	6
BAD	brca_colon_hnscc_lscc_luad_ovarian	6
BAZ1A	brca_colon_hnscc_lscc_luad_ovarian	6
BCKDHA	brca_colon_hnscc_lscc_luad_ovarian	6
BCKDK	brca_colon_hnscc_lscc_luad_ovarian	6
BCS1L	brca_colon_hnscc_lscc_luad_ovarian	6
BIRC2	brca_colon_hnscc_lscc_luad_ovarian	6
BLOC1S1	brca_colon_hnscc_lscc_luad_ovarian	6
BOD1L1	brca_colon_hnscc_lscc_luad_ovarian	6
BOK	brca_colon_hnscc_lscc_luad_ovarian	6
BOLA2	brca_colon_hnscc_lscc_luad_ovarian	6
BORCS5	brca_colon_hnscc_lscc_luad_ovarian	6
BORCS7	brca_colon_hnscc_lscc_luad_ovarian	6
BPGM	brca_colon_hnscc_lscc_luad_ovarian	6
BTAF1	brca_colon_hnscc_lscc_luad_ovarian	6
BUD13	brca_colon_hnscc_lscc_luad_ovarian	6
BUD31	brca_colon_hnscc_lscc_luad_ovarian	6
C11orf68	brca_colon_hnscc_lscc_luad_ovarian	6
C12orf29	brca_colon_hnscc_lscc_luad_ovarian	6
