	gain_event	loss_event
C3L-00004	False	False
C3L-00010	False	False
C3L-00011	False	False
C3L-00026	False	False
C3L-00079	False	False
C3L-00088	False	False
C3L-00096	False	False
C3L-00097	False	False
C3L-00103	False	False
C3L-00183	True	False
C3L-00359	False	False
C3L-00360	False	False
C3L-00369	False	False
C3L-00416	False	False
C3L-00418	False	False
C3L-00447	False	False
C3L-00448	False	False
C3L-00561	False	False
C3L-00581	False	False
C3L-00583	False	False
C3L-00606	False	False
C3L-00607	True	False
C3L-00610	False	False
C3L-00765	False	False
C3L-00766	False	False
C3L-00790	False	False
C3L-00791	False	False
C3L-00792	False	False
C3L-00796	False	False
C3L-00799	False	False
C3L-00800	False	False
C3L-00812	False	False
C3L-00813	False	False
C3L-00814	False	False
C3L-00817	False	False
C3L-00902	False	False
C3L-00907	True	False
C3L-00908	False	False
C3L-00910	False	False
C3L-00917	False	False
C3L-01281	False	False
C3L-01283	False	False
C3L-01286	True	False
C3L-01287	True	False
C3L-01288	True	False
C3L-01302	True	False
C3L-01313	True	False
C3L-01352	False	False
C3L-01553	True	False
C3L-01557	True	False
C3L-01560	False	False
C3L-01603	False	False
C3L-01607	True	False
C3L-01836	False	False
C3L-01861	False	False
C3L-01882	False	False
C3L-01885	True	False
C3N-00148	True	False
C3N-00149	False	False
C3N-00150	False	False
C3N-00154	False	False
C3N-00168	False	False
C3N-00177	False	False
C3N-00194	False	False
C3N-00242	True	False
C3N-00244	True	False
C3N-00246	False	False
C3N-00305	False	False
C3N-00310	False	False
C3N-00312	False	False
C3N-00313	False	False
C3N-00314	False	False
C3N-00315	False	False
C3N-00317	False	False
C3N-00320	False	False
C3N-00380	False	False
C3N-00390	False	False
C3N-00435	False	False
C3N-00437	True	False
C3N-00491	False	False
C3N-00492	True	False
C3N-00494	False	False
C3N-00495	True	False
C3N-00573	False	False
C3N-00577	True	False
C3N-00646	False	False
C3N-00733	True	False
C3N-00831	False	False
C3N-00832	False	False
C3N-00834	False	False
C3N-00852	True	False
C3N-00953	True	False
C3N-01175	True	False
C3N-01176	False	False
C3N-01178	False	False
C3N-01179	False	False
C3N-01180	False	False
C3N-01200	False	False
C3N-01213	False	False
C3N-01214	False	False
C3N-01220	True	False
C3N-01261	False	False
C3N-01361	True	False
C3N-01522	False	False
C3N-01524	False	False
C3N-01646	False	False
C3N-01648	False	False
C3N-01649	False	False
C3N-01651	False	False
C3N-01808	False	False
