Name	brca_Database_ID	luad_Database_ID	ovarian_Database_ID	lscc_Database_ID	luad_avg	luad_pvalue	hnscc_avg	hnscc_pvalue	ovarian_avg	ovarian_pvalue	colon_avg	colon_pvalue	brca_avg	brca_pvalue	lscc_avg	lscc_pvalue
A1BG	NP_570602.2	NP_570602.2	NP_570602	NP_570602.2	-0.4426916078431373	0.03753418919554976	-0.037598851040812065	0.6013153056052007	-0.2940554842079269	0.04156884741026645	-0.11904152542372892	0.4396308178402394	-0.10260553306342801	0.6850274494969912	0.31239487179487235	0.14470521928038127
A2M	NP_000005.2	NP_000005.2|NP_001334353.1|NP_001334354.1|K4JDR8|K4JBA2|K4JB97	NP_000005	NP_000005.2|NP_001334353.1|NP_001334354.1	-0.4618773333333337	0.10000763702436856	-0.09471249084215216	0.4095822458808501	-0.24419462239207318	0.17949801500882592	-0.08140729755178899	0.5219702869772676	0.33165152496626193	0.25723042647031114	0.30114537346711234	0.3251018304513431
AAAS	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480	NP_056480.1|NP_001166937.1	0.21971768627450972	0.04527014432280357	0.02022594951476364	0.6485466543209399	0.030730193228658526	0.5481314789214811	-0.1006056026365348	0.2122771704735358	0.04992655870445341	0.6422189564756522	-0.03758539576365638	0.7047209501988818
AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417	NP_076417.2|NP_001306769.1|NP_001306768.1	-0.10359427450980419	0.746111513147041	0.039000286049713395	0.6871677322981111	0.1320340098987805	0.26605599763998306	0.08995946327683611	0.24322837881985346	0.1096073144399462	0.7183607066888671	-0.5274445930880715	0.08085655498087714
AAGAB	NP_078942.3|NP_001258815.1	NP_078942.3|NP_001258814.1	NP_078942	NP_078942.3|NP_001258814.1	-0.1197634901960784	0.43549696185231124	-0.02619026193164231	0.7223708438400709	0.04941436650060978	0.5346770553914002	-0.07834548022598857	0.31713169071038533	0.36729919028340074	0.03500701934997471	-0.17458584169453745	0.28612913758728087
AAMDC	NP_078960.1|NP_001303886.1|NP_001303887.1	NP_001303889.1|NP_001350493.1|NP_001303886.1|NP_001303887.1	NP_078960	NP_001303889.1|NP_001350493.1	-0.050954274509803665	0.8567396106733056	0.05276712934225003	0.5881667741426279	0.12628402518536572	0.35059582569542125	-0.0032641242937853643	0.9728479996809809	-0.05628742240215939	0.8649793832920555	0.07035061315496116	0.7801942402513692
AAMP	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001078	NP_001289474.1|NP_001078.2	-0.2760614117647058	0.11132293938885972	0.04808098793065341	0.5021748697239632	0.0914239051914634	0.3018540260689785	-0.08592589453860638	0.20820460402514018	0.14307870445344129	0.424014246643279	0.3282946488294314	0.08935415157830473
AAR2	NP_001258803.1	NP_001258803.1	NP_001258803	NP_001258803.1	0.06238662745098042	0.6214032626822977	-0.01459144905851062	0.8136117604799556	0.03988130376097557	0.615603376411948	0.11947297551789077	0.05779962185790939	0.16723964912280695	0.14354083401307327	-0.1484270903010033	0.2691896998682749
AARS2	NP_065796.1	NP_065796.1	NP_065796	NP_065796.1	0.026319215686274544	0.8993289539820156	0.07063991937149439	0.18475535222235304	0.04064711283597562	0.5485675985202461	0.13831723163841808	0.021853128915096016	-0.0898391902834008	0.5402453836428948	-0.10116008918617611	0.5853368947461258
AARSD1	NP_001248363.1|NP_001129514.2|NP_079543.1	NP_001248363.1|NP_001129514.2|NP_079543.1		NP_001248363.1|NP_001129514.2|NP_079543.1	0.026641254901960842	0.8638036280313445	0.02799187271602932	0.6446996459470377					-0.22113549257759788	0.1782458935002798	-0.12051159420289864	0.5087978587640276
AASDHPPT	NP_056238.2	NP_056238.2	NP_056238	NP_056238.2	-0.05261807843137262	0.7471573231567419	-0.011098213566185677	0.8833686733473523	-0.059045998295122	0.49096419984583406	-0.0755433615819209	0.2588402570200444	0.08401406207827261	0.5873178090283836	0.10758561872909705	0.4936223754345215
AASS	NP_005754.2	NP_005754.2	NP_005754	NP_005754.2	-1.7372625098039216	1.919634364537829e-05	-0.004388769134923365	0.9735491594527035	0.14879795536890236	0.20983446462612165			-0.4977360593792174	0.04485419861222917	0.4925638795986622	0.3102055416910188
AATF	NP_036270.1	NP_036270.1	NP_036270	NP_036270.1	0.23208513725490193	0.22412542399596375	0.08599481248608853	0.28165754841951934	-0.04016387328536591	0.6350089602170683	0.0908169491525424	0.18707767932212702	0.11433392712550611	0.5016526208559188	-0.15535574136008928	0.4897096554704766
ABAT	NP_065737.2	NP_000654.2	NP_065737	NP_000654.2	0.09589952941176463	0.8505641982750509	0.2028068497712887	0.15032130161033705	0.2803095524695123	0.16009145271718345	0.14597810734463262	0.41524677440406754	0.1659686909581647	0.7468097003002041	0.32587079152731313	0.38631026444409133
ABCA1		NP_005493.2	NP_005493	NP_005493.2	-0.31098615686274506	0.14734333650758275			-0.14776054890914633	0.17943499373340668					-0.022619955406911918	0.9213280135768188
ABCA3		NP_001080.2		NP_001080.2	-0.7536829019607836	0.05275517160527307									0.9206231884057985	0.02904928990446166
