Name	lscc_Database_ID	luad_Database_ID	brca_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	colon_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
A1BG	NP_570602.2	NP_570602.2	NP_570602.2	NP_570602	0.06746564601503086	0.18322776690274914	0.6997358051135909	0.7949051973932556	0.9800694234773859	0.9103692728961136	-0.6049525692762977	-0.3639788617886181	-0.07572236825862788	0.14732357954545505	0.01822812500000026	-0.09625161333673471
A2M	NP_000005.2|NP_001334353.1|NP_001334354.1	NP_000005.2|NP_001334353.1|NP_001334354.1|K4JDR8|K4JBA2|K4JB97	NP_000005.2	NP_000005	0.9839493254114053	0.5692789081259042	0.8337738451177884	0.8687510271400929	0.8143947946746436	0.9879642220659719	-0.010695534032822085	-0.15320171635049695	-0.0730159003155677	-0.13911548295454512	0.1818372970779214	0.02264364580867348
A2ML1	NP_653271.2|NP_001269353.1		NP_653271.2|NP_001269353.1		0.12791783376993546		0.6472054411526224	0.6040404888392144			1.331073365617434		0.24197750692767528	1.2674336647727271		
AAAS	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480.1|NP_001166937.1	NP_056480	0.2108184367648304	0.6092990719960474	0.8819259701200788	0.772112404889336	0.3509131018422215	0.8732171979459028	0.18291199892386328	0.0895868112014453	0.020536696595019777	-0.07527343749999998	0.20806814123376627	0.04552861135204078
AACS	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417.2|NP_001306769.1|NP_001306768.1	NP_076417	0.1389734496276592	0.9084759037771557	0.7495389432315386	0.9152197121781185	0.6735655985298982	0.9262798906705675	-0.601837099811676	0.02299024390243902	0.08884904966963703	-0.09200610795454556	0.326425771103896	-0.06858618017219392
AAGAB	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258814.1	NP_078942.3|NP_001258815.1	NP_078942	0.07566977011172861	0.3229621320944895	0.881614293738567	0.8392623145225229	0.973397932268648	0.8848924362936782	-0.4093647296206618	-0.14416657633242996	0.0344877989500354	-0.0914374999999999	-0.020575162337662323	-0.06413022984119895
AAK1	NP_055726.3		NP_055726.3	NP_055726	0.17641046074895733	0.21311708734517262	0.44746576049679404	0.3963667423427464		0.7742871638870342	-0.2155843691148776	-0.1109437669376694	-0.07854092817926173	-0.26157116477272724		-0.11173860867474489
AAMDC	NP_001303889.1|NP_001350493.1	NP_001303889.1|NP_001350493.1|NP_001303886.1|NP_001303887.1	NP_078960.1|NP_001303886.1|NP_001303887.1	NP_078960	0.03129310820942359	0.2959647379273761	0.9357972562670592	0.6530373383912953	0.7587389787322479	0.8654073019577658	-0.9176055152004299	0.18317615176151758	-0.02658616134986147	-0.27815809659090907	-0.22749038149350642	-0.13240178005038267
AAMP	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001289474.1|NP_001078.2	NP_001078	0.9855584262822286	0.9899182853231647	0.8799661810029762	0.3576511308543409	0.6271317273079607	0.7948767129387013	-0.005741189131019592	-0.0026911020776874614	-0.03410184329439758	-0.4042142045454546	-0.20056952110389603	-0.11269573144196428
AAR2	NP_001258803.1	NP_001258803.1	NP_001258803.1	NP_001258803	0.08819343377599854	0.06539374775889399	0.8581592352942508	0.3372948855162104	0.530154015897865	0.7757614897759681	0.2579243744955608	0.19366671183378506	0.03460686332021368	-0.29046818181818185	0.17718786525974023	-0.10771944438647961
AARS2	NP_065796.1	NP_065796.1	NP_065796.1	NP_065796	0.6226913879670113	0.733198717304258	0.8793388295233767	0.5933675248953891	0.7414421557549591	0.9924269220495125	0.1103483454398709	0.048837759710930455	0.025752593041570293	-0.23869616477272726	0.17677629870129877	-0.005051508119260209
AARSD1	NP_001248363.1|NP_001129514.2|NP_079543.1	NP_001248363.1|NP_001129514.2|NP_079543.1	NP_001248363.1|NP_001129514.2|NP_079543.1		0.44195558457300316		0.2651439251246719	0.9249275225393002	0.849482497301242		-0.18307662093085827		0.13769962417043047	0.04882059659090904	-0.08270827922077917	
AASDHPPT	NP_056238.2	NP_056238.2	NP_056238.2	NP_056238	0.948340497969317	0.8618875551780849	0.9347004154227014	0.6936427915591595	0.9662877954948627	0.9926012397913015	0.016991041162227615	0.029385456187895218	-0.020904022740459993	-0.155403409090909	-0.02489314123376629	0.006194809207270335
AASS	NP_005754.2	NP_005754.2	NP_005754.2	NP_005754	0.0003574268277446171	0.7564621347610014	0.8581592352942508	0.7727825490775602	0.6523978022239088	0.5578086900631575	-1.1419009147161692	-0.062032571428571506	-0.07341102818667267	-0.36846051136363644	-0.46244638798701293	-0.2666285858144133
AATF	NP_036270.1	NP_036270.1	NP_036270.1	NP_036270	0.05143951009216843	0.17515621339583337	0.6745404928245033	0.8830528741429534	0.25004086302292217	0.8468922384952126	0.4313655098197471	0.16539552845528452	0.08935103623791107	-0.09149758522727264	0.42484715909090914	0.08773494309693877
ABAT	NP_000654.2	NP_000654.2	NP_065737.2	NP_065737	0.04778716085252133	0.23584265215097808	0.6452371448565739	0.6695878008196375	0.879951347078189	0.47960041989687074	-1.3210607479149856	0.38549683830171627	-0.1681748018878757	-0.3980470170454547	-0.2223973214285714	-0.5063051107704083
ABCA13			NP_689914.3		0.014830112658796066						-0.842637099811676					
