protein	cancers	mean_simp_change	num_cancers
CPNE3	brca_colon_hnscc_lscc_luad_ovarian	1	6
NUDCD1	brca_colon_hnscc_lscc_luad_ovarian	1	6
OTUD6B	brca_colon_hnscc_lscc_luad_ovarian	1	6
POP1	brca_colon_hnscc_lscc_luad_ovarian	1	6
RIDA	brca_colon_hnscc_lscc_luad_ovarian	1	6
RMDN1	brca_colon_hnscc_lscc_luad_ovarian	1	6
STK3	brca_colon_hnscc_lscc_luad_ovarian	1	6
YWHAZ	brca_colon_hnscc_lscc_luad_ovarian	1	6
DCAF13	brca_colon_hnscc_lscc_luad	1	5
FAM91A1	brca_colon_hnscc_lscc_luad	1	5
SQLE	brca_colon_hnscc_lscc_luad	1	5
MTERF3	brca_colon_hnscc_lscc_ovarian	1	5
EBAG9	brca_colon_hnscc_luad_ovarian	1	5
SPAG1	brca_colon_hnscc_luad_ovarian	1	5
RBM12B	brca_colon_lscc_luad_ovarian	1	5
GRHL2	brca_hnscc_lscc_luad_ovarian	1	5
NDUFAF6	brca_hnscc_lscc_luad_ovarian	1	5
PABPC1	brca_hnscc_lscc_luad_ovarian	1	5
UTP23	brca_colon_hnscc_luad	1	4
MTDH	brca_colon_hnscc_ovarian	1	4
ZNF706	brca_colon_hnscc_ovarian	1	4
DECR1	brca_colon_luad_ovarian	1	4
TMEM65	brca_colon_luad_ovarian	1	4
TAF2	brca_hnscc_lscc_luad	1	4
PTDSS1	colon_hnscc_luad_ovarian	1	4
NBN	colon_lscc_luad_ovarian	1	4
FZD6	hnscc_lscc_luad_ovarian	1	4
SLC25A32	hnscc_lscc_luad_ovarian	1	4
MRPL13	brca_colon_hnscc	1	3
ATAD2	brca_lscc_luad	1	3
NSMCE2	brca_lscc_luad	1	3
UBR5	brca_lscc_luad	1	3
ZHX1	brca_lscc_luad	1	3
ZFAND1	brca_luad_ovarian	1	3
VPS13B	hnscc_lscc_luad	1	3
DERL1	hnscc_luad_ovarian	1	3
PLEKHF2	hnscc_luad_ovarian	1	3
COX6C	brca_colon	1	2
PDP1	brca_colon	1	2
RAD21	brca_colon	1	2
UQCRB	brca_colon	1	2
DSCC1	brca_lscc	1	2
TRPS1	brca_lscc	1	2
WDYHV1	brca_lscc	1	2
ENY2	brca_luad	1	2
ATP6V1C1	brca_ovarian	1	2
IMPA1	brca_ovarian	1	2
CA13	colon_luad	1	2
CHMP4C	colon_luad	1	2
RNF139	luad_ovarian	1	2
CNGB3	brca	-1	1
COL14A1	brca	-1	1
CSMD3	brca	1	1
DPYS	brca	-1	1
E2F5	brca	1	1
GEM	brca	-1	1
NDUFB9	brca	1	1
POLR2K	brca	1	1
RIPK2	brca	1	1
RRM2B	brca	1	1
TSPYL5	brca	1	1
RALYL	colon	1	1
SYBU	colon	1	1
FABP5	hnscc	1	1
MTSS1	hnscc	1	1
C8orf37	lscc	1	1
EXT1	lscc	1	1
INTS8	lscc	1	1
PAG1	lscc	-1	1
PMP2	lscc	-1	1
SNX16	lscc	1	1
WWP1	lscc	1	1
NCALD	luad	1	1
SAMD12	luad	1	1
SNTB1	luad	1	1
CPQ	ovarian	1	1
ESRP1	ovarian	1	1
TATDN1	ovarian	1	1
