protein	cancers	mean_simp_change	num_cancers
STAU2	brca_colon_hnscc_lscc_luad	1	5
YTHDF3	brca_colon_hnscc_lscc_luad	1	5
ARFGEF1	brca_colon_hnscc_luad	1	4
HGH1	brca_colon_hnscc_luad	1	4
CYC1	brca_colon_lscc_luad	1	4
HSF1	brca_hnscc_lscc_luad	1	4
MTFR1	brca_hnscc_lscc_luad	1	4
MRPL15	brca_colon_hnscc	1	3
MRPL39	brca_colon_hnscc	1	3
MRPL45	brca_colon_hnscc	1	3
ANKFY1	brca_colon_lscc	-1	3
BOP1	brca_colon_lscc	1	3
GGH	brca_colon_lscc	1	3
PRKDC	brca_colon_lscc	1	3
RDH10	brca_colon_lscc	1	3
UQCR10	brca_colon_lscc	1	3
AGO2	brca_colon_luad	1	3
PTK2	brca_colon_luad	1	3
TMEM70	brca_colon_luad	1	3
UQCC2	brca_colon_luad	1	3
UQCRH	brca_colon_luad	1	3
NCOA2	brca_lscc_luad	1	3
PHF20L1	brca_lscc_luad	1	3
ZBTB10	brca_luad_ovarian	1	3
AKAP1	brca_colon	1	2
C8orf82	brca_colon	1	2
COL4A3BP	brca_colon	-1	2
COQ8A	brca_colon	1	2
DAP3	brca_colon	1	2
DDX27	brca_colon	1	2
DNAJC19	brca_colon	1	2
FBL	brca_colon	1	2
HSPD1	brca_colon	1	2
HSPE1	brca_colon	1	2
LRPPRC	brca_colon	1	2
LYRM4	brca_colon	1	2
MALSU1	brca_colon	1	2
MRPL10	brca_colon	1	2
MRPL17	brca_colon	1	2
MRPL19	brca_colon	1	2
MRPL3	brca_colon	1	2
MRPL4	brca_colon	1	2
MRPL44	brca_colon	1	2
MRPL47	brca_colon	1	2
MRPL49	brca_colon	1	2
MRPL53	brca_colon	1	2
MRPS18A	brca_colon	1	2
MRPS27	brca_colon	1	2
MRPS31	brca_colon	1	2
MRPS6	brca_colon	1	2
MRPS7	brca_colon	1	2
NDUFAF4	brca_colon	1	2
PNPT1	brca_colon	1	2
PRR15	brca_colon	0	2
PTCD3	brca_colon	1	2
PYCRL	brca_colon	1	2
RRS1	brca_colon	1	2
SMC1A	brca_colon	1	2
SMC3	brca_colon	1	2
TIMM13	brca_colon	1	2
TIMM8A	brca_colon	1	2
TOMM70	brca_colon	1	2
VCPIP1	brca_colon	1	2
XPNPEP1	brca_colon	-1	2
DDX28	brca_hnscc	1	2
LACTB2	brca_hnscc	1	2
MAPKAPK2	brca_hnscc	-1	2
UQCC3	brca_hnscc	1	2
ACTR1A	brca_lscc	-1	2
AIDA	brca_lscc	-1	2
ALG11	brca_lscc	-1	2
ALG2	brca_lscc	-1	2
ANXA11	brca_lscc	-1	2
AP3M1	brca_lscc	-1	2
APEH	brca_lscc	-1	2
ARAP1	brca_lscc	-1	2
ARCN1	brca_lscc	-1	2
ARL6IP5	brca_lscc	-1	2
ASH2L	brca_lscc	1	2
BEND3	brca_lscc	1	2
CADM4	brca_lscc	0	2
CHTF18	brca_lscc	1	2
CNRIP1	brca_lscc	-1	2
COPA	brca_lscc	-1	2
COPB1	brca_lscc	-1	2
COPE	brca_lscc	-1	2
COPG1	brca_lscc	-1	2
CPSF1	brca_lscc	1	2
CRTC3	brca_lscc	-1	2
CRYZL1	brca_lscc	-1	2
DCTN5	brca_lscc	-1	2
DCTN6	brca_lscc	-1	2
DGKQ	brca_lscc	-1	2
DOK1	brca_lscc	-1	2
EML3	brca_lscc	-1	2
ERGIC1	brca_lscc	-1	2
EVI5	brca_lscc	-1	2
FAM114A2	brca_lscc	-1	2
FER	brca_lscc	-1	2
GMPPA	brca_lscc	-1	2
GMPPB	brca_lscc	-1	2
HARS	brca_lscc	-1	2
IAH1	brca_lscc	-1	2
IQGAP1	brca_lscc	-1	2
IQGAP2	brca_lscc	-1	2
