protein	cancers	num_cancers
A1BG	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
A2M	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAAS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AACS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAGAB	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAMDC	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAMP	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AAR2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AARS2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AASDHPPT	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
AATF	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABAT	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCB1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCB10	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCB6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCD3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCE1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCF1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABCF2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD11	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD12	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD14B	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD17A	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD17B	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD17C	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABHD6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABI2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABI3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABLIM2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ABT1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACAA1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACACA	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADS	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADSB	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACADVL	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACAT1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACBD3	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACBD6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACO1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACOT11	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACP5	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACP6	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACPP	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACSF2	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACSL4	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACSS1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
ACTA1	['brca', 'colon', 'hnscc', 'lscc', 'luad', 'ovarian']	6
