protein	cancers	num_cancers
INTS8	['brca', 'colon', 'hnscc', 'lscc', 'ovarian']	5
NCALD	['brca', 'colon', 'hnscc', 'lscc', 'ovarian']	5
EMC2	['brca', 'colon', 'lscc', 'luad', 'ovarian']	5
RPL30	['colon', 'hnscc', 'lscc', 'luad', 'ovarian']	5
DEPTOR	['brca', 'colon', 'hnscc', 'lscc']	4
FABP5	['brca', 'colon', 'luad', 'ovarian']	4
TBC1D31	['brca', 'hnscc', 'lscc', 'luad']	4
ASAP1	['colon', 'hnscc', 'lscc', 'luad']	4
PAG1	['colon', 'hnscc', 'lscc', 'ovarian']	4
CA3	['colon', 'hnscc', 'luad', 'ovarian']	4
COL14A1	['colon', 'lscc', 'luad', 'ovarian']	4
FABP4	['colon', 'lscc', 'luad', 'ovarian']	4
NDUFB9	['colon', 'lscc', 'luad', 'ovarian']	4
COX6C	['hnscc', 'lscc', 'luad', 'ovarian']	4
SNTB1	['brca', 'colon', 'lscc']	3
CPQ	['brca', 'colon', 'luad']	3
LRRCC1	['brca', 'hnscc', 'luad']	3
PMP2	['brca', 'hnscc', 'luad']	3
FER1L6	['brca', 'lscc', 'luad']	3
SYBU	['brca', 'lscc', 'luad']	3
RIPK2	['colon', 'hnscc', 'lscc']	3
DSCC1	['colon', 'hnscc', 'ovarian']	3
MED30	['colon', 'lscc', 'ovarian']	3
NSMCE2	['colon', 'lscc', 'ovarian']	3
RAD21	['hnscc', 'lscc', 'ovarian']	3
RAD54B	['hnscc', 'lscc', 'ovarian']	3
COLEC10	['brca', 'colon']	2
RNF139	['brca', 'hnscc']	2
SDC2	['brca', 'hnscc']	2
RGS22	['brca', 'lscc']	2
IMPA1	['colon', 'hnscc']	2
ZFAND1	['colon', 'hnscc']	2
ATP6V1C1	['colon', 'lscc']	2
GRHL2	['colon', 'lscc']	2
MTSS1	['colon', 'ovarian']	2
ANKRD46	['hnscc', 'lscc']	2
RRM2B	['hnscc', 'lscc']	2
TSPYL5	['hnscc', 'lscc']	2
C8orf37	['hnscc', 'ovarian']	2
WDYHV1	['hnscc', 'ovarian']	2
MRPL13	['lscc', 'luad']	2
ATAD2	['lscc', 'ovarian']	2
CHMP4C	['lscc', 'ovarian']	2
UBR5	['lscc', 'ovarian']	2
ZHX2	['lscc', 'ovarian']	2
EXT1	['brca']	1
PABPC1	['colon']	1
SLC25A32	['colon']	1
CA13	['hnscc']	1
NBN	['hnscc']	1
TRPS1	['hnscc']	1
UQCRB	['hnscc']	1
WWP1	['hnscc']	1
CNGB3	['lscc']	1
CSMD3	['lscc']	1
DCAF13	['lscc']	1
ENY2	['lscc']	1
GEM	['lscc']	1
PDP1	['lscc']	1
POLR2K	['lscc']	1
PTDSS1	['lscc']	1
RBM12B	['lscc']	1
SAMD12	['lscc']	1
CA2	['luad']	1
ZNF706	['luad']	1
DPYS	['ovarian']	1
ENPP2	['ovarian']	1
RALYL	['ovarian']	1
SNX16	['ovarian']	1
UTP23	['ovarian']	1
VPS13B	['ovarian']	1
