	gain_event	loss_event
01OV002	True	True
01OV007	True	True
01OV008	True	True
01OV010	True	True
01OV013	True	True
01OV017	True	True
01OV018	True	True
01OV019	True	True
01OV023	True	True
01OV026	True	True
01OV030	True	False
01OV039	True	True
01OV041	True	True
01OV045	True	True
01OV046	True	True
01OV047	True	True
01OV049	True	True
02OV005	True	True
02OV006	True	True
02OV008	True	True
02OV022	True	True
02OV023	False	True
02OV029	True	True
02OV032	True	True
02OV035	True	True
02OV036	True	True
02OV040	True	True
02OV041	True	True
02OV042	True	True
02OV044	True	True
02OV045	True	True
02OV046	True	True
04OV001	True	True
04OV004	True	False
04OV005	True	True
04OV008	True	True
04OV011	True	True
04OV012	True	False
04OV013	True	True
04OV017	True	False
04OV018	True	False
04OV021	True	True
04OV023	True	True
04OV024	True	True
04OV027	True	True
04OV028	True	True
04OV031	True	True
04OV033	True	True
04OV036	True	True
04OV037	True	True
04OV039	True	True
04OV040	True	True
04OV041	True	True
04OV044	True	True
04OV045	True	True
04OV048	True	True
04OV049	True	True
04OV050	True	False
04OV051	True	True
04OV053	True	True
04OV054	True	True
04OV055	True	True
04OV057	True	True
04OV058	True	True
04OV063	True	True
11OV002	True	True
11OV009	True	True
13OV003	True	True
13OV004	True	True
14OV011	True	True
15OV001	False	False
17OV001	True	True
17OV002	True	False
17OV010	False	True
17OV011	True	True
17OV013	False	True
17OV014	True	True
17OV015	True	True
17OV017	True	True
17OV018	True	True
17OV019	True	False
17OV025	True	True
17OV027	True	True
17OV028	True	True
17OV029	True	True
17OV030	True	True
17OV033	True	True
17OV034	True	True
17OV036	True	False
17OV039	True	True
17OV040	True	True
18OV001	True	False
20OV005	True	True
22OV001	True	False
26OV002	True	False
26OV008	True	True
26OV009	False	True
26OV010	True	True
26OV011	True	True
26OV013	True	True
