protein	cancers	num_cancers
ATP6V1A	brca_colon_luad	3
ATP6V1E1	colon_lscc_luad	3
ATP6V1H	colon_lscc_luad	3
ATP6V1D	brca_luad	2
ATP6V1F	colon_luad	2
ALG2	lscc_luad	2
PPP2R1A	brca	1
HSPA4L	colon	1
NARS	colon	1
PPP2R1B	colon	1
RPS6KB2	colon	1
ABCF3	lscc	1
ACTB	lscc	1
CCT7	lscc	1
CDCA5	lscc	1
COPA	lscc	1
COX6A1	lscc	1
CRTC3	lscc	1
DERL1	lscc	1
DNAJB1	lscc	1
ECSIT	lscc	1
GMPPB	lscc	1
HSPE1	lscc	1
HYOU1	lscc	1
IRF3	lscc	1
KCTD3	lscc	1
MAST3	lscc	1
MCM2	lscc	1
MSH2	lscc	1
MSH6	lscc	1
NDUFAF1	lscc	1
OPTN	lscc	1
PAK4	lscc	1
PANK2	lscc	1
PPM1G	lscc	1
PTPN1	lscc	1
PTPN7	lscc	1
PYHIN1	lscc	1
RECQL4	lscc	1
RPS28	lscc	1
RUVBL1	lscc	1
SAMHD1	lscc	1
SEC23A	lscc	1
SRXN1	lscc	1
TBC1D1	lscc	1
UBXN7	lscc	1
VASN	lscc	1
VPS28	lscc	1
WDR12	lscc	1
XPO1	lscc	1
ZNF638	lscc	1
ATP6V1C2	luad	1
EGFR	luad	1
GRB2	luad	1
KLC3	luad	1
NCF1	luad	1
S100A8	luad	1
SIRT7	luad	1
TNIP2	luad	1
