protein	cancers	mean_simp_change	num_cancers
CPNE3	brca_colon_hnscc_lscc_luad_ovarian	1	6
OTUD6B	brca_colon_hnscc_lscc_luad_ovarian	1	6
POP1	brca_colon_hnscc_lscc_luad_ovarian	1	6
RIDA	brca_colon_hnscc_lscc_luad_ovarian	1	6
RMDN1	brca_colon_hnscc_lscc_luad_ovarian	1	6
STK3	brca_colon_hnscc_lscc_luad_ovarian	1	6
YWHAZ	brca_colon_hnscc_lscc_luad_ovarian	1	6
DCAF13	brca_colon_hnscc_lscc_luad	1	5
FAM91A1	brca_colon_hnscc_lscc_luad	1	5
NUDCD1	brca_colon_hnscc_lscc_luad	1	5
SQLE	brca_colon_hnscc_lscc_luad	1	5
DECR1	brca_colon_hnscc_luad_ovarian	1	5
MTERF3	brca_colon_hnscc_luad	1	4
UTP23	brca_colon_hnscc_luad	1	4
ZNF706	brca_colon_hnscc_ovarian	1	4
RBM12B	brca_colon_lscc_luad	1	4
TMEM65	brca_colon_luad_ovarian	1	4
GRHL2	brca_hnscc_lscc_luad	1	4
TAF2	brca_hnscc_lscc_luad	1	4
UBR5	brca_hnscc_lscc_luad	1	4
NBN	colon_lscc_luad_ovarian	1	4
MRPL13	brca_colon_hnscc	1	3
EBAG9	brca_colon_luad	1	3
UQCRB	brca_colon_luad	1	3
MTDH	brca_colon_ovarian	1	3
NDUFAF6	brca_hnscc_luad	1	3
ATAD2	brca_lscc_luad	1	3
PABPC1	brca_lscc_ovarian	1	3
TRPS1	brca_lscc_ovarian	1	3
SPAG1	colon_hnscc_luad	1	3
PTDSS1	colon_luad_ovarian	1	3
FZD6	hnscc_lscc_luad	1	3
PDP1	brca_colon	1	2
RAD21	brca_colon	1	2
POLR2K	brca_hnscc	1	2
DSCC1	brca_lscc	1	2
ENY2	brca_luad	1	2
ATP6V1C1	brca_ovarian	1	2
SNX16	hnscc_lscc	1	2
DERL1	hnscc_luad	1	2
SLC25A32	hnscc_luad	1	2
VPS13B	lscc_luad	1	2
WWP1	lscc_luad	1	2
ZHX1	lscc_luad	1	2
ZFAND1	luad_ovarian	1	2
COL14A1	brca	-1	1
COX6C	brca	1	1
CSMD3	brca	1	1
DPYS	brca	-1	1
E2F5	brca	1	1
ENPP2	brca	-1	1
NSMCE2	brca	1	1
RAD54B	brca	1	1
RIPK2	brca	1	1
RRM2B	brca	1	1
WDYHV1	brca	1	1
RALYL	colon	1	1
SYBU	colon	1	1
PLEKHF2	hnscc	1	1
C8orf37	lscc	1	1
EXT1	lscc	1	1
FABP5	lscc	1	1
PAG1	lscc	-1	1
TSPYL5	lscc	1	1
CHMP4C	luad	1	1
RNF139	luad	1	1
SNTB1	luad	1	1
CPQ	ovarian	1	1
ESRP1	ovarian	1	1
IMPA1	ovarian	1	1
