	event	proportion
11LU013	True	0.9683157861555152
11LU016	False	0.0
11LU022	False	0.41895896180614883
11LU035	False	0.0
C3L-00001	False	0.5533282585348673
C3L-00009	False	0.0
C3L-00080	True	1.0
C3L-00083	False	0.0
C3L-00093	False	0.0
C3L-00094	False	0.0
C3L-00095	False	0.2845091046006293
C3L-00140	False	0.0
C3L-00144	False	0.028272366811266266
C3L-00263	False	0.0
C3L-00279	False	0.0
C3L-00368	False	0.0
C3L-00412	False	0.0
C3L-00422	False	0.0
C3L-00510	False	0.0
C3L-00604	False	0.38417707947979224
C3L-00893	True	0.8974146250176553
C3L-00913	False	0.0
C3L-00973	False	0.0
C3L-01330	False	0.5164593555951139
C3L-01632	False	0.0
C3L-01682	False	0.0
C3L-01683	False	0.0
C3L-01862	False	0.0
C3L-01889	False	0.0
C3L-01924	False	0.6942661695741764
C3L-02219	False	0.0
C3L-02345	False	0.09557295941189244
C3L-02348	False	0.0
C3L-02350	False	0.0
C3L-02365	True	0.9884182926021804
C3L-02508	False	0.0
C3L-02549	False	0.0
C3N-00167	False	0.0
C3N-00169	False	0.0
C3N-00175	False	0.6812278205947658
C3N-00180	False	0.0
C3N-00199	False	0.0
C3N-00203	False	0.0
C3N-00217	True	1.0
C3N-00223	False	0.4661140027945496
C3N-00293	False	0.0
C3N-00294	False	0.0
C3N-00433	False	0.0
C3N-00545	False	0.0
C3N-00546	True	0.9591871659827917
C3N-00547	True	0.9834372824142399
C3N-00549	True	1.0
C3N-00550	False	0.0
C3N-00551	True	0.9367364446583629
C3N-00552	False	0.0
C3N-00556	False	0.7638297880633393
C3N-00559	True	0.9221310762563013
C3N-00560	True	0.9581327177704134
C3N-00572	False	0.0
C3N-00574	True	0.9589949365535697
C3N-00578	False	0.0
C3N-00579	False	0.5786574030157341
C3N-00580	True	1.0
C3N-00704	True	1.0
C3N-00737	False	0.0
C3N-00738	False	0.0
C3N-00959	False	0.0
C3N-01016	False	0.710207277941148
C3N-01021	True	1.0
C3N-01023	False	0.0
C3N-01024	False	0.3194277472888732
C3N-01030	True	1.0
C3N-01071	False	0.22147519655708833
C3N-01072	False	0.5243815661843416
C3N-01074	True	1.0
C3N-01405	True	0.895061343136815
C3N-01410	True	0.8677923160165093
C3N-01413	False	0.0
C3N-01414	True	1.0
C3N-01415	True	1.0
C3N-01416	False	0.0
C3N-01488	False	0.0
C3N-01489	False	0.21717828050568497
C3N-01799	False	0.10850231910397067
C3N-01823	False	0.0
C3N-01842	False	0.0
C3N-02000	True	1.0
C3N-02002	True	1.0
C3N-02003	False	0.0
C3N-02067	True	1.0
C3N-02087	False	0.0
C3N-02089	True	1.0
C3N-02145	False	0.0
C3N-02149	False	0.0
C3N-02155	False	0.0
C3N-02158	False	0.0
C3N-02379	False	0.3929057474577408
C3N-02380	False	0.0
C3N-02421	False	0.5353622977845552
C3N-02422	False	0.0
C3N-02423	False	0.0
C3N-02424	False	0.3890551661677374
C3N-02433	False	0.0
C3N-02529	True	0.9176846592535437
C3N-02572	False	0.0
C3N-02582	False	0.6770852532524678
C3N-02586	True	0.9452655993901667
C3N-02587	False	0.0
C3N-02588	False	0.0
C3N-02729	False	0.7789163268729531
