	event	proportion
01CO001	True	0.9908755107199573
01CO005	True	0.9908755107199573
01CO006	False	0.0
01CO008	False	0.0
01CO013	True	0.9760950716672845
01CO014	False	0.0
01CO015	False	0.0
01CO019	False	0.0
01CO022	False	0.0
05CO002	False	0.670798001350542
05CO003	False	0.0
05CO005	False	0.6817761083909049
05CO006	False	0.0
05CO007	False	0.0
05CO011	True	0.93174029205412
05CO015	False	0.0
05CO020	False	0.0
05CO026	True	1.0
05CO028	False	0.0
05CO029	False	0.0
05CO032	False	0.0
05CO033	False	0.769472498519488
05CO034	False	0.4839799409418324
05CO035	False	0.0
05CO037	False	0.0
05CO039	False	0.2679349381502825
05CO041	False	0.0
05CO044	False	0.0
05CO045	False	0.0
05CO047	True	0.9908755107199573
05CO048	False	0.0
05CO049	False	0.7216288424985839
05CO050	False	0.0
05CO053	False	0.0
05CO054	False	0.0
05CO055	True	1.0
06CO001	True	1.0
06CO002	False	0.6894919570184863
09CO005	False	0.0
09CO006	False	0.0
09CO008	True	0.874660007366159
09CO011	False	0.0
09CO013	False	0.0
09CO014	False	0.0
09CO015	True	0.9332836527364469
09CO018	True	1.0
09CO019	False	0.0
09CO022	False	0.0
11CO005	False	0.0
11CO007	False	0.6654872537522416
11CO008	True	0.9241591634564043
11CO010	False	0.0
11CO018	False	0.0
11CO019	False	0.0
11CO020	True	0.9147868599754286
11CO021	True	1.0
11CO022	False	0.0
11CO027	False	0.0
11CO030	False	0.5702495495209491
11CO031	False	0.0
11CO032	True	1.0
11CO033	False	0.0
11CO036	False	0.6838090345963614
11CO037	True	0.9057208034794241
11CO039	True	0.9506545641422733
11CO042	False	0.7930768130931447
11CO043	False	0.7858245598624538
11CO044	True	1.0
11CO045	False	0.7316140696023253
11CO047	False	0.0
11CO048	True	1.0
11CO051	False	0.0
11CO052	False	0.0
11CO053	True	0.8643934531412276
11CO054	False	0.0
11CO057	False	0.0
11CO058	False	0.0
11CO059	False	0.0
11CO060	True	1.0
11CO061	False	0.0
11CO062	False	0.0
11CO070	False	0.0
11CO072	False	0.7888441121689853
11CO077	False	0.0
11CO079	True	0.9607488753240597
14CO002	False	0.0
14CO003	False	0.0
14CO005	True	0.9908755107199573
15CO001	False	0.0
15CO002	True	1.0
16CO002	False	0.0
16CO003	True	0.9243614344580132
16CO006	False	0.0
16CO011	True	1.0
16CO012	False	0.0
20CO001	True	0.9262885228512048
20CO003	False	0.0
20CO004	True	0.9380407688016672
20CO007	False	0.0
21CO006	True	0.8807575925024628
21CO007	True	0.8046945777097547
22CO004	True	0.9506545641422733
22CO006	False	0.0
24CO005	False	0.0
27CO004	True	1.0
