	event	proportion
C3L-00081	False	0.3360532425779265
C3L-00415	False	0.0
C3L-00445	False	0.0
C3L-00568	False	0.0
C3L-00603	False	0.012476449654594934
C3L-00904	False	0.0
C3L-00923	False	0.0
C3L-00927	False	0.7692391970361594
C3L-00965	False	0.0
C3L-00993	True	0.8807575925024628
C3L-01000	False	0.0
C3L-01285	False	0.7978999524756237
C3L-01455	False	0.0
C3L-01606	True	0.8789360077471178
C3L-01663	True	1.0
C3L-01838	False	0.3360532425779265
C3L-01884	True	0.9147868599754286
C3L-02127	True	0.8102189582398938
C3L-02130	False	0.0
C3L-02163	False	0.18601780815476285
C3L-02164	False	0.0
C3L-02168	False	0.0
C3L-02170	False	0.0
C3L-02349	True	0.9147868599754286
C3L-02358	False	0.0
C3L-02546	False	0.0
C3L-02552	False	0.0
C3L-02619	False	0.0
C3L-02624	True	0.874660007366159
C3L-02625	False	0.7043644849930623
C3L-02627	True	0.9611394774801053
C3L-02629	False	0.0
C3L-02646	False	0.3360532425779265
C3L-02648	False	0.3360532425779265
C3L-02649	True	1.0
C3L-02650	False	0.0
C3L-02660	False	0.3360532425779265
C3L-02665	True	0.9241591634564043
C3L-02669	True	0.9057208034794241
C3L-02891	False	0.3360532425779265
C3L-02951	False	0.3360532425779265
C3L-02963	False	0.0
C3L-02964	True	0.874660007366159
C3L-02968	True	0.9321915229975254
C3L-02969	False	0.15717487991800314
C3L-03272	False	0.020905187795281888
C3L-03678	True	0.8807575925024628
C3L-03961	False	0.0
C3L-03962	True	0.9147868599754286
C3L-03963	False	0.3360532425779265
C3L-03965	True	1.0
C3L-04013	True	1.0
C3L-04014	False	0.0
C3L-04071	False	0.0
C3L-04391	False	0.7482579129518605
C3N-00211	False	0.0
C3N-00221	False	0.11258441186137777
C3N-00247	False	0.0
C3N-00497	False	0.0
C3N-00555	True	0.9403396978442647
C3N-01017	True	0.9908755107199573
C3N-01018	True	0.8046945777097547
C3N-01020	False	0.3360532425779265
C3N-01025	False	0.7634762637104007
C3N-01028	False	0.3360532425779265
C3N-01194	False	0.0
C3N-01411	True	0.9413160122775681
C3N-01846	True	0.874660007366159
C3N-01892	True	0.9320192322151778
C3N-01893	False	0.3360532425779265
C3N-02252	True	1.0
C3N-02283	False	0.6968163919235771
C3N-02284	True	1.0
C3N-02285	True	0.9241591634564043
C3N-02288	False	0.3360532425779265
C3N-02289	False	0.0
C3N-02300	True	1.0
C3N-02339	True	1.0
C3N-02374	False	0.0
C3N-02375	False	0.4785786798153161
C3N-02425	True	0.8432879993908478
C3N-02426	False	0.0
C3N-02434	True	1.0
C3N-02435	False	0.0
C3N-02494	True	0.9147868599754286
C3N-02523	False	0.5641519643846452
C3N-02575	True	0.9546965946910665
C3N-02675	False	0.0
C3N-03051	False	0.0
C3N-03072	False	0.5964428565324773
C3N-03076	False	0.6849168705329532
C3N-03092	False	0.24835685244934333
C3N-03093	True	0.9380407688016672
C3N-03204	True	0.907542388234769
C3N-03424	False	0.0
C3N-03425	False	0.3360532425779265
C3N-03441	False	0.3360532425779265
C3N-03486	True	0.8807575925024628
C3N-03662	True	0.8750750042547565
C3N-03848	False	0.3360532425779265
C3N-03851	True	1.0
C3N-03875	False	0.0
C3N-03877	True	0.9327649662997034
C3N-03880	False	0.0
C3N-03882	True	0.8643897772226239
C3N-03886	False	0.6894919570184863
C3N-04124	False	0.0
C3N-04127	False	0.3360532425779265
C3N-04155	True	0.9960977498365529
C3N-04162	False	0.0
