protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
EPHX2	ENSP00000430269	1.7466312574876266e-17	coad	-1.085360643066111	27	29
DPYSL2	ENSP00000427985	2.136288970362532e-14	coad	-0.942004979162828	27	29
GSR	ENSP00000221130	5.788921461257748e-12	coad	-0.60802621839072	27	29
DMTN	ENSP00000370879	1.9071465517205006e-11	coad	-0.9735394973515077	27	29
DCTN6	ENSP00000221114	4.73361515753241e-11	coad	-0.5638865815442181	27	29
KBTBD11	ENSP00000321544	9.007026656500204e-10	coad	-0.5052380873781706	27	29
XPO7	ENSP00000252512	9.658454018518304e-10	coad	-0.24866404508049383	27	29
BIN3	ENSP00000276416	9.658454018518304e-10	coad	-0.6778484992032361	27	29
SORBS3	ENSP00000240123	2.3286666500116775e-09	coad	-0.5429505226140141	27	29
PPP2R2A	ENSP00000370113	3.995426174062546e-08	coad	-0.38725139478252846	27	29
PPP2CB	ENSP00000221138	1.2583148238366875e-07	coad	-0.7004679963082604	27	29
KIF13B	ENSP00000427900	1.3633234504336273e-07	coad	-0.3630085057462574	27	29
SCARA5	ENSP00000346990	1.3633234504336273e-07	coad	-1.1987194584380274	17	22
RBPMS	ENSP00000287771	2.2278007045332637e-07	coad	-0.7289874547729448	27	29
CHMP7	ENSP00000324491	2.2278007045332637e-07	coad	-0.3417298353545407	27	29
PCM1	ENSP00000327077	3.160262559866982e-07	coad	-0.30186120548675077	27	29
NEFL	ENSP00000482169	3.886263243826284e-07	coad	-1.0971166417113332	18	19
ADAMDEC1	ENSP00000256412	7.186566322372245e-07	coad	-0.8546888191332088	26	29
ASH2L	ENSP00000340896	1.0950193178983057e-06	coad	0.2914962391499353	27	29
MTMR9	ENSP00000221086	4.188551059800366e-06	coad	-0.5211784723616516	25	28
NAT1	ENSP00000307218	4.2271972573316046e-06	coad	-0.3809288868079574	27	29
MSRA	ENSP00000313921	5.063206359235122e-06	coad	-0.5700860574232549	27	29
CLU	ENSP00000315130	6.243924259932781e-06	coad	-0.6860538267299269	27	29
VPS37A	ENSP00000318629	7.975622194728674e-06	coad	-0.3735412437939025	27	29
CCDC25	ENSP00000348933	6.989157611121231e-05	coad	-0.3637197891344401	27	29
DOCK5	ENSP00000276440	7.103425627644475e-05	coad	-0.23175050255022492	27	29
PTK2B	ENSP00000332816	0.00021420609446815066	coad	-0.2707905493963023	27	29
PDLIM2	ENSP00000380867	0.0003380087539893583	coad	-0.3141154868197831	27	26
DEFA3	ENSP00000328359	0.0006088556156140814	coad	1.3111950133202828	27	29
ANGPT2	ENSP00000314897	0.0013735502924469773	coad	-2.5839779032532113	17	18
DEFA5	ENSP00000329890	0.001441433606780138	coad	-0.9918059129016512	27	29
ATP6V1B2	ENSP00000276390	0.0028541313974439933	coad	-0.1264198727825153	27	29
MAK16	ENSP00000353246	0.0028541313974439933	coad	0.2932258032048464	27	29
GTF2E2	ENSP00000348168	0.002970230558677878	coad	0.38501091483551947	24	25
NUDT18	ENSP00000480722	0.00569970188159622	coad	-0.6224020361388809	8	9
RAB11FIP1	ENSP00000331342	0.00569970188159622	coad	0.21392105056103816	27	29
ENTPD4	ENSP00000348536	0.00628689292965997	coad	-0.5263547274806355	21	23
PLPBP	ENSP00000333551	0.00682565780356964	coad	-0.17628607772735475	27	29
PSD3	ENSP00000324127	0.007774102654782413	coad	-0.5539250512866497	14	13
TTI2	ENSP00000353971	0.008847471932729079	coad	0.3620923563320254	17	17
MTUS1	ENSP00000262102	0.012675330626926622	coad	-0.4015328399229663	12	12
ARHGEF10	ENSP00000381571	0.012944812696315396	coad	-0.36332336894726674	17	19
ZNF703	ENSP00000332325	0.015560468819355886	coad	0.30953415989666516	24	22
ERLIN2	ENSP00000428112	0.02307495734368786	coad	-0.18744543407350608	27	29
R3HCC1	ENSP00000265806	0.02996490395115448	coad	-0.33201502888739287	19	19
WRN	ENSP00000298139	0.04364543062383173	coad	-0.26201378603294	8	6
KCTD9	ENSP00000221200	0.054274431863874206	coad	-0.46743199917449774	11	10
MSR1	ENSP00000262101	0.05624387820768956	coad	0.28602576385324135	27	29
INTS10	ENSP00000381064	0.06349215308108112	coad	-0.21468409311828487	26	26
REEP4	ENSP00000303482	0.06391001124444333	coad	0.15306333203445005	26	26
PINX1	ENSP00000318966	0.06391001124444333	coad	-0.29328538100681667	16	20
DEFA6	ENSP00000297436	0.06391001124444333	coad	-0.9247650351579901	27	29
ASAH1	ENSP00000262097	0.07648198645941144	coad	-0.15112186263324623	27	29
PRAG1	ENSP00000479068	0.14357676981896578	coad	0.2880958431478433	10	10
LOXL2	ENSP00000373783	0.15465193136536823	coad	0.21072504222082025	27	29
PPP3CC	ENSP00000240139	0.1583264248000399	coad	-0.4147422498834043	4	6
HMBOX1	ENSP00000287701	0.18187061177818942	coad	-0.7488425423343379	13	10
DEFA4	ENSP00000297435	0.2833769767949023	coad	0.22539280552093685	25	27
BRF2	ENSP00000220659	0.2867130745377749	coad	-0.4287601353835194	5	6
ERI1	ENSP00000250263	0.2992675996608532	coad	0.0899674409579191	23	22
INTS9	ENSP00000398208	0.362833185579672	coad	0.07914923401472637	24	27
SLC39A14	ENSP00000240095	0.362833185579672	coad	-0.079312746378362	27	29
