protein	Database_ID	adj_p	cancer_type	change	has_event_sample_size	not_has_event_sample_size
ZZEF1	ENSP00000371051	0.7860857748784502	coad	-0.061104702621066515	29	70
IFT74	ENSP00000369402	0.7860857748784502	coad	-0.2340355880842652	15	39
USF1	ENSP00000356998	0.7860857748784502	coad	-0.19963163041346754	26	60
IGF2BP1	ENSP00000290341	0.7860857748784502	coad	0.376732810943078	7	18
IGF2BP2	ENSP00000320204	0.7860857748784502	coad	0.07630480148553287	29	70
IGFBP4	ENSP00000269593	0.7860857748784502	coad	0.11795338837013358	29	70
IL18	ENSP00000280357	0.7860857748784502	coad	-0.16059098492803123	29	70
ILF2	ENSP00000355011	0.7860857748784502	coad	-0.07210532926072352	29	70
IMMT	ENSP00000396899	0.7860857748784502	coad	0.200871870203564	25	57
CAMSAP3	ENSP00000160298	0.7860857748784502	coad	-0.08237943338788944	29	70
CAMSAP2	ENSP00000236925	0.7860857748784502	coad	0.4888414317931193	6	21
INPP1	ENSP00000325423	0.7860857748784502	coad	0.05464879721870136	29	70
SPRYD7	ENSP00000354774	0.7860857748784502	coad	0.12361809494395379	29	70
INSL5	ENSP00000302724	0.7860857748784502	coad	0.996767673500714	9	18
INSR	ENSP00000303830	0.7860857748784502	coad	0.07853791488866943	29	70
SPRYD3	ENSP00000301463	0.7860857748784502	coad	-0.3024896504636312	11	30
IFITM3	ENSP00000382707	0.7860857748784502	coad	0.4306266975005939	7	17
IDH2	ENSP00000331897	0.7860857748784502	coad	0.11311580264334653	29	70
ICAM3	ENSP00000160262	0.7860857748784502	coad	-0.1156343606834168	29	70
SRSF1	ENSP00000258962	0.7860857748784502	coad	-0.22639570441169982	29	70
HPS6	ENSP00000299238	0.7860857748784502	coad	-0.10058621655364289	22	53
HSCB	ENSP00000216027	0.7860857748784502	coad	0.10846392961046833	26	66
CAST	ENSP00000343421	0.7860857748784502	coad	1.1250831071137133	27	66
HSD11B2	ENSP00000316786	0.7860857748784502	coad	-0.25364248776966464	29	70
HSD17B11	ENSP00000351035	0.7860857748784502	coad	-0.1713305157838131	29	70
HSD17B2	ENSP00000199936	0.7860857748784502	coad	-0.3047919792582223	29	70
CASP6	ENSP00000265164	0.7860857748784502	coad	-0.12799342334222003	29	70
CAMK2D	ENSP00000378032	0.7860857748784502	coad	0.3240296012711866	17	48
HSDL2	ENSP00000381785	0.7860857748784502	coad	-0.09782428600437026	29	70
CASP2	ENSP00000312664	0.7860857748784502	coad	-0.14094425497253166	28	66
HSPB1	ENSP00000248553	0.7860857748784502	coad	0.34193117798440265	29	70
HSPB7	ENSP00000310111	0.7860857748784502	coad	0.3976448728481415	29	70
HSPBAP1	ENSP00000302562	0.7860857748784502	coad	0.7226836625563751	5	18
CARS1	ENSP00000369897	0.7860857748784502	coad	0.07855480011725977	29	70
HSPG2	ENSP00000363827	0.7860857748784502	coad	0.22770612607728885	29	70
HUS1	ENSP00000258774	0.7860857748784502	coad	-0.10696354614875	17	57
HSPA1L	ENSP00000364805	0.7860857748784502	coad	0.441613207395693	12	42
SPR	ENSP00000234454	0.7860857748784502	coad	0.07761644420267018	29	70
SPPL2A	ENSP00000261854	0.7860857748784502	coad	-0.2291627401455914	26	57
IQGAP2	ENSP00000274364	0.7860857748784502	coad	-0.10019527014171858	29	70
JMJD6	ENSP00000380750	0.7860857748784502	coad	-0.18327641674705977	24	63
JPH1	ENSP00000344488	0.7860857748784502	coad	0.23439082252098525	11	33
SPARC	ENSP00000231061	0.7860857748784502	coad	0.1403538776615085	29	70
JPT2	ENSP00000248098	0.7860857748784502	coad	0.11304594874589306	29	70
SPAG1	ENSP00000251809	0.7860857748784502	coad	0.1315098416853753	29	70
SP140L	ENSP00000243810	0.7860857748784502	coad	-0.2511657675730474	9	33
KAT8	ENSP00000219797	0.7860857748784502	coad	-0.1561705939415026	25	62
CAB39	ENSP00000258418	0.7860857748784502	coad	0.09151429721448834	29	70
SOX9	ENSP00000245479	0.7860857748784502	coad	0.18489600125926564	27	63
C8orf33	ENSP00000330361	0.7860857748784502	coad	0.12201652745735139	23	59
KCNN4	ENSP00000496939	0.7860857748784502	coad	-0.14864208202291462	26	61
KCTD3	ENSP00000259154	0.7860857748784502	coad	0.8367820751327926	4	10
KDM3A	ENSP00000323659	0.7860857748784502	coad	0.47874767956678366	5	21
SOS1	ENSP00000378479	0.7860857748784502	coad	0.09552440533696724	27	66
KIAA1217	ENSP00000365637	0.7860857748784502	coad	0.06835927045930981	29	70
SORBS2	ENSP00000397482	0.7860857748784502	coad	0.29404638840577413	29	70
USP6NL	ENSP00000277575	0.7860857748784502	coad	0.16067466703437724	22	56
HPS3	ENSP00000296051	0.7860857748784502	coad	-0.09688789028152693	16	36
JCHAIN	ENSP00000254801	0.7860857748784502	coad	-0.257198193752695	29	70
JAK2	ENSP00000371067	0.7860857748784502	coad	0.7377063176254931	4	13
IREB2	ENSP00000258886	0.7860857748784502	coad	-0.11137469282664988	29	70
IRF3	ENSP00000310127	0.7860857748784502	coad	0.07120588083677612	29	70
SPON1	ENSP00000460236	0.7860857748784502	coad	0.22117026911268706	29	70
IRF5	ENSP00000249375	0.7860857748784502	coad	0.24858790569202868	10	28
SPNS1	ENSP00000306050	0.7860857748784502	coad	0.21424682589042915	8	28
IRGQ	ENSP00000387535	0.7860857748784502	coad	0.09917825991749785	29	70
ISG20	ENSP00000306565	0.7860857748784502	coad	-0.14506283339644024	29	70
CABIN1	ENSP00000263119	0.7860857748784502	coad	0.28242787902398253	12	35
ISLR	ENSP00000249842	0.7860857748784502	coad	0.13535123403984095	29	70
ITGA3	ENSP00000315190	0.7860857748784502	coad	0.0939764705304505	29	70
USP3	ENSP00000268049	0.7860857748784502	coad	0.1461896920170108	18	47
ITGA5	ENSP00000293379	0.7860857748784502	coad	0.4228803065717005	29	70
ITGA7	ENSP00000452120	0.7860857748784502	coad	0.2404549580492562	29	70
ITGB1	ENSP00000303351	0.7860857748784502	coad	0.26104104077158	29	70
IVNS1ABP	ENSP00000356468	0.7860857748784502	coad	-0.11788004644881184	26	61
CACNA2D1	ENSP00000348589	0.7860857748784502	coad	0.2296551329033082	29	70
USP28	ENSP00000003302	0.7860857748784502	coad	0.31006184800078074	9	23
UTP23	ENSP00000308332	0.7860857748784502	coad	0.1652186867366725	21	40
SSNA1	ENSP00000313752	0.7860857748784502	coad	0.12532951516270852	29	70
HPGD	ENSP00000296522	0.7860857748784502	coad	-0.1635485214452868	29	70
