protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
MATN2	ENSP00000429977	2.964281091736971e-45	coad	-1.4862261452096837	65	66
RRS1	ENSP00000322396	2.4201823198146987e-37	coad	0.7530684921698083	65	66
BOP1	ENSP00000455106	2.827024104556325e-37	coad	0.6203833041084602	65	66
PRKDC	ENSP00000313420	1.8797403031326666e-30	coad	0.4983621367906219	65	66
RPL7	ENSP00000339795	6.502839938787696e-30	coad	0.5275740719776718	65	66
EEF1D	ENSP00000431763	4.044860142840976e-27	coad	0.37310301261254886	65	66
GPT	ENSP00000378408	3.451955709687206e-25	coad	-1.2508478630259288	60	64
COL14A1	ENSP00000297848	1.2196971659283937e-24	coad	-1.4029188827881138	65	66
PABPC1	ENSP00000313007	1.0245423860199157e-22	coad	0.5678216450058793	65	66
MCM4	ENSP00000262105	1.2256337521105714e-22	coad	0.789263688139751	65	66
RPS20	ENSP00000009589	3.5799217868473956e-20	coad	0.3884401021907329	65	66
MATN2	ENSP00000254898	4.291182363868218e-19	coad	-0.8405761777220533	58	54
PUF60	ENSP00000322036	4.698534371105269e-19	coad	0.35483652185579484	65	66
CHRAC1	ENSP00000220913	1.0634265435764661e-18	coad	0.5127533727918663	64	57
UBR5	ENSP00000220959	1.5426572357036847e-18	coad	0.34776808838385087	65	66
NCALD	ENSP00000220931	2.170617849033794e-18	coad	-0.965631430225488	63	63
EEF1D	ENSP00000391944	7.55366570646837e-18	coad	0.3804930185658314	65	66
CTHRC1	ENSP00000330523	4.0101672529355174e-17	coad	1.3811261059234652	63	63
SBSPON	ENSP00000297354	1.602207414205242e-16	coad	-1.0688739217557959	65	66
NDUFB9	ENSP00000276689	3.8194610305208873e-16	coad	-0.4196139127156757	65	66
DCAF13	ENSP00000297579	9.737497577300888e-16	coad	0.41779870343011355	65	66
NUDCD1	ENSP00000239690	1.3024068071119378e-15	coad	0.37508623570175315	65	66
VIRMA	ENSP00000297591	1.9799518127997374e-15	coad	0.3434131525513511	65	66
ATP6V1C1	ENSP00000379203	5.2266308768081806e-15	coad	0.2327698593301588	65	66
ZC2HC1A	ENSP00000263849	2.045596406071204e-14	coad	-0.46896281082666313	65	66
CPQ	ENSP00000220763	8.52804653264414e-14	coad	-0.8659704318161658	56	62
UBE2V2	ENSP00000428209	1.3708034505809855e-13	coad	-0.429402639900085	65	66
EXOSC4	ENSP00000315476	2.15013830029756e-13	coad	0.30087643117226603	65	66
DSCC1	ENSP00000322180	2.15013830029756e-13	coad	0.6542892152332519	51	41
EIF3H	ENSP00000276682	2.737583166406426e-13	coad	0.20452518439558046	65	66
OXR1	ENSP00000311026	3.241931721895919e-13	coad	-0.26875993092525285	65	66
EIF3E	ENSP00000220849	3.2812352155007133e-13	coad	0.2228878937048186	65	66
FAM91A1	ENSP00000335082	4.765159560388676e-13	coad	0.33449627005650673	65	66
CPSF1	ENSP00000478145	4.765159560388676e-13	coad	0.23135888281557423	65	66
DEPTOR	ENSP00000286234	7.663055232130188e-13	coad	-0.4994624622214905	65	66
RBM12B	ENSP00000382239	1.3894550577726048e-12	coad	0.25587198837809594	65	66
GDAP1	ENSP00000220822	1.649141011196831e-12	coad	-0.4497692119130048	65	66
FABP4	ENSP00000256104	6.874857715654575e-12	coad	-1.5346519626486472	65	66
RPL30	ENSP00000287038	7.218113788825765e-12	coad	0.4476567316068568	65	66
SULF1	ENSP00000260128	1.016607116427294e-11	coad	0.7739242584911649	65	66
LYN	ENSP00000428924	1.992748965643734e-11	coad	0.3597614260503963	65	66
EFR3A	ENSP00000254624	2.587615669459377e-11	coad	-0.3480478087944766	65	66
FABP5	ENSP00000297258	5.463398589560591e-11	coad	-0.5211388852075117	65	66
MTDH	ENSP00000338235	6.930176806160397e-11	coad	0.24157156655340709	65	66
ENY2	ENSP00000429713	8.175778641709746e-11	coad	0.20551514185529757	65	66
ASPH	ENSP00000368767	9.447937587741236e-11	coad	0.2956213383996476	65	66
POP1	ENSP00000339529	1.6041062161369562e-10	coad	0.29075971442575327	65	66
SLC52A2	ENSP00000333638	3.990894089640223e-10	coad	0.507144778225699	65	66
YTHDF3	ENSP00000473496	7.995502693834008e-10	coad	0.19518647095959893	65	66
NRBP2	ENSP00000414055	1.4486815313240171e-09	coad	-0.655008745920276	32	48
IMPA1	ENSP00000408526	1.896027925644164e-09	coad	-0.5828567156346025	65	66
ANXA13	ENSP00000262219	2.52628314857744e-09	coad	-0.6112362498570677	65	66
PLEKHF2	ENSP00000322373	3.1121126415544305e-09	coad	-0.3312201300466377	62	62
CPA6	ENSP00000297770	3.1121126415544305e-09	coad	-0.9050880859497104	26	36
NDRG1	ENSP00000319977	6.4614845249568585e-09	coad	-0.32964609901751757	65	66
SDCBP	ENSP00000428184	1.1193134302828611e-08	coad	-0.4710576396842928	54	51
CYRIB	ENSP00000384880	1.3898427515203458e-08	coad	0.23348587122691533	65	66
NBN	ENSP00000265433	3.7325824015578176e-08	coad	0.23411108538090947	65	66
CYC1	ENSP00000317159	5.975883932905337e-08	coad	-0.1987209998440334	65	66
SNTB1	ENSP00000378965	1.1596082265564574e-07	coad	-0.30315662520863385	65	66
SQLE	ENSP00000265896	2.6887083735121185e-07	coad	0.5637941112497445	57	53
OPLAH	ENSP00000480476	2.900955909999819e-07	coad	-0.20329516815586485	65	66
TRAM1	ENSP00000262213	6.762185563578286e-07	coad	0.29682337473456233	65	66
RAD21	ENSP00000297338	7.237763647225029e-07	coad	0.12059994762765622	65	66
TSPYL5	ENSP00000322802	1.390658205608598e-06	coad	-0.8016156794476395	34	42
DGAT1	ENSP00000482264	1.4698680210173305e-06	coad	-0.29159394477961365	65	66
C8orf88	ENSP00000454561	1.8680688782010131e-06	coad	-1.158611494133574	13	20
RIPK2	ENSP00000220751	3.527244968420291e-06	coad	0.2993061479198104	44	48
AGO2	ENSP00000220592	3.7542176210394233e-06	coad	-0.18480188657136506	65	66
MAL2	ENSP00000479708	4.084516082344403e-06	coad	0.35548662429565314	58	60
RAB2A	ENSP00000262646	4.2028009874373884e-06	coad	0.17999614038443076	65	66
UQCRB	ENSP00000287022	4.415624540105412e-06	coad	-0.24672040339547807	65	66
