protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
CAB39L	ENSG00000102547	1.610790468113539e-14	hnscc	-6.312562181548544	40	14
NRG2	ENSG00000158458	1.610790468113539e-14	hnscc	-0.903645390177862	40	14
SCARA5	ENSG00000168079	3.832020253131996e-14	hnscc	-14.161563346287439	40	14
LGI1	ENSG00000108231	6.686905082419666e-14	hnscc	-0.35956329253902913	40	14
ABCA8	ENSG00000141338	6.686905082419666e-14	hnscc	-9.36195674735176	40	14
TMEM100	ENSG00000166292	8.469287100666486e-14	hnscc	-2.596774602154712	40	14
F10	ENSG00000126218	8.469287100666486e-14	hnscc	-2.580370632922002	40	14
NFIA	ENSG00000162599	9.221627442222845e-14	hnscc	-8.934184107887713	40	14
SH3BGRL2	ENSG00000198478	2.3261700452257825e-13	hnscc	-39.18464509414042	40	14
ALDH9A1	ENSG00000143149	2.5772073040849393e-13	hnscc	-32.37776608718072	40	14
MAMDC2	ENSG00000165072	3.1118365148592014e-13	hnscc	-14.941953544531131	40	14
NXPH3	ENSG00000182575	4.76694426462716e-13	hnscc	-0.5868378764411939	40	14
NTRK3	ENSG00000140538	4.76694426462716e-13	hnscc	-0.4771997251433069	40	14
FAM107A	ENSG00000168309	4.76694426462716e-13	hnscc	-3.2776959293020393	40	14
ASPA	ENSG00000108381	4.787230043839621e-13	hnscc	-1.487966271690674	40	14
ART4	ENSG00000111339	5.129296368839557e-13	hnscc	-0.40560572009431806	40	14
DLG2	ENSG00000150672	6.646826557270371e-13	hnscc	-0.7917654081339953	40	14
PLAC9	ENSG00000189129	6.646826557270371e-13	hnscc	-8.654324368530276	40	14
RSPO1	ENSG00000169218	1.2192603333730073e-12	hnscc	-1.667501437463565	40	14
TNXB	ENSG00000168477	1.818621450347827e-12	hnscc	-7.004365566913661	40	14
KRT13	ENSG00000171401	2.1901665396317977e-12	hnscc	-7112.623836092732	40	14
ZNF844	ENSG00000223547	2.1901665396317977e-12	hnscc	-3.512872749160325	40	14
LRRN4CL	ENSG00000177363	3.0833317853687083e-12	hnscc	-2.9596204709518896	40	14
RORC	ENSG00000143365	3.107289475581472e-12	hnscc	-3.7932008254549774	40	14
PEBP1	ENSG00000089220	5.3836252541537075e-12	hnscc	-57.35679096750221	40	14
KAT2B	ENSG00000114166	5.3836252541537075e-12	hnscc	-11.85862241374075	40	14
ETFDH	ENSG00000171503	5.501078639269468e-12	hnscc	-8.810114778870634	40	14
BARX2	ENSG00000043039	7.601699253806227e-12	hnscc	-13.839681185379026	40	14
EPB41L4A	ENSG00000129595	7.877169365042345e-12	hnscc	-3.635988645184549	40	14
TMPRSS11B	ENSG00000185873	8.744765273337744e-12	hnscc	-232.4694995172975	40	14
SASH1	ENSG00000111961	1.1945990915042104e-11	hnscc	-19.340749809273113	40	14
