protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
PRKDC	ENSP00000313420	7.819961162932918e-27	coad	0.7275809482179016	39	42
RRS1	ENSP00000322396	6.93248691745421e-26	coad	0.9365550705269388	39	42
MATN2	ENSP00000429977	1.2718419101391938e-24	coad	-1.3894923972255628	39	42
BOP1	ENSP00000455106	5.969411154396653e-22	coad	0.7672153091234692	39	42
NUDCD1	ENSP00000239690	1.1070034129988128e-18	coad	0.6657593191643192	39	42
SFRP1	ENSP00000220772	1.9793789109964385e-18	coad	-1.516931544863385	36	40
EEF1D	ENSP00000431763	8.37918571381091e-18	coad	0.4359114951242602	39	42
VIRMA	ENSP00000297591	8.37918571381091e-18	coad	0.43154332528087364	39	42
FAM91A1	ENSP00000335082	8.37918571381091e-18	coad	0.4640653025191206	39	42
UBR5	ENSP00000220959	1.4735191661587595e-17	coad	0.4393533782027629	39	42
PUF60	ENSP00000322036	1.491394209672408e-17	coad	0.45417879294083163	39	42
MTDH	ENSP00000338235	3.6724733690844217e-16	coad	0.4048923994499333	39	42
NBN	ENSP00000265433	4.751998889370874e-16	coad	0.4393880664070861	39	42
SLC52A2	ENSP00000333638	3.4716584986000436e-15	coad	1.0345888634068285	39	42
GPT	ENSP00000378408	1.2016725900798957e-14	coad	-1.1384142455265545	38	41
COL14A1	ENSP00000297848	1.2950382459057212e-14	coad	-1.3873299013971796	39	42
RPL7	ENSP00000339795	3.307656461324231e-14	coad	0.4387063830380211	39	42
GPAT4	ENSP00000380184	1.1448421450072704e-13	coad	0.5586470107650134	34	37
PABPC1	ENSP00000313007	1.1448421450072704e-13	coad	0.5517443794614392	39	42
ASH2L	ENSP00000340896	3.977146036053503e-13	coad	0.3453979343256463	39	42
RBM12B	ENSP00000382239	4.61345153279265e-13	coad	0.3532943507859453	39	42
MATN2	ENSP00000254898	6.318926026896689e-13	coad	-0.968945018725931	31	33
POLB	ENSP00000265421	1.2988288132199104e-12	coad	0.5027513643227692	39	42
ATP6V1C1	ENSP00000379203	1.410132457910761e-12	coad	0.2952819840159411	39	42
YTHDF3	ENSP00000473496	2.574688562856429e-12	coad	0.35937151083044044	39	42
EEF1D	ENSP00000391944	2.5950077558436528e-12	coad	0.45480111728308603	39	42
CPSF1	ENSP00000478145	7.933129319089458e-12	coad	0.3282790316585109	39	42
DCAF13	ENSP00000297579	1.0977183852107766e-11	coad	0.5200852682846593	39	42
THEM6	ENSP00000338607	1.4007247438440296e-11	coad	0.4384787452345297	39	42
ENY2	ENSP00000429713	1.945296500754379e-11	coad	0.289862137004371	39	42
DSCC1	ENSP00000322180	2.0138866157284903e-11	coad	0.6608159826432805	32	31
ANK1	ENSP00000339620	2.20253693840981e-11	coad	-0.9339295438496256	39	42
POP1	ENSP00000339529	2.5030146486340405e-11	coad	0.4794396370524063	39	42
MCM4	ENSP00000262105	2.8326195722954115e-11	coad	0.6264595344165933	39	42
RPS20	ENSP00000009589	2.8326195722954115e-11	coad	0.36905737800054694	39	42
SBSPON	ENSP00000297354	3.0411234205758246e-11	coad	-1.3571306004918562	39	42
CTHRC1	ENSP00000330523	3.0513626462335885e-11	coad	1.3091777235671087	36	41
NCALD	ENSP00000220931	7.49134696612266e-11	coad	-0.9326535641946332	36	41
CHRAC1	ENSP00000220913	7.49134696612266e-11	coad	0.5549958462698494	37	37
TCEA1	ENSP00000428426	1.1137423053895916e-10	coad	0.3790428935295064	39	42
FABP4	ENSP00000256104	1.2360582948150025e-10	coad	-1.7489157125579673	39	42
CYRIB	ENSP00000384880	1.3278130953419477e-10	coad	0.31453623583460927	39	42
CPQ	ENSP00000220763	2.8844025208981693e-10	coad	-1.0222945594388366	35	40
ASPH	ENSP00000368767	3.6876162964791507e-10	coad	0.446879299943361	39	42
NDUFB9	ENSP00000276689	5.431774674496115e-10	coad	-0.4275736843006178	39	42
PYCR3	ENSP00000220966	1.1149324457399559e-09	coad	0.38112342616093803	39	42
TRAM1	ENSP00000262213	1.1243887197590935e-09	coad	0.4652463109671193	39	42
RAB2A	ENSP00000262646	1.1957628876742033e-09	coad	0.3860657128695632	39	42
RAD21	ENSP00000297338	1.2530749797198198e-09	coad	0.22571762275453827	39	42
GGH	ENSP00000260118	2.1103933876988015e-09	coad	1.0380548666721956	39	42
PLAT	ENSP00000220809	3.8682755919653735e-09	coad	-0.738243712049409	30	38
MRPL15	ENSP00000260102	8.151029442571104e-09	coad	0.4976723276187113	39	42
PUF60	ENSP00000434359	3.2132877371940834e-08	coad	0.39641790735618754	39	42
EIF3E	ENSP00000220849	3.2132877371940834e-08	coad	0.21579621847861682	39	42
DERL1	ENSP00000259512	3.3489921810640794e-08	coad	0.3061261528933181	39	42
