protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
MATN2	ENSP00000429977	9.454388709372148e-38	coad	-1.4851348147507903	57	57
BOP1	ENSP00000455106	3.1839308398964905e-31	coad	0.6022743328085602	57	57
RRS1	ENSP00000322396	1.4098510084942768e-30	coad	0.7296642576119401	57	57
RPL7	ENSP00000339795	2.853332780432146e-27	coad	0.5471685089856351	57	57
PRKDC	ENSP00000313420	5.88691978918045e-26	coad	0.46486208349202246	57	57
SFRP1	ENSP00000220772	1.6744643683284788e-24	coad	-1.377977710329628	56	54
GPT	ENSP00000378408	1.5329069307943432e-23	coad	-1.2925047837855954	52	55
EEF1D	ENSP00000431763	1.5715409509626158e-23	coad	0.3738620001644821	57	57
COL14A1	ENSP00000297848	4.0039176779149837e-22	coad	-1.4132770304153182	57	57
PABPC1	ENSP00000313007	1.0157696396683739e-20	coad	0.575697555263835	57	57
MCM4	ENSP00000262105	5.368892461480924e-19	coad	0.78540853737242	57	57
RPS20	ENSP00000009589	1.840789719128083e-18	coad	0.4053329303122028	57	57
PUF60	ENSP00000322036	8.023545469816692e-17	coad	0.36310996269137896	57	57
MATN2	ENSP00000254898	2.9225435780662966e-16	coad	-0.8324773458778523	51	46
CHRAC1	ENSP00000220913	5.512095532016623e-16	coad	0.49990246218976797	56	48
PLAT	ENSP00000220809	8.627173814566835e-16	coad	-0.8506279705293531	42	49
NCALD	ENSP00000220931	1.737554616744735e-15	coad	-0.9653169157789359	56	53
CTHRC1	ENSP00000330523	2.3620473083296e-15	coad	1.408724141922918	56	53
UBR5	ENSP00000220959	9.621432224595959e-15	coad	0.32419740822348	57	57
EEF1D	ENSP00000391944	9.621432224595959e-15	coad	0.3777898260003545	57	57
SBSPON	ENSP00000297354	5.752309658629508e-14	coad	-1.0132399419544036	57	57
DDHD2	ENSP00000380352	1.0604477095825399e-13	coad	-0.5606795801951435	49	49
NDUFB9	ENSP00000276689	1.5607897542367373e-13	coad	-0.4197177598241787	57	57
ANK1	ENSP00000339620	1.5607897542367373e-13	coad	-1.0687441295300677	57	57
EIF3E	ENSP00000220849	2.5705721427722675e-13	coad	0.23545963820259302	57	57
UBE2V2	ENSP00000428209	3.267406782568439e-13	coad	-0.43570950605132286	57	57
TACC1	ENSP00000321703	3.7027690980920297e-13	coad	-0.3933186906786341	57	57
DCAF13	ENSP00000297579	3.9639373419697217e-13	coad	0.4156525399497619	57	57
NUDCD1	ENSP00000239690	7.120952615308919e-13	coad	0.3695660877924971	57	57
ZC2HC1A	ENSP00000263849	7.120952615308919e-13	coad	-0.46049771746737445	57	57
ATP6V1C1	ENSP00000379203	9.714556877476414e-13	coad	0.22940185779046507	57	57
EXOSC4	ENSP00000315476	1.2145612413187313e-12	coad	0.3173153965431227	57	57
CPSF1	ENSP00000478145	1.2437159480057713e-12	coad	0.2413025216406146	57	57
VIRMA	ENSP00000297591	3.785216110277934e-12	coad	0.32720553688830245	57	57
RPL30	ENSP00000287038	5.924116915409738e-12	coad	0.4796472019894166	57	57
EIF3H	ENSP00000276682	8.967158117259468e-12	coad	0.20847149450743008	57	57
ASH2L	ENSP00000340896	1.1806569480866024e-11	coad	0.2469517796000678	57	57
DEPTOR	ENSP00000286234	1.4235517323505127e-11	coad	-0.5047223141661346	57	57
DSCC1	ENSP00000322180	2.2296170109250964e-11	coad	0.6619284659633775	44	35
SULF1	ENSP00000260128	2.644430426450894e-11	coad	0.812672465883058	57	57
CPQ	ENSP00000220763	2.834072527800449e-11	coad	-0.8498259406787021	50	53
OXR1	ENSP00000311026	3.873357981315778e-11	coad	-0.2675916715931896	57	57
FAM91A1	ENSP00000335082	7.148053920078858e-11	coad	0.33426133664303437	57	57
LYN	ENSP00000428924	1.9693759597719008e-10	coad	0.3572523771537368	57	57
EFR3A	ENSP00000254624	2.6810889547477133e-10	coad	-0.3665089095536293	57	57
GDAP1	ENSP00000220822	5.800071437324989e-10	coad	-0.43060945732198297	57	57
FABP4	ENSP00000256104	8.629414366683797e-10	coad	-1.5061587693837766	57	57
NRBP2	ENSP00000414055	3.7642470592085865e-09	coad	-0.6701803214947923	28	40
RBM12B	ENSP00000382239	4.573821485115207e-09	coad	0.22816260655550757	57	57
ASPH	ENSP00000368767	8.155835609345132e-09	coad	0.2892872705213827	57	57
FABP5	ENSP00000297258	1.3518391385003202e-08	coad	-0.4948688764336293	57	57
POP1	ENSP00000339529	1.3518391385003202e-08	coad	0.2886713078255114	57	57
SLC52A2	ENSP00000333638	1.6365216025949037e-08	coad	0.49556856464373694	57	57
IMPA1	ENSP00000408526	1.9196738047400935e-08	coad	-0.5776459260470517	57	57
MTDH	ENSP00000338235	1.995408279789068e-08	coad	0.23113424953949968	57	57
PLEKHF2	ENSP00000322373	1.995408279789068e-08	coad	-0.3372982628451876	54	54
ENY2	ENSP00000429713	5.2487491509613296e-08	coad	0.1901558290263703	57	57
CPA6	ENSP00000297770	7.680946127068918e-08	coad	-0.8917778506678223	24	30
CYC1	ENSP00000317159	7.6878719809506e-08	coad	-0.20319887294744543	57	57
ANXA13	ENSP00000262219	8.544510780900385e-08	coad	-0.5925002603172196	57	57
NDRG1	ENSP00000319977	9.752944906010968e-08	coad	-0.3247594550836802	57	57
YTHDF3	ENSP00000473496	1.0482751147893473e-07	coad	0.17931115645166773	57	57
GPAT4	ENSP00000380184	1.5295703222055583e-07	coad	0.3319960295868353	50	47
SDCBP	ENSP00000428184	1.7717508951900798e-07	coad	-0.4465325265084259	47	44
CYRIB	ENSP00000384880	2.846822237338908e-07	coad	0.22575444657153634	57	57
SQLE	ENSP00000265896	3.7452999541264866e-07	coad	0.6130153981083132	50	47
OPLAH	ENSP00000480476	5.953818524688814e-07	coad	-0.21304355745196746	57	57
DGAT1	ENSP00000482264	6.181277101051699e-07	coad	-0.3340776976077366	57	57
UQCRB	ENSP00000287022	2.0455116598597806e-06	coad	-0.258649509576891	57	57
SNTB1	ENSP00000378965	2.310452729631721e-06	coad	-0.29075012111494747	57	57
COX6C	ENSP00000297564	2.5557223656718785e-06	coad	-0.3357922097214213	57	57
C8orf88	ENSP00000454561	2.713213653393659e-06	coad	-1.1726512526913984	12	14
CDH17	ENSP00000027335	4.034355193453091e-06	coad	-0.48326509353717095	57	57
LACTB2	ENSP00000276590	5.784720549208826e-06	coad	0.3170116537042357	57	57
NBN	ENSP00000265433	1.4045535436811337e-05	coad	0.20503446893373334	57	57
RIPK2	ENSP00000220751	1.7355412830422292e-05	coad	0.2980781184437695	39	39
RAB2A	ENSP00000262646	1.7355412830422292e-05	coad	0.1857978866261503	57	57
TSPYL5	ENSP00000322802	1.7559990842549582e-05	coad	-0.7650799789178188	31	38
TRAM1	ENSP00000262213	2.0000448386858088e-05	coad	0.27780711023801863	57	57
IKBKB	ENSP00000430684	2.1339307061286747e-05	coad	-0.21086672132793388	57	57
RAD21	ENSP00000297338	2.2347777053369178e-05	coad	0.10794461207172606	57	57
POLB	ENSP00000265421	2.4532465257877656e-05	coad	0.2189075201134813	57	57
