protein	Database_ID	adj_p	cancer_type	change	tumor_sample_size	not_tumor_sample_size
GPT	ENSG00000167701	9.738016629390141e-17	hnscc	-2.903272369151116	63	38
STK3	ENSG00000104375	2.366632824485627e-16	hnscc	2.6199475870178515	63	38
ATP6V1C1	ENSG00000155097	8.189247264643249e-16	hnscc	7.101777289535365	63	38
PRKDC	ENSG00000253729	8.189247264643249e-16	hnscc	28.36308618108785	63	38
ARMC1	ENSG00000104442	4.156129992831583e-15	hnscc	5.774722150545518	63	38
FAM91A1	ENSG00000176853	4.156129992831583e-15	hnscc	8.72094464835933	63	38
TGS1	ENSG00000137574	1.2684935931197962e-14	hnscc	6.416371121574553	63	38
MTBP	ENSG00000172167	1.2684935931197962e-14	hnscc	1.8580286619559832	63	38
MCM4	ENSG00000104738	1.480283399489226e-14	hnscc	16.474661105656182	63	38
CA13	ENSG00000185015	3.3664170858927227e-14	hnscc	-2.5943597871933464	63	38
DERL1	ENSG00000136986	3.608608731075461e-14	hnscc	5.4502974155338055	63	38
SLC25A32	ENSG00000164933	3.610686728463916e-14	hnscc	4.741400756082789	63	38
DEPTOR	ENSG00000155792	4.7980272750894004e-14	hnscc	-15.993106108399049	63	38
EFR3A	ENSG00000132294	4.7980272750894004e-14	hnscc	9.633445075930013	63	38
ATAD2	ENSG00000156802	8.446492193121434e-14	hnscc	11.739057038043047	63	38
TBC1D31	ENSG00000156787	1.3931182052487577e-13	hnscc	1.509032501741544	63	38
TAF2	ENSG00000064313	1.4228626468191692e-13	hnscc	5.8339563478712115	63	38
SNAI2	ENSG00000019549	1.9191814527427359e-13	hnscc	21.486212835873495	63	38
NUDCD1	ENSG00000120526	2.0026112974433476e-13	hnscc	5.175715090094116	63	38
MTERF3	ENSG00000156469	7.519570569890623e-13	hnscc	5.034846142691956	63	38
MTDH	ENSG00000147649	8.644753171021414e-13	hnscc	11.731579574651015	63	38
RIPK2	ENSG00000104312	1.0066764477566226e-12	hnscc	4.008949524997842	63	38
RAD21	ENSG00000164754	1.7466340835010488e-12	hnscc	20.333487588756075	63	38
VCPIP1	ENSG00000175073	2.3749876544761094e-12	hnscc	3.3014058050203197	63	38
SLC52A2	ENSG00000185803	2.4927867222117164e-12	hnscc	5.416311924931736	63	38
INTS8	ENSG00000164941	5.143078069496115e-12	hnscc	3.102402068065759	63	38
SLURP1	ENSG00000126233	6.190361583368462e-12	hnscc	-218.58535393668697	63	38
UBE2V2	ENSG00000169139	1.1073081393352147e-11	hnscc	3.022421085693244	63	38
DCAF13	ENSG00000164934	1.607084188205603e-11	hnscc	3.206960480302259	63	38
OXR1	ENSG00000164830	2.6133900623010104e-11	hnscc	-7.563160101907211	63	38
POLR2K	ENSG00000147669	4.583240520230326e-11	hnscc	6.452938359989604	63	38
CCNE2	ENSG00000175305	5.343085205843111e-11	hnscc	1.90911340272638	63	38
THAP1	ENSG00000131931	5.343085205843111e-11	hnscc	1.20106973301379	63	38
LAPTM4B	ENSG00000104341	5.90416367407081e-11	hnscc	22.884488294428685	63	38
LYN	ENSG00000254087	6.32212052565608e-11	hnscc	5.68021204992789	63	38
ASAP1	ENSG00000153317	8.443340046474651e-11	hnscc	5.575334925068358	63	38
COL14A1	ENSG00000187955	9.948760646896345e-11	hnscc	-21.01819394566067	63	38
CTHRC1	ENSG00000164932	1.022596831320121e-10	hnscc	34.78767861727843	63	38
SULF1	ENSG00000137573	1.3169274142984938e-10	hnscc	34.09942083682174	63	38
BOP1	ENSG00000261236	1.3801977342728774e-10	hnscc	5.683075411936964	63	38
TCEA1	ENSG00000187735	1.615029920778043e-10	hnscc	6.403177877018342	63	38
OTUD6B	ENSG00000155100	2.0412391923785825e-10	hnscc	2.1388686033331785	63	38
UBR5	ENSG00000104517	2.439718318515789e-10	hnscc	10.053001474454849	63	38
MTFR1	ENSG00000066855	2.439718318515789e-10	hnscc	2.3128780469145935	63	38
DSCC1	ENSG00000136982	2.439718318515789e-10	hnscc	2.4907019690559498	63	38
MRPL13	ENSG00000172172	4.0559054509520527e-10	hnscc	3.2200424503944323	63	38
ADHFE1	ENSG00000147576	4.74892127240202e-10	hnscc	-2.1343947613006984	63	38
RAD54B	ENSG00000197275	4.945334089976658e-10	hnscc	0.6425788670406588	63	38
EXT1	ENSG00000182197	5.716135243599898e-10	hnscc	9.02816313706749	63	38
UBE2W	ENSG00000104343	6.017201329189177e-10	hnscc	1.6599226587969524	63	38
MED30	ENSG00000164758	6.09445335446684e-10	hnscc	3.0617156439182196	63	38
RBM12B	ENSG00000183808	6.379647340799328e-10	hnscc	3.7251161062501454	63	38
PTDSS1	ENSG00000156471	9.130410570767207e-10	hnscc	7.162101102745229	63	38
PUF60	ENSG00000179950	1.0566430603261684e-09	hnscc	7.069235652567414	63	38
YTHDF3	ENSG00000185728	1.4702796458901892e-09	hnscc	4.540183514464218	63	38
FBXL6	ENSG00000182325	2.0150238413858713e-09	hnscc	1.5552222009127505	63	38
NKAIN3	ENSG00000185942	3.4254659090759064e-09	hnscc	-0.1695256963255079	63	38
NSMCE2	ENSG00000156831	3.4611263754900277e-09	hnscc	2.623444598643707	63	38
DPY19L4	ENSG00000156162	3.7572208488463554e-09	hnscc	2.2468208276408097	63	38
PAG1	ENSG00000076641	3.981170335696213e-09	hnscc	3.9348269244746303	63	38
PREX2	ENSG00000046889	4.692634232649495e-09	hnscc	-2.3390201096928935	63	38
GSDMD	ENSG00000104518	4.7230959701977756e-09	hnscc	5.090462728234118	63	38
TONSL	ENSG00000160949	6.29735342592309e-09	hnscc	2.100513672515355	63	38
RRS1	ENSG00000179041	6.692286247407524e-09	hnscc	3.056619360299652	63	38
POP1	ENSG00000104356	9.857645886249189e-09	hnscc	1.902105747759427	63	38
ZNF707	ENSG00000181135	1.2933048139908183e-08	hnscc	0.7728528512746008	63	38
CLVS1	ENSG00000177182	2.1364059360998812e-08	hnscc	-0.2551220283926431	63	38
NDUFAF6	ENSG00000156170	2.207951065686464e-08	hnscc	0.797453424380133	63	38
EPPK1	ENSG00000261150	2.3403145972012613e-08	hnscc	6.4964049609754575	63	38
VPS13B	ENSG00000132549	2.3620397691334534e-08	hnscc	3.9386346454024324	63	38
SNX31	ENSG00000174226	2.8525348428796292e-08	hnscc	-6.300376573688995	63	38
SQLE	ENSG00000104549	2.8525348428796292e-08	hnscc	16.174688438633154	63	38
LYPD2	ENSG00000197353	2.8525348428796292e-08	hnscc	-64.6979326722485	63	38
CHRAC1	ENSG00000104472	3.1713085462802105e-08	hnscc	2.2790360318334706	63	38
ZNF7	ENSG00000147789	3.5133450926469536e-08	hnscc	1.107510108886804	63	38
PMP2	ENSG00000147588	3.731901148571154e-08	hnscc	-0.7680890970838801	63	38
RGS20	ENSG00000147509	4.225123800708098e-08	hnscc	1.6301752452442515	63	38
FZD6	ENSG00000164930	5.494277407770797e-08	hnscc	20.727374210719645	63	38
SYBU	ENSG00000147642	6.668180376950697e-08	hnscc	-1.914436708934784	63	38
LACTB2	ENSG00000147592	6.987270662995602e-08	hnscc	1.8471645239071197	63	38
SHARPIN	ENSG00000179526	7.533280552272624e-08	hnscc	2.7998673832798753	63	38
COPS5	ENSG00000121022	8.051125781264528e-08	hnscc	1.526526709758226	63	38
OSGIN2	ENSG00000164823	1.1163770916353066e-07	hnscc	1.8154730549533404	63	38
GPIHBP1	ENSG00000277494	1.298522263588688e-07	hnscc	-1.2531509819417248	63	38
ZNF623	ENSG00000183309	1.3111613566453817e-07	hnscc	2.4550355782027946	63	38
LRP12	ENSG00000147650	1.4096060559727886e-07	hnscc	2.760657038801491	63	38
TATDN1	ENSG00000147687	1.5704576472131458e-07	hnscc	1.6075604750616779	63	38
PSCA	ENSG00000167653	1.7960698132527213e-07	hnscc	-34.58244638536603	63	38
TOP1MT	ENSG00000184428	1.8237076866193845e-07	hnscc	2.0061567829188984	63	38
NIPAL2	ENSG00000104361	2.3669173668113192e-07	hnscc	-7.155601302897946	63	38
AZIN1	ENSG00000155096	2.4497721784470475e-07	hnscc	7.931800135837673	63	38
ENY2	ENSG00000120533	2.7315319104518197e-07	hnscc	1.5835033915232986	63	38
EXOSC4	ENSG00000178896	2.7729289569317294e-07	hnscc	4.12591415880204	63	38
UQCRB	ENSG00000156467	2.979844412680906e-07	hnscc	-3.2462367835034236	63	38
RGS22	ENSG00000132554	4.0755929586824457e-07	hnscc	-0.5014126974830089	63	38
ADCK5	ENSG00000173137	4.334414023815141e-07	hnscc	1.260417283437124	63	38
PDE7A	ENSG00000205268	5.382181266653666e-07	hnscc	5.4603864542495595	63	38
GRINA	ENSG00000178719	5.382327287754542e-07	hnscc	9.998495247402388	63	38
HGH1	ENSG00000235173	5.819340773973147e-07	hnscc	1.7173724093495588	63	38
LRRC69	ENSG00000214954	6.633947268038363e-07	hnscc	0.552131793717143	63	38
PI15	ENSG00000137558	7.756834222153783e-07	hnscc	2.2104817296182704	63	38
PDP1	ENSG00000164951	7.988384873550212e-07	hnscc	7.7592483374961905	63	38
CSPP1	ENSG00000104218	8.658427390416663e-07	hnscc	1.4368627801566438	63	38
AGO2	ENSG00000123908	9.777619607359112e-07	hnscc	4.302135977017476	63	38
GINS4	ENSG00000147536	9.839085799380112e-07	hnscc	2.4692393338080008	63	38
MSC	ENSG00000178860	1.5376771980265204e-06	hnscc	3.7382986107174183	63	38
ZNF706	ENSG00000120963	1.602001232797995e-06	hnscc	2.1680249103756335	63	38
COMMD5	ENSG00000170619	1.609074440596261e-06	hnscc	1.4003937174772512	63	38
PHF20L1	ENSG00000129292	2.0262998335663687e-06	hnscc	1.5332980402220384	63	38
ZC3H3	ENSG00000014164	2.231151341719098e-06	hnscc	1.7836396899018485	63	38
LY6K	ENSG00000160886	2.2574839706638808e-06	hnscc	3.484846078691353	63	38
LYNX1	ENSG00000180155	2.546662339686086e-06	hnscc	-8.7863075148635	63	38
MRPL15	ENSG00000137547	2.7115284782023667e-06	hnscc	7.754169799984933	63	38
HSF1	ENSG00000185122	2.954236385669488e-06	hnscc	3.026871339827209	63	38
RIMS2	ENSG00000176406	3.1093706050023033e-06	hnscc	1.2551514631746998	63	38
FBXO43	ENSG00000156509	3.7731297701311433e-06	hnscc	0.26979150621165787	63	38
PLEC	ENSG00000178209	3.882498555051889e-06	hnscc	15.870235503207432	63	38
CNGB3	ENSG00000170289	3.9490492670269576e-06	hnscc	0.10208864946462427	63	38
CPNE3	ENSG00000085719	4.061589964668061e-06	hnscc	-9.13352389569588	63	38
C8orf34	ENSG00000165084	4.253449287796053e-06	hnscc	-0.11163952372279114	63	38
ANXA13	ENSG00000104537	4.589911136454483e-06	hnscc	0.08020844010977243	63	38
POMK	ENSG00000185900	4.99238834035017e-06	hnscc	9.986024481552112	63	38
PTK2	ENSG00000169398	5.410148382271543e-06	hnscc	4.81475349106659	63	38
AP3M2	ENSG00000070718	5.706952770942137e-06	hnscc	3.2077133281330084	63	38
PLEKHF2	ENSG00000175895	5.776257065140998e-06	hnscc	4.751946599683212	63	38
RECQL4	ENSG00000160957	6.1860512938698946e-06	hnscc	2.305593438261538	63	38
LRRC14	ENSG00000160959	6.480936616842662e-06	hnscc	1.2034105376447073	63	38
TCF24	ENSG00000261787	7.767482911079831e-06	hnscc	0.14882050794460397	63	38
LY6E	ENSG00000160932	7.910301739347176e-06	hnscc	43.47212942086882	63	38
TMEM68	ENSG00000167904	9.759401342981272e-06	hnscc	0.6129649572086862	63	38
NBN	ENSG00000104320	1.3596614313648668e-05	hnscc	4.278810701381291	63	38
PARP10	ENSG00000178685	1.4443657203709361e-05	hnscc	3.6993639605593494	63	38
C8orf44	ENSG00000213865	1.6073042850608458e-05	hnscc	0.9206649382479779	63	38
LY96	ENSG00000154589	1.6815582555053934e-05	hnscc	4.73818640922653	63	38
KLF10	ENSG00000155090	1.7249595089783105e-05	hnscc	9.217715561073135	63	38
MTSS1	ENSG00000170873	1.754606341123212e-05	hnscc	6.966882435804818	63	38
