Name	brca_Database_ID	lscc_Database_ID	luad_Database_ID	ovarian_Database_ID	gbm_pvalue	brca_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	gbm_diff	brca_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
ABCC4		NP_005836.2|NP_001288758.1|NP_001098985.1|NP_001288759.1	NP_005836.2|NP_001288758.1|NP_001098985.1	NP_005836				0.43797658246820226	0.9078071778801948	0.8220544942954711						
ABHD13			NP_116248.2						0.15187412140026346							
AKAP11	NP_057332.1	NP_057332.1	NP_057332.1		0.9531633610035193	3.372455022556683e-05	0.649324854968548	0.01292916386985069	0.002237697486656536		0.004109855689569838	-0.7058547222222222	-0.04895066000916515	-0.41898874024526195	-0.45978614864864875	
ALG11	NP_001004127.2	NP_001004127.2	NP_001004127.2	NP_001004127	0.006498496497905525	0.06782500527329655	0.028312931850700163	0.014296416062046758	4.0466162342788845e-05	0.024375825564204555	-0.22236394061877707	-0.6132676388888889	-0.20984180818197018	-0.48599576365663333	-0.7829974474474476	-0.239724669339174
ALG5	NP_037470.1|NP_001135836.1	NP_037470.1|NP_001135836.1	NP_037470.1|NP_001135836.1	NP_037470	0.033929331065280864	0.0015703580417693972	0.0033278295076583806	0.005347001362423529	1.1608956983545966e-07	0.0033767432741239585	-0.1858285765019526	-1.0099845833333334	-0.3438517551414151	-0.9435696767001116	-1.4287119744744747	-0.3347372711020026
ALOX5AP		NP_001191335.1|NP_001620.2	NP_001191335.1|NP_001620.2	NP_001191335				0.01488964541877116	0.6570561653367772	0.6982157839480941						
ANKRD10			NP_060134.2|NP_001273650.1						0.4685115094763641							
ARGLU1	NP_060481.3	NP_060481.3	NP_060481.3	NP_060481	0.8398890391059359	0.4451916533897452	0.7839253052536205	0.5793617149378366	0.16973476844589966	0.6107286266815779	0.031125450885654535	-0.2573859722222222	0.03315652174767081	-0.10105696767001121	-0.2634924924924927	0.056534562524405516
ARHGEF7	NP_001307781.1|NP_001307782.1|NP_663788.1|NP_001106983.1|NP_001106984.1|NP_001307783.1	NP_001307781.1|NP_001307782.1|NP_001340975.1|NP_663788.1|NP_001106983.1|NP_001106984.1|NP_001340976.1|NP_001340990.1	NP_001307781.1|NP_001307782.1|NP_001340975.1|NP_001106983.1|NP_663788.1|NP_001106984.1|NP_001340976.1|NP_001340984.1|NP_001307783.1|NP_001340990.1	NP_001307780	0.011426912809805494	0.000554588930121068	0.07302183819849507	0.009398471688190803	0.07968758498852638	0.2004972731172484	-0.22441645749226116	-0.43946166666666664	-0.11620636778554072	-0.3528981047937569	-0.2229596846846847	-0.09745970954505632
ATP11A		NP_115565.3|NP_056020.2	NP_115565.3|NP_056020.2	NP_056020				0.2683973349240521	0.8607067106590742	0.09148993833896159						
