Name,amplifications,neutral,deletions,average
A1BG,5.0,85.0,19.0,-0.046737614678899086
A1CF,1.0,93.0,15.0,-0.0587954128440367
A2M,3.0,85.0,21.0,-0.040402752293577975
A2ML1,4.0,83.0,22.0,-0.04157155963302751
A3GALT2,1.0,100.0,8.0,0.00524770642201835
A4GALT,2.0,79.0,28.0,-0.09592293577981649
A4GNT,4.0,93.0,12.0,0.013682568807339437
AAAS,3.0,98.0,8.0,-0.01138165137614679
AACS,3.0,96.0,10.0,-0.022471559633027532
AADAC,7.0,91.0,11.0,0.024013761467889902
AADACL2,7.0,91.0,11.0,0.024013761467889902
AADACL3,3.0,93.0,13.0,-0.017212844036697247
AADACL4,3.0,93.0,13.0,-0.017212844036697247
AADAT,0.0,95.0,14.0,-0.05266055045871556
AAED1,0.0,85.0,24.0,-0.11107431192660548
AAGAB,2.0,78.0,29.0,-0.1050422018348624
AAK1,4.0,104.0,1.0,0.026303669724770638
AAMDC,8.0,97.0,4.0,0.06015963302752291
AAMP,1.0,103.0,5.0,-0.010905504587155964
AANAT,8.0,96.0,5.0,0.08391376146788994
AAR2,7.0,98.0,4.0,0.0696724770642202
AARD,25.0,81.0,3.0,0.18107798165137617
AARS,6.0,90.0,13.0,0.015955045871559635
AARS2,5.0,100.0,4.0,0.06022568807339448
AARSD1,2.0,104.0,3.0,0.08197614678899084
AASDH,5.0,96.0,8.0,-0.0023633027522935754
AASDHPPT,3.0,98.0,8.0,0.007929357798165141
AASS,7.0,97.0,5.0,0.055479816513761465
AATF,3.0,101.0,5.0,0.058587155963302745
AATK,13.0,91.0,5.0,0.09626238532110092
AATK-AS1,13.0,91.0,5.0,0.09626238532110092
ABAT,10.0,96.0,3.0,0.08401559633027525
ABC13-47488600E17.1,2.0,80.0,27.0,-0.09070825688073395
ABC7-42404400C24.1,2.0,97.0,10.0,-0.04238256880733945
ABCA1,0.0,85.0,24.0,-0.10551284403669725
ABCA10,9.0,97.0,3.0,0.10054587155963303
ABCA12,1.0,103.0,5.0,-0.01165596330275229
ABCA13,25.0,82.0,2.0,0.18091467889908253
ABCA2,0.0,88.0,21.0,-0.08863302752293578
ABCA3,10.0,96.0,3.0,0.08062752293577985
ABCA4,2.0,86.0,21.0,-0.0665220183486238
ABCA5,10.0,96.0,3.0,0.1038651376146789
ABCA6,9.0,97.0,3.0,0.10054587155963303
ABCA7,0.0,84.0,25.0,-0.09412935779816517
ABCA8,9.0,97.0,3.0,0.10054587155963303
ABCA9,9.0,97.0,3.0,0.10054587155963303
ABCB1,8.0,99.0,2.0,0.07707064220183484
ABCB10,27.0,80.0,2.0,0.17134770642201833
ABCB11,3.0,102.0,4.0,0.016962385321100927
ABCB4,8.0,99.0,2.0,0.07707064220183484
ABCB5,28.0,79.0,2.0,0.20156972477064217
ABCB6,1.0,103.0,5.0,-0.01223577981651376
ABCB7,8.0,92.0,9.0,0.054069724770642216
ABCB8,6.0,101.0,2.0,0.07671743119266056
ABCB9,3.0,97.0,9.0,-0.013183486238532117
ABCC1,10.0,94.0,5.0,0.08541559633027523
ABCC10,5.0,99.0,5.0,0.05881651376146789
ABCC11,5.0,96.0,8.0,0.033317431192660556
ABCC12,5.0,96.0,8.0,0.033317431192660556
ABCC2,1.0,88.0,20.0,-0.07699908256880733
ABCC3,6.0,101.0,2.0,0.10723394495412844
ABCC4,4.0,80.0,25.0,-0.08161284403669727
ABCC5,2.0,96.0,11.0,0.013099082568807333
ABCC6,10.0,94.0,5.0,0.08461009174311929
ABCC8,2.0,101.0,6.0,-0.011823853211009176
ABCC9,7.0,81.0,21.0,-0.020404587155963303
ABCD1,21.0,84.0,4.0,0.1413596330275229
ABCD2,3.0,99.0,7.0,-0.006934862385321102
ABCD3,2.0,86.0,21.0,-0.06345412844036694
ABCD4,11.0,94.0,4.0,0.04621192660550459
ABCE1,3.0,95.0,11.0,-0.029001834862385334
ABCF1,2.0,103.0,4.0,0.057758715596330286
ABCF2,6.0,101.0,2.0,0.07754954128440368
ABCF3,2.0,96.0,11.0,0.013099082568807333
ABCG1,7.0,91.0,11.0,0.0019568807339449563
ABCG2,2.0,95.0,12.0,-0.05149541284403668
ABCG4,3.0,95.0,11.0,-0.0010165137614678902
ABCG5,4.0,103.0,2.0,0.03337889908256881
ABCG8,4.0,103.0,2.0,0.03337889908256881
ABHD1,2.0,106.0,1.0,0.030514678899082597
ABHD10,3.0,94.0,12.0,-0.010994495412844038
ABHD11,10.0,95.0,4.0,0.0760165137614679
ABHD12,5.0,93.0,11.0,0.009133944954128436
ABHD12B,19.0,89.0,1.0,0.11158532110091743
ABHD13,3.0,83.0,23.0,-0.07712477064220186
ABHD14A,0.0,78.0,31.0,-0.12068073394495411
ABHD14B,0.0,78.0,31.0,-0.12068073394495411
ABHD15,5.0,95.0,9.0,0.03949908256880732
ABHD16A,5.0,100.0,4.0,0.07148532110091743
ABHD16B,21.0,85.0,3.0,0.1530293577981651
ABHD17A,0.0,83.0,26.0,-0.09856422018348628
ABHD17B,1.0,82.0,26.0,-0.10475412844036697
ABHD17C,3.0,78.0,28.0,-0.10337798165137616
ABHD18,2.0,94.0,13.0,-0.04021926605504585
ABHD2,3.0,77.0,29.0,-0.09917981651376148
ABHD3,2.0,85.0,22.0,-0.07307522935779812
