Name,amplifications,neutral,deletions,average
A1BG,8.0,61.0,31.0,-0.10198900164672503
A1CF,7.0,87.0,6.0,0.04842938410594002
A3GALT2,9.0,73.0,18.0,0.04528855174609998
A4GALT,1.0,30.0,69.0,-0.3185719999999999
A4GNT,39.0,53.0,8.0,0.240896
AAAS,9.0,80.0,11.0,0.05522675907588003
AACS,10.0,67.0,23.0,-0.060984421719852556
AADAC,50.0,43.0,7.0,0.31340599999999996
AADACL2,50.0,44.0,6.0,0.32245541183433984
AADACL3,7.0,67.0,26.0,-0.04822740335387496
AADACL4,7.0,67.0,26.0,-0.042724999999999944
AADAT,4.0,45.0,51.0,-0.208249456547216
AAED1,2.0,63.0,35.0,-0.13410224663751197
AAGAB,7.0,67.0,26.0,-0.062814285127887
AAMDC,25.0,69.0,6.0,0.200854
AAMP,22.0,70.0,8.0,0.13434596285870998
AANAT,19.0,64.0,17.0,0.07604347149538895
AAR2,27.0,67.0,6.0,0.17836900000000008
AARD,60.0,33.0,7.0,0.4147230000000001
AARS,1.0,38.0,61.0,-0.2997373065960711
AARSD1,0.0,41.0,59.0,-0.26316066430595003
AASDH,5.0,71.0,24.0,-0.036114999999999856
AASDHPPT,17.0,66.0,17.0,0.08188741032225896
AASS,23.0,67.0,10.0,0.14458021924836104
AATF,3.0,29.0,68.0,-0.30147488394345007
AATK,20.0,61.0,19.0,0.08044449749935606
ABAT,7.0,64.0,29.0,-0.08924740998518008
ABCA1,4.0,61.0,35.0,-0.11075728585997004
ABCA10,10.0,67.0,23.0,-0.003299720157113622
ABCA12,12.0,78.0,10.0,0.055286641223111506
ABCA13,14.0,74.0,12.0,0.09594760892705129
ABCA3,8.0,60.0,32.0,-0.051242172530329005
ABCA4,14.0,76.0,10.0,0.08583971706547297
ABCA5,10.0,66.0,24.0,-0.007251902380811002
ABCA6,14.0,66.0,20.0,0.024971764108805992
ABCA7,0.0,25.0,75.0,-0.35748842170238604
ABCA8,13.0,65.0,22.0,0.007015896138582684
