Gene,Cancer type,Pathway
ACVR1,UCEC,TGFB signaling
ACVR1B,PANCAN,TGFB signaling
ACVR2A,COADREAD,TGFB signaling
ACVR2A,LIHC,TGFB signaling
ACVR2A,PANCAN,TGFB signaling
AJUBA,HNSC,Chromatin other
AJUBA,PANCAN,Chromatin other
AKT1,BRCA,PI3K signaling
AKT1,CESC,PI3K signaling
AKT1,PANCAN,PI3K signaling
AKT1,PRAD,PI3K signaling
AKT1,THCA,PI3K signaling
AKT1,UCEC,PI3K signaling
ALB,LIHC,Other
AMER1,COADREAD,Wnt/B-catenin signaling
AMER1,PANCAN,Wnt/B-catenin signaling
APC,COADREAD,Wnt/B-catenin signaling
APC,PANCAN,Wnt/B-catenin signaling
APC,PRAD,Wnt/B-catenin signaling
APC,STAD,Wnt/B-catenin signaling
APOB,LIHC,Other
ARHGAP35,LUSC,Other signaling
ARHGAP35,PANCAN,Other signaling
ARHGAP35,UCEC,Other signaling
ARID1A,BLCA,Chromatin SWI/SNF complex
ARID1A,BRCA,Chromatin SWI/SNF complex
ARID1A,CESC,Chromatin SWI/SNF complex
ARID1A,CHOL,Chromatin SWI/SNF complex
ARID1A,COADREAD,Chromatin SWI/SNF complex
ARID1A,ESCA,Chromatin SWI/SNF complex
ARID1A,LGG,Chromatin SWI/SNF complex
ARID1A,LIHC,Chromatin SWI/SNF complex
ARID1A,LUAD,Chromatin SWI/SNF complex
ARID1A,LUSC,Chromatin SWI/SNF complex
ARID1A,PAAD,Chromatin SWI/SNF complex
ARID1A,PANCAN,Chromatin SWI/SNF complex
ARID1A,STAD,Chromatin SWI/SNF complex
ARID1A,UCEC,Chromatin SWI/SNF complex
ARID1A,UCS,Chromatin SWI/SNF complex
ARID2,HNSC,Chromatin SWI/SNF complex
ARID2,LGG,Chromatin SWI/SNF complex
ARID2,LIHC,Chromatin SWI/SNF complex
ARID2,PANCAN,Chromatin SWI/SNF complex
ARID2,SKCM,Chromatin SWI/SNF complex
ARID2,STAD,Chromatin SWI/SNF complex
ARID5B,UCEC,Chromatin histone modifiers
ASXL1,LAML,Chromatin other
ASXL1,PANCAN,Chromatin other
ASXL2,BLCA,Chromatin other
