,Mutation,Brca_odds,Brca_pvalue
0,A1CF,inf,0.46721311475409544
1,A2M,3.5555555555555554,0.3385879483889501
2,A2ML1,1.1454545454545455,1.0
3,A4GALT,0.0,1.0
4,AACS,1.1428571428571428,1.0
5,AADACL2,inf,0.46721311475409544
6,AADACL4,inf,0.46721311475409544
7,AADAT,inf,0.46721311475409544
8,AAED1,inf,0.46721311475409544
9,AAGAB,0.0,1.0
10,AAK1,0.5625,1.0
11,AANAT,1.1428571428571428,1.0
12,AAR2,inf,0.2162308630266921
13,AASS,inf,0.46721311475409544
14,AATK,1.1454545454545455,1.0
15,ABAT,inf,0.46721311475409544
16,ABCA1,inf,0.09910581222056716
17,ABCA10,inf,0.46721311475409544
18,ABCA12,inf,0.46721311475409544
19,ABCA13,1.411764705882353,0.7535405882497154
20,ABCA2,inf,0.09910581222056716
21,ABCA3,1.1428571428571428,1.0
22,ABCA4,2.327272727272727,0.5984283972361519
23,ABCA5,inf,0.46721311475409544
24,ABCA6,0.0,0.498035496545188
25,ABCA7,2.327272727272727,0.5984283972361519
26,ABCA8,3.5555555555555554,0.3385879483889501
27,ABCA9,0.5625,1.0
28,ABCB1,inf,0.2162308630266921
29,ABCB10,0.0,1.0
30,ABCB11,1.1428571428571428,1.0
31,ABCB4,inf,0.46721311475409544
32,ABCB5,inf,0.46721311475409544
33,ABCB6,0.0,1.0
34,ABCB7,inf,0.46721311475409544
35,ABCB8,inf,0.46721311475409544
36,ABCB9,inf,0.46721311475409544
37,ABCC1,0.36904761904761907,0.622050256222261
38,ABCC10,inf,0.46721311475409544
39,ABCC11,inf,0.46721311475409544
40,ABCC12,inf,0.46721311475409544
41,ABCC2,inf,0.46721311475409544
42,ABCC3,inf,0.2162308630266921
43,ABCC4,2.327272727272727,0.5984283972361519
44,ABCC5,0.36904761904761907,0.622050256222261
45,ABCC6,0.5625,1.0
46,ABCC8,1.75,0.6636887873164217
47,ABCC9,inf,0.2162308630266921
48,ABCD1,1.1428571428571428,1.0
49,ABCD2,0.0,1.0
50,ABCD3,1.1428571428571428,1.0
51,ABCD4,inf,0.46721311475409544
52,ABCE1,inf,0.46721311475409544
53,ABCF1,0.0,1.0
54,ABCF2,inf,0.46721311475409544
55,ABCF3,inf,0.46721311475409544
56,ABCG1,1.1428571428571428,1.0
57,ABCG2,inf,0.46721311475409544
58,ABCG5,inf,0.46721311475409544
59,ABCG8,inf,0.09910581222056716
60,ABHD10,inf,0.46721311475409544
61,ABHD11,0.0,1.0
62,ABHD15,1.1428571428571428,1.0
63,ABHD17A,1.1454545454545455,1.0
64,ABHD17B,inf,0.46721311475409544
65,ABHD17C,0.0,1.0
66,ABHD2,inf,0.46721311475409544
67,ABHD5,inf,0.46721311475409544
68,ABI1,0.0,1.0
69,ABI3BP,inf,0.46721311475409544
70,ABL1,inf,0.2162308630266921
71,ABL2,inf,0.46721311475409544
72,ABLIM1,inf,0.46721311475409544
73,ABLIM2,inf,0.46721311475409544
74,ABLIM3,1.1428571428571428,1.0
75,ABRA,0.0,1.0
76,ABTB2,inf,0.46721311475409544
77,AC002365.1,1.1428571428571428,1.0
78,AC002472.13,inf,0.46721311475409544
79,AC004381.6,0.0,1.0
80,AC004466.1,0.0,1.0
81,AC005003.1,0.0,1.0
82,AC005008.2,inf,0.46721311475409544
83,AC005481.5,0.5625,1.0
84,AC006538.4,0.0,1.0
85,AC006547.14,1.1428571428571428,1.0
86,AC007040.11,inf,0.46721311475409544
87,AC008132.13,0.0,1.0
88,AC008394.1,inf,0.46721311475409544
89,AC010536.1,inf,0.46721311475409544
90,AC012313.1,inf,0.46721311475409544
91,AC013449.1,0.0,1.0
92,AC016757.3,0.0,1.0
93,AC017028.1,inf,0.46721311475409544
94,AC020922.1,inf,0.46721311475409544
95,AC021218.2,inf,0.46721311475409544
96,AC022498.1,inf,0.46721311475409544
97,AC023590.1,0.0,1.0
98,AC024560.3,inf,0.46721311475409544
99,AC024940.1,inf,0.46721311475409544
100,AC025278.1,inf,0.46721311475409544
101,AC062017.1,inf,0.46721311475409544
102,AC073333.1,1.1428571428571428,1.0
103,AC074212.3,1.1428571428571428,1.0
104,AC074389.6,1.1428571428571428,1.0
105,AC079354.1,inf,0.46721311475409544
106,AC079612.1,0.0,1.0
107,AC093802.1,0.0,1.0
108,AC104794.4,inf,0.2162308630266921
109,AC104809.3,inf,0.2162308630266921
110,AC114783.1,inf,0.46721311475409544
111,AC115618.1,inf,0.46721311475409544
112,AC120194.1,0.0,1.0
113,AC129492.6,2.327272727272727,0.5984283972361519
114,AC136604.1,inf,0.2162308630266921
115,AC174470.1,0.0,1.0
116,ACAA1,0.0,0.498035496545188
117,ACAA2,inf,0.46721311475409544
118,ACACA,0.0,0.12205424101628283
119,ACACB,3.5555555555555554,0.3385879483889501
120,ACAD10,inf,0.46721311475409544
121,ACAD9,inf,0.46721311475409544
122,ACADL,inf,0.46721311475409544
123,ACADVL,0.0,1.0
124,ACAN,1.1454545454545455,1.0
125,ACAP1,inf,0.46721311475409544
126,ACAP2,inf,0.46721311475409544
127,ACAP3,inf,0.2162308630266921
128,ACAT1,0.0,1.0
129,ACBD3,0.0,1.0
130,ACBD5,0.0,1.0
131,ACBD6,inf,0.2162308630266921
132,ACCS,inf,0.46721311475409544
133,ACCSL,0.0,1.0
134,ACE,1.1454545454545455,1.0
135,ACER1,0.0,1.0
136,ACER3,0.0,1.0
137,ACHE,inf,0.46721311475409544
138,ACIN1,1.1454545454545455,1.0
139,ACLY,0.0,1.0
140,ACMSD,0.0,1.0
141,ACO1,inf,0.46721311475409544
142,ACO2,inf,0.46721311475409544
143,ACOT11,inf,0.46721311475409544
144,ACOT12,inf,0.46721311475409544
145,ACOT2,0.0,1.0
146,ACOT6,0.0,1.0
147,ACOT8,inf,0.46721311475409544
148,ACOX1,inf,0.46721311475409544
149,ACOX2,inf,0.46721311475409544
150,ACOX3,1.1428571428571428,1.0
151,ACP6,0.0,1.0
152,ACPL2,inf,0.46721311475409544
153,ACPP,inf,0.46721311475409544
154,ACPT,inf,0.46721311475409544
155,ACR,inf,0.46721311475409544
156,ACRBP,0.0,1.0
157,ACRC,0.5625,1.0
158,ACRV1,1.1428571428571428,1.0
159,ACSBG1,inf,0.46721311475409544
160,ACSBG2,inf,0.46721311475409544
161,ACSF3,1.1428571428571428,1.0
162,ACSL1,inf,0.46721311475409544
163,ACSL3,0.0,1.0
164,ACSL4,inf,0.2162308630266921
165,ACSL6,inf,0.46721311475409544
166,ACSM1,inf,0.46721311475409544
167,ACSM2A,inf,0.46721311475409544
168,ACSM2B,inf,0.46721311475409544
169,ACSM3,0.0,1.0
170,ACSS1,inf,0.46721311475409544
171,ACSS2,inf,0.46721311475409544
172,ACSS3,inf,0.46721311475409544
173,ACTA2,inf,0.46721311475409544
174,ACTB,0.0,1.0
175,ACTBL2,inf,0.2162308630266921
176,ACTC1,inf,0.46721311475409544
177,ACTG2,1.1428571428571428,1.0
178,ACTL10,inf,0.46721311475409544
179,ACTL6A,0.0,1.0
180,ACTL6B,inf,0.46721311475409544
181,ACTL7A,inf,0.46721311475409544
182,ACTL7B,inf,0.46721311475409544
183,ACTL9,inf,0.2162308630266921
184,ACTN2,0.5625,1.0
185,ACTN4,0.5625,1.0
186,ACTR10,0.0,1.0
187,ACTR3,inf,0.46721311475409544
188,ACTR3C,inf,0.46721311475409544
189,ACTR5,inf,0.46721311475409544
190,ACTRT1,inf,0.46721311475409544
191,ACTRT2,0.36904761904761907,0.622050256222261
192,ACVR1,inf,0.46721311475409544
193,ACVR1B,0.0,1.0
194,ACVR1C,inf,0.2162308630266921
195,ACVR2B,inf,0.46721311475409544
196,ACVRL1,inf,0.2162308630266921
197,ACY3,inf,0.46721311475409544
198,ACYP2,inf,0.46721311475409544
199,ADA,1.1428571428571428,1.0
200,ADAD1,0.0,1.0
201,ADAD2,0.0,0.498035496545188
202,ADAL,0.0,1.0
203,ADAM10,1.1428571428571428,1.0
204,ADAM11,inf,0.2162308630266921
205,ADAM12,inf,0.2162308630266921
206,ADAM15,3.5555555555555554,0.3385879483889501
207,ADAM17,inf,0.46721311475409544
208,ADAM18,inf,0.46721311475409544
209,ADAM19,1.1428571428571428,1.0
210,ADAM2,inf,0.46721311475409544
211,ADAM20,1.1428571428571428,1.0
212,ADAM21,2.327272727272727,0.5984283972361519
213,ADAM22,1.1428571428571428,1.0
214,ADAM23,1.1428571428571428,1.0
215,ADAM28,0.0,1.0
216,ADAM30,inf,0.46721311475409544
217,ADAM32,inf,0.2162308630266921
218,ADAM33,inf,0.46721311475409544
219,ADAM7,0.0,1.0
220,ADAM8,2.327272727272727,0.5984283972361519
221,ADAMDEC1,inf,0.46721311475409544
222,ADAMTS1,0.0,1.0
223,ADAMTS10,3.5555555555555554,0.3385879483889501
224,ADAMTS12,2.327272727272727,0.5984283972361519
225,ADAMTS13,inf,0.2162308630266921
226,ADAMTS14,1.1428571428571428,1.0
227,ADAMTS15,1.1428571428571428,1.0
228,ADAMTS16,3.5555555555555554,0.3385879483889501
229,ADAMTS17,inf,0.04497238537740014
