	gain_event	loss_event
TCGA-3X-AAV9-01	True	True
TCGA-3X-AAVA-01	False	False
TCGA-3X-AAVB-01	False	False
TCGA-3X-AAVC-01	True	True
TCGA-3X-AAVE-01	True	False
TCGA-4G-AAZO-01	False	False
TCGA-4G-AAZT-01	True	False
TCGA-W5-AA2G-01	False	True
TCGA-W5-AA2H-01	False	False
TCGA-W5-AA2I-01	False	True
TCGA-W5-AA2O-01	False	True
TCGA-W5-AA2Q-01	False	False
TCGA-W5-AA2R-01	True	False
TCGA-W5-AA2T-01	True	False
TCGA-W5-AA2U-01	False	False
TCGA-W5-AA2W-01	False	False
TCGA-W5-AA2X-01	False	True
TCGA-W5-AA2Z-01	True	False
TCGA-W5-AA30-01	False	True
TCGA-W5-AA31-01	True	True
TCGA-W5-AA33-01	False	True
TCGA-W5-AA34-01	False	False
TCGA-W5-AA36-01	False	False
TCGA-W5-AA38-01	False	True
TCGA-W5-AA39-01	False	False
TCGA-W6-AA0S-01	False	False
TCGA-WD-A7RX-01	False	True
TCGA-YR-A95A-01	False	False
TCGA-ZD-A8I3-01	False	False
TCGA-ZH-A8Y1-01	False	False
TCGA-ZH-A8Y2-01	True	True
TCGA-ZH-A8Y4-01	False	False
TCGA-ZH-A8Y5-01	True	False
TCGA-ZH-A8Y6-01	False	False
TCGA-ZH-A8Y8-01	False	True
TCGA-ZU-A8S4-01	False	False
