	gain_event	loss_event
TCGA-CS-4938-01	False	False
TCGA-CS-4941-01	False	False
TCGA-CS-4942-01	False	False
TCGA-CS-4943-01	False	False
TCGA-CS-4944-01	False	False
TCGA-CS-5390-01	False	False
TCGA-CS-5393-01	False	False
TCGA-CS-5394-01	False	False
TCGA-CS-5395-01	False	False
TCGA-CS-5396-01	False	False
TCGA-CS-5397-01	False	False
TCGA-CS-6186-01	False	False
TCGA-CS-6188-01	False	False
TCGA-CS-6290-01	False	False
TCGA-CS-6665-01	True	False
TCGA-CS-6666-01	True	False
TCGA-CS-6667-01	False	False
TCGA-CS-6668-01	False	False
TCGA-CS-6669-01	False	False
TCGA-CS-6670-01	False	False
TCGA-DB-5270-01	False	False
TCGA-DB-5273-01	False	False
TCGA-DB-5274-01	False	False
TCGA-DB-5275-01	False	False
TCGA-DB-5276-01	False	False
TCGA-DB-5277-01	True	True
TCGA-DB-5278-01	False	False
TCGA-DB-5279-01	False	False
TCGA-DB-5280-01	False	False
TCGA-DB-5281-01	False	False
TCGA-DB-A4X9-01	False	False
TCGA-DB-A4XA-01	False	False
TCGA-DB-A4XB-01	False	False
TCGA-DB-A4XC-01	False	False
TCGA-DB-A4XD-01	False	False
TCGA-DB-A4XE-01	True	False
TCGA-DB-A4XF-01	False	False
TCGA-DB-A4XG-01	False	False
TCGA-DB-A4XH-01	False	False
TCGA-DB-A64L-01	False	False
TCGA-DB-A64O-01	False	False
TCGA-DB-A64P-01	False	False
TCGA-DB-A64Q-01	False	False
TCGA-DB-A64R-01	False	False
TCGA-DB-A64S-01	False	False
TCGA-DB-A64U-01	False	False
TCGA-DB-A64V-01	False	False
TCGA-DB-A64W-01	False	False
TCGA-DB-A64X-01	False	False
TCGA-DB-A75K-01	False	False
TCGA-DB-A75L-01	False	False
TCGA-DB-A75M-01	False	False
TCGA-DB-A75O-01	False	False
TCGA-DB-A75P-01	False	False
TCGA-DH-5140-01	False	True
TCGA-DH-5141-01	False	False
TCGA-DH-5142-01	False	False
TCGA-DH-5143-01	True	False
TCGA-DH-5144-01	False	False
TCGA-DH-A669-01	True	False
TCGA-DH-A66B-01	False	True
TCGA-DH-A66D-01	False	False
TCGA-DH-A66F-01	False	False
TCGA-DH-A66G-01	False	False
TCGA-DH-A7UR-01	False	False
TCGA-DH-A7US-01	False	False
