	gain_event	loss_event
TCGA-2A-A8VL-01	False	False
TCGA-2A-A8VO-01	False	False
TCGA-2A-A8VT-01	True	True
TCGA-2A-A8VV-01	True	True
TCGA-2A-A8VX-01	True	True
TCGA-2A-A8W1-01	True	True
TCGA-2A-A8W3-01	False	True
TCGA-2A-AAYF-01	False	False
TCGA-2A-AAYO-01	False	True
TCGA-2A-AAYU-01	False	True
TCGA-4L-AA1F-01	False	True
TCGA-CH-5737-01	False	False
TCGA-CH-5738-01	False	False
TCGA-CH-5739-01	True	True
TCGA-CH-5740-01	False	False
TCGA-CH-5741-01	False	False
TCGA-CH-5743-01	False	False
TCGA-CH-5744-01	False	True
TCGA-CH-5746-01	False	False
TCGA-CH-5748-01	False	False
TCGA-CH-5750-01	False	False
TCGA-CH-5751-01	True	True
TCGA-CH-5752-01	False	False
TCGA-CH-5753-01	True	True
TCGA-CH-5754-01	True	True
TCGA-CH-5761-01	False	True
TCGA-CH-5762-01	False	False
TCGA-CH-5763-01	False	False
TCGA-CH-5764-01	False	True
TCGA-CH-5765-01	False	True
TCGA-CH-5766-01	False	True
TCGA-CH-5767-01	False	True
TCGA-CH-5768-01	False	False
TCGA-CH-5769-01	False	False
TCGA-CH-5771-01	True	True
TCGA-CH-5772-01	False	False
TCGA-CH-5788-01	False	True
TCGA-CH-5789-01	False	False
TCGA-CH-5790-01	False	False
TCGA-CH-5791-01	False	True
TCGA-CH-5792-01	False	False
TCGA-CH-5794-01	False	False
TCGA-EJ-5494-01	False	False
TCGA-EJ-5495-01	False	False
TCGA-EJ-5496-01	False	False
TCGA-EJ-5497-01	False	False
TCGA-EJ-5498-01	False	False
TCGA-EJ-5499-01	False	True
TCGA-EJ-5501-01	False	True
TCGA-EJ-5502-01	False	False
TCGA-EJ-5503-01	False	False
TCGA-EJ-5504-01	True	False
TCGA-EJ-5505-01	False	False
TCGA-EJ-5506-01	False	False
TCGA-EJ-5507-01	False	True
TCGA-EJ-5508-01	False	False
TCGA-EJ-5509-01	True	False
