	gain_event	loss_event
TCGA-N5-A4RA-01	False	False
TCGA-N5-A4RD-01	True	False
TCGA-N5-A4RF-01	True	False
TCGA-N5-A4RJ-01	False	True
TCGA-N5-A4RM-01	True	False
TCGA-N5-A4RN-01	False	True
TCGA-N5-A4RO-01	False	True
TCGA-N5-A4RS-01	False	False
TCGA-N5-A4RT-01	False	True
TCGA-N5-A4RU-01	True	True
TCGA-N5-A4RV-01	False	False
TCGA-N5-A59E-01	True	True
TCGA-N5-A59F-01	False	True
TCGA-N6-A4V9-01	False	False
TCGA-N6-A4VC-01	True	True
TCGA-N6-A4VD-01	False	False
TCGA-N6-A4VE-01	True	False
TCGA-N6-A4VF-01	True	False
TCGA-N6-A4VG-01	True	True
TCGA-N7-A4Y0-01	True	False
TCGA-N7-A4Y5-01	True	True
TCGA-N7-A4Y8-01	True	False
TCGA-N7-A59B-01	True	False
TCGA-N8-A4PI-01	True	False
TCGA-N8-A4PL-01	False	False
TCGA-N8-A4PM-01	True	False
TCGA-N8-A4PN-01	False	True
TCGA-N8-A4PO-01	True	True
TCGA-N8-A4PP-01	True	True
TCGA-N8-A4PQ-01	True	True
TCGA-N8-A56S-01	False	False
TCGA-N9-A4PZ-01	False	False
TCGA-N9-A4Q1-01	False	True
TCGA-N9-A4Q3-01	False	True
TCGA-N9-A4Q4-01	True	True
TCGA-N9-A4Q7-01	False	True
TCGA-N9-A4Q8-01	True	True
TCGA-NA-A4QV-01	False	True
TCGA-NA-A4QW-01	False	False
TCGA-NA-A4QX-01	False	True
TCGA-NA-A4QY-01	True	True
TCGA-NA-A4R0-01	True	True
TCGA-NA-A4R1-01	False	False
TCGA-NA-A5I1-01	True	True
TCGA-ND-A4W6-01	True	True
TCGA-ND-A4WA-01	True	False
TCGA-ND-A4WC-01	False	False
TCGA-ND-A4WF-01	False	False
TCGA-NF-A4WU-01	False	False
TCGA-NF-A4WX-01	True	False
TCGA-NF-A4X2-01	True	False
TCGA-NF-A5CP-01	True	True
TCGA-NG-A4VU-01	True	True
TCGA-NG-A4VW-01	True	False
TCGA-QM-A5NM-01	True	False
TCGA-QN-A5NN-01	True	True
