Name	luad_Database_ID	brca_Database_ID	lscc_Database_ID	ovarian_Database_ID	brca_pvalue	colon_pvalue	hnscc_pvalue	lscc_pvalue	luad_pvalue	ovarian_pvalue	brca_diff	colon_diff	hnscc_diff	lscc_diff	luad_diff	ovarian_diff
ADAMDEC1	NP_055294.1|NP_001138743.1	NP_055294.1|NP_001138744.1	NP_055294.1|NP_001138743.1	NP_001138744	0.8742524168398433	0.5845904104635514	0.7556452135603325	0.8531975064022286	0.14211905851391518	0.3698053639928161	-0.12655080515297845	-0.16534373219373216	-0.08831738269985578	0.1159582798459563	-1.1674154882154881	-0.37944231023076924
AGPAT5	NP_060831.2	NP_060831.2	NP_060831.2	NP_060831	0.0013888558774507451	0.001167418258640349	0.001308773728640908	0.09501840809147419	0.00019006783925104367	0.008374569641505947	-0.8828570346320348	-0.3134795081967214	-0.2646652178186386	-0.4003029166666666	-0.9608981658692188	-0.3481305250792683
ANGPT2	NP_001112359.1|NP_001138.1|NP_001112360.1	NP_001138.1|NP_001112360.1|NP_001112359.1	NP_001112359.1|NP_001138.1	NP_001112359	0.5362941476645648		0.9157471560102826	0.7081899865270473	0.5195903123107007	0.3698053639928161	0.2356294444444444		0.021822329138252883	0.16052999999999962	-0.21979190590111686	-0.46613482692307684
ARHGEF10	NP_001295082.1|NP_055444.2|NP_001295081.1	NP_001295082.1|NP_055444.2|NP_001295081.1	NP_001295082.1	NP_001295081	0.0013578474498606346	0.5845904104635514	0.046865304125635956	0.3689965515995263	0.0020205135616092325	0.10652316031249494	-0.6698503246753245	-0.08986086956521737	-0.16105099760911656	-0.2135637500000005	-0.5782402312599685	-0.21807400810182923
ASAH1	NP_808592.2|NP_004306.3|NP_001350672.1|NP_001120977.1	NP_004306.3|NP_808592.2	NP_004306.3|NP_808592.2|NP_001350672.1|NP_001120977.1	NP_004306	0.05790637024732351	0.016162277733367165	0.04255651362956826	0.863182766093633	0.10677695520092363	0.054226184659971845	-0.6246258658008659	-0.27196282545805206	-0.2284782148409441	0.06694041666666672	-0.6212945374800636	-0.2575186920317073
ATP6V1B2	NP_001684.2	NP_001684.2	NP_001684.2	NP_001684	6.308362749079979e-05	4.8286107919496296e-08	0.01133688717506993	0.001072098584875926	5.005966596547532e-05	0.019213224844671792	-0.4295046536796536	-0.29346494696239156	-0.15617468986563665	-0.4517158333333333	-0.5811654306220099	-0.16429280001341465
BIN3	NP_061158.1|NP_001349975.1	NP_061158.1	NP_061158.1|NP_001349975.1	NP_061158	0.04170954337258804	0.08544040430054918	0.7958374720161311	0.8268740456464937	0.3230197416307206	0.27046257194646506	-0.532597132034632	-0.11953090909090922	-0.03364095668130318	0.05642875000000014	-0.20666762360446583	-0.12455236551158533
BLK	NP_001706.2|NP_001317394.1	NP_001706.2|NP_001317394.1		NP_001317394	0.23754279232188133		0.33248579467612444		0.01299997852328132	0.5359725918659292	0.3462660173160174		0.25820036405276525		-2.2691844907407406	-0.15332948278378375
BMP1	NP_006120.1|NP_001190.1	NP_006120.1|NP_001190.1	NP_006120.1|NP_001190.1	NP_006120	0.16571471349650124		0.025687417038734506	0.2199438440646412	0.13557656839074889	0.1264600208717942	-0.48996975108225094		0.41235141531508646	-0.6676937499999999	-0.7064734051036684	-0.31747801008571436
BNIP3L	NP_001317420.1|NP_004322.1	NP_004322.1|NP_001317420.1	NP_001317420.1|NP_004322.1	NP_001317420	0.01703057503509349		0.780581375615263	0.5044937632094555	0.2900092556253678	0.061621109259158896	-0.9046968750000001		-0.14100012963455555	-0.2666327922077922	-0.33794919298245607	-0.2210973667757576
CCAR2	NP_066997.3	NP_066997.3	NP_066997.3	NP_066997	8.050674787478421e-13	3.081475856268812e-05	5.530620726694621e-06	7.33646668125737e-06	3.3465457750888016e-09	1.3053238927918706e-06	-0.8739198593073593	-0.2708566538090647	-0.29887954819825424	-0.6727212499999999	-0.8463855661881978	-0.4242054402359756
CCAR2	NP_001349997.1	NP_066997.3	NP_066997.3	NP_066997	8.050674787478421e-13	3.081475856268812e-05	5.530620726694621e-06	7.33646668125737e-06	0.1156649327187183	1.3053238927918706e-06	-0.8739198593073593	-0.2708566538090647	-0.29887954819825424	-0.6727212499999999	-0.3502908374384236	-0.4242054402359756
