Name	Database_ID	start_bp	end_bp	variable	value	cancer_type_total_patients	cancer
FBXO25	ENSG00000147364	406428.0	477967.0	gain	20	122	brca
FBXO25	ENSG00000147364	406428.0	477967.0	loss	47	122	brca
TDRP	ENSG00000180190	489803.0	545781.0	gain	20	122	brca
TDRP	ENSG00000180190	489803.0	545781.0	loss	47	122	brca
ERICH1	ENSG00000104714	614746.0	738106.0	gain	20	122	brca
ERICH1	ENSG00000104714	614746.0	738106.0	loss	47	122	brca
DLGAP2	ENSG00000198010	737628.0	1708476.0	gain	19	122	brca
DLGAP2	ENSG00000198010	737628.0	1708476.0	loss	47	122	brca
CLN8	ENSG00000182372	1755778.0	1801711.0	gain	19	122	brca
CLN8	ENSG00000182372	1755778.0	1801711.0	loss	47	122	brca
ARHGEF10	ENSG00000104728	1823926.0	1958641.0	gain	18	122	brca
ARHGEF10	ENSG00000104728	1823926.0	1958641.0	loss	48	122	brca
KBTBD11	ENSG00000176595	1973677.0	2006936.0	gain	18	122	brca
KBTBD11	ENSG00000176595	1973677.0	2006936.0	loss	48	122	brca
MYOM2	ENSG00000036448	2045046.0	2165552.0	gain	18	122	brca
MYOM2	ENSG00000036448	2045046.0	2165552.0	loss	48	122	brca
CSMD1	ENSG00000183117	2935353.0	4994972.0	gain	18	122	brca
CSMD1	ENSG00000183117	2935353.0	4994972.0	loss	47	122	brca
MCPH1	ENSG00000147316	6406592.0	6648508.0	gain	17	122	brca
MCPH1	ENSG00000147316	6406592.0	6648508.0	loss	47	122	brca
ANGPT2	ENSG00000091879	6499632.0	6563409.0	gain	17	122	brca
ANGPT2	ENSG00000091879	6499632.0	6563409.0	loss	47	122	brca
AGPAT5	ENSG00000155189	6708642.0	6761503.0	gain	17	122	brca
AGPAT5	ENSG00000155189	6708642.0	6761503.0	loss	48	122	brca
XKR5	ENSG00000275591	6808517.0	6835524.0	gain	17	122	brca
XKR5	ENSG00000275591	6808517.0	6835524.0	loss	48	122	brca
DEFB1	ENSG00000164825	6870592.0	6877936.0	gain	17	122	brca
DEFB1	ENSG00000164825	6870592.0	6877936.0	loss	48	122	brca
DEFA6	ENSG00000164822	6924697.0	6926076.0	gain	17	122	brca
DEFA6	ENSG00000164822	6924697.0	6926076.0	loss	48	122	brca
DEFA4	ENSG00000164821	6935820.0	6938306.0	gain	17	122	brca
DEFA4	ENSG00000164821	6935820.0	6938306.0	loss	48	122	brca
DEFA1	ENSG00000206047	6977649.0	6980092.0	gain	15	122	brca
DEFA1	ENSG00000206047	6977649.0	6980092.0	loss	48	122	brca
DEFA1B	ENSG00000240247	6996766.0	6999198.0	gain	15	122	brca
DEFA1B	ENSG00000240247	6996766.0	6999198.0	loss	48	122	brca
DEFA3	ENSG00000239839	7015869.0	7018297.0	gain	15	122	brca
DEFA3	ENSG00000239839	7015869.0	7018297.0	loss	48	122	brca
DEFA5	ENSG00000164816	7055304.0	7056739.0	gain	16	122	brca
DEFA5	ENSG00000164816	7055304.0	7056739.0	loss	49	122	brca
USP17L1	ENSG00000230549	7332387.0	7333979.0	gain	16	122	brca
USP17L1	ENSG00000230549	7332387.0	7333979.0	loss	49	122	brca
USP17L4	ENSG00000236125	7337115.0	7338707.0	gain	16	122	brca
USP17L4	ENSG00000236125	7337115.0	7338707.0	loss	49	122	brca
ZNF705G	ENSG00000215372	7355517.0	7385558.0	gain	15	122	brca
ZNF705G	ENSG00000215372	7355517.0	7385558.0	loss	52	122	brca
DEFB4B	ENSG00000177257	7414855.0	7416863.0	gain	15	122	brca
DEFB4B	ENSG00000177257	7414855.0	7416863.0	loss	52	122	brca
DEFB103B	ENSG00000177243	7428888.0	7430348.0	gain	15	122	brca
DEFB103B	ENSG00000177243	7428888.0	7430348.0	loss	52	122	brca
SPAG11B	ENSG00000164871	7442684.0	7463674.0	gain	13	122	brca
SPAG11B	ENSG00000164871	7442684.0	7463674.0	loss	53	122	brca
DEFB104B	ENSG00000177023	7470308.0	7475082.0	gain	14	122	brca
DEFB104B	ENSG00000177023	7470308.0	7475082.0	loss	52	122	brca
DEFB106B	ENSG00000187082	7482504.0	7486400.0	gain	14	122	brca
DEFB106B	ENSG00000187082	7482504.0	7486400.0	loss	52	122	brca
DEFB105B	ENSG00000186599	7487679.0	7489593.0	gain	14	122	brca
DEFB105B	ENSG00000186599	7487679.0	7489593.0	loss	52	122	brca
DEFB107B	ENSG00000198129	7495911.0	7509311.0	gain	14	122	brca
DEFB107B	ENSG00000198129	7495911.0	7509311.0	loss	52	122	brca
PRR23D1	ENSG00000255251	7539627.0	7542450.0	gain	15	122	brca
PRR23D1	ENSG00000255251	7539627.0	7542450.0	loss	52	122	brca
PRR23D2	ENSG00000255378	7778591.0	7781413.0	gain	12	122	brca
PRR23D2	ENSG00000255378	7778591.0	7781413.0	loss	46	122	brca
DEFB107A	ENSG00000186572	7811720.0	7815716.0	gain	12	122	brca
DEFB107A	ENSG00000186572	7811720.0	7815716.0	loss	46	122	brca
DEFB105A	ENSG00000186562	7821004.0	7823880.0	gain	12	122	brca
DEFB105A	ENSG00000186562	7821004.0	7823880.0	loss	46	122	brca
DEFB106A	ENSG00000186579	7825139.0	7829053.0	gain	12	122	brca
DEFB106A	ENSG00000186579	7825139.0	7829053.0	loss	46	122	brca
DEFB104A	ENSG00000176782	7836436.0	7841242.0	gain	12	122	brca
DEFB104A	ENSG00000176782	7836436.0	7841242.0	loss	42	122	brca
SPAG11A	ENSG00000178287	7847876.0	7868867.0	gain	12	122	brca
SPAG11A	ENSG00000178287	7847876.0	7868867.0	loss	42	122	brca
DEFB103A	ENSG00000176797	7881392.0	7882663.0	gain	12	122	brca
DEFB103A	ENSG00000176797	7881392.0	7882663.0	loss	47	122	brca
DEFB4A	ENSG00000171711	7894677.0	7896716.0	gain	12	122	brca
DEFB4A	ENSG00000171711	7894677.0	7896716.0	loss	46	122	brca
ZNF705B	ENSG00000215356	7926337.0	7952413.0	gain	12	122	brca
ZNF705B	ENSG00000215356	7926337.0	7952413.0	loss	46	122	brca
USP17L8	ENSG00000237038	7971661.0	7973253.0	gain	12	122	brca
USP17L8	ENSG00000237038	7971661.0	7973253.0	loss	46	122	brca
USP17L3	ENSG00000225327	7976393.0	7977985.0	gain	12	122	brca
USP17L3	ENSG00000225327	7976393.0	7977985.0	loss	46	122	brca
CLDN23	ENSG00000253958	8701937.0	8704096.0	gain	16	122	brca
CLDN23	ENSG00000253958	8701937.0	8704096.0	loss	48	122	brca
MFHAS1	ENSG00000147324	8783354.0	8893630.0	gain	16	122	brca
MFHAS1	ENSG00000147324	8783354.0	8893630.0	loss	48	122	brca
ERI1	ENSG00000104626	9002147.0	9116746.0	gain	16	122	brca
ERI1	ENSG00000104626	9002147.0	9116746.0	loss	48	122	brca
PPP1R3B	ENSG00000173281	9136255.0	9151574.0	gain	16	122	brca
PPP1R3B	ENSG00000173281	9136255.0	9151574.0	loss	48	122	brca
TNKS	ENSG00000173273	9555912.0	9782346.0	gain	16	122	brca
TNKS	ENSG00000173273	9555912.0	9782346.0	loss	48	122	brca
MSRA	ENSG00000175806	10054292.0	10428891.0	gain	16	122	brca
MSRA	ENSG00000175806	10054292.0	10428891.0	loss	48	122	brca
PRSS55	ENSG00000184647	10525532.0	10554166.0	gain	16	122	brca
PRSS55	ENSG00000184647	10525532.0	10554166.0	loss	48	122	brca
RP1L1	ENSG00000183638	10606349.0	10712187.0	gain	16	122	brca
RP1L1	ENSG00000183638	10606349.0	10712187.0	loss	48	122	brca
C8orf74	ENSG00000171060	10672628.0	10700590.0	gain	16	122	brca
C8orf74	ENSG00000171060	10672628.0	10700590.0	loss	48	122	brca
SOX7	ENSG00000171056	10723768.0	10730511.0	gain	16	122	brca
SOX7	ENSG00000171056	10723768.0	10730511.0	loss	48	122	brca
PINX1	ENSG00000254093	10764961.0	10839884.0	gain	16	122	brca
PINX1	ENSG00000254093	10764961.0	10839884.0	loss	48	122	brca
XKR6	ENSG00000171044	10896045.0	11201833.0	gain	16	122	brca
XKR6	ENSG00000171044	10896045.0	11201833.0	loss	48	122	brca
AF131216.1	ENSG00000280273	11283481.0	11285068.0	gain	16	122	brca
AF131216.1	ENSG00000280273	11283481.0	11285068.0	loss	48	122	brca
MTMR9	ENSG00000104643	11284816.0	11328146.0	gain	16	122	brca
MTMR9	ENSG00000104643	11284816.0	11328146.0	loss	48	122	brca
SLC35G5	ENSG00000177710	11331012.0	11332360.0	gain	16	122	brca
SLC35G5	ENSG00000177710	11331012.0	11332360.0	loss	48	122	brca
FAM167A	ENSG00000154319	11421476.0	11475908.0	gain	16	122	brca
FAM167A	ENSG00000154319	11421476.0	11475908.0	loss	48	122	brca
BLK	ENSG00000136573	11486894.0	11564599.0	gain	16	122	brca
BLK	ENSG00000136573	11486894.0	11564599.0	loss	48	122	brca
GATA4	ENSG00000136574	11676959.0	11760002.0	gain	16	122	brca
GATA4	ENSG00000136574	11676959.0	11760002.0	loss	48	122	brca
NEIL2	ENSG00000154328	11769639.0	11787345.0	gain	16	122	brca
NEIL2	ENSG00000154328	11769639.0	11787345.0	loss	47	122	brca
FDFT1	ENSG00000079459	11795573.0	11839304.0	gain	16	122	brca
FDFT1	ENSG00000079459	11795573.0	11839304.0	loss	48	122	brca
CTSB	ENSG00000164733	11842524.0	11869533.0	gain	16	122	brca
CTSB	ENSG00000164733	11842524.0	11869533.0	loss	48	122	brca
DEFB136	ENSG00000205884	11973937.0	11974599.0	gain	16	122	brca
DEFB136	ENSG00000205884	11973937.0	11974599.0	loss	48	122	brca
DEFB135	ENSG00000205883	11982256.0	11984590.0	gain	16	122	brca
DEFB135	ENSG00000205883	11982256.0	11984590.0	loss	48	122	brca
DEFB134	ENSG00000205882	11993174.0	12000752.0	gain	16	122	brca
DEFB134	ENSG00000205882	11993174.0	12000752.0	loss	48	122	brca
ZNF705D	ENSG00000215343	12089338.0	12115516.0	gain	16	122	brca
ZNF705D	ENSG00000215343	12089338.0	12115516.0	loss	45	122	brca
USP17L7	ENSG00000226430	12132417.0	12134099.0	gain	16	122	brca
USP17L7	ENSG00000226430	12132417.0	12134099.0	loss	45	122	brca
USP17L2	ENSG00000223443	12136435.0	12138849.0	gain	16	122	brca
USP17L2	ENSG00000223443	12136435.0	12138849.0	loss	44	122	brca
FAM86B1	ENSG00000186523	12182096.0	12194133.0	gain	14	122	brca
FAM86B1	ENSG00000186523	12182096.0	12194133.0	loss	40	122	brca
FAM86B2	ENSG00000145002	12424411.0	12436406.0	gain	15	122	brca
FAM86B2	ENSG00000145002	12424411.0	12436406.0	loss	37	122	brca
LONRF1	ENSG00000154359	12721906.0	12756073.0	gain	16	122	brca
LONRF1	ENSG00000154359	12721906.0	12756073.0	loss	49	122	brca
DLC1	ENSG00000164741	13083361.0	13604610.0	gain	16	122	brca
DLC1	ENSG00000164741	13083361.0	13604610.0	loss	50	122	brca
C8orf48	ENSG00000164743	13566869.0	13568288.0	gain	16	122	brca
C8orf48	ENSG00000164743	13566869.0	13568288.0	loss	50	122	brca
SGCZ	ENSG00000185053	14084845.0	15238431.0	gain	16	122	brca
SGCZ	ENSG00000185053	14084845.0	15238431.0	loss	50	122	brca
TUSC3	ENSG00000104723	15417215.0	15766649.0	gain	16	122	brca
TUSC3	ENSG00000104723	15417215.0	15766649.0	loss	50	122	brca
MSR1	ENSG00000038945	16107878.0	16567490.0	gain	17	122	brca
MSR1	ENSG00000038945	16107878.0	16567490.0	loss	50	122	brca
FGF20	ENSG00000078579	16992181.0	17002345.0	gain	17	122	brca
FGF20	ENSG00000078579	16992181.0	17002345.0	loss	50	122	brca
MICU3	ENSG00000155970	17027238.0	17122642.0	gain	17	122	brca
MICU3	ENSG00000155970	17027238.0	17122642.0	loss	50	122	brca
ZDHHC2	ENSG00000104219	17156482.0	17224799.0	gain	17	122	brca
ZDHHC2	ENSG00000104219	17156482.0	17224799.0	loss	50	122	brca
CNOT7	ENSG00000198791	17224966.0	17246878.0	gain	17	122	brca
CNOT7	ENSG00000198791	17224966.0	17246878.0	loss	50	122	brca
VPS37A	ENSG00000155975	17246931.0	17302427.0	gain	17	122	brca
VPS37A	ENSG00000155975	17246931.0	17302427.0	loss	50	122	brca
MTMR7	ENSG00000003987	17296794.0	17413528.0	gain	17	122	brca
MTMR7	ENSG00000003987	17296794.0	17413528.0	loss	50	122	brca
SLC7A2	ENSG00000003989	17497088.0	17570573.0	gain	17	122	brca
SLC7A2	ENSG00000003989	17497088.0	17570573.0	loss	50	122	brca
PDGFRL	ENSG00000104213	17576433.0	17644071.0	gain	17	122	brca
PDGFRL	ENSG00000104213	17576433.0	17644071.0	loss	49	122	brca
MTUS1	ENSG00000129422	17643795.0	17801094.0	gain	17	122	brca
MTUS1	ENSG00000129422	17643795.0	17801094.0	loss	50	122	brca
FGL1	ENSG00000104760	17864380.0	17910365.0	gain	17	122	brca
FGL1	ENSG00000104760	17864380.0	17910365.0	loss	50	122	brca
PCM1	ENSG00000078674	17922968.0	18029948.0	gain	17	122	brca
PCM1	ENSG00000078674	17922968.0	18029948.0	loss	50	122	brca
ASAH1	ENSG00000104763	18055992.0	18084998.0	gain	15	122	brca
ASAH1	ENSG00000104763	18055992.0	18084998.0	loss	50	122	brca
NAT1	ENSG00000171428	18170477.0	18223689.0	gain	15	122	brca
NAT1	ENSG00000171428	18170477.0	18223689.0	loss	50	122	brca
NAT2	ENSG00000156006	18391282.0	18401218.0	gain	15	122	brca
NAT2	ENSG00000156006	18391282.0	18401218.0	loss	50	122	brca
PSD3	ENSG00000156011	18527303.0	19084730.0	gain	15	122	brca
PSD3	ENSG00000156011	18527303.0	19084730.0	loss	50	122	brca
SH2D4A	ENSG00000104611	19313693.0	19396218.0	gain	15	122	brca
SH2D4A	ENSG00000104611	19313693.0	19396218.0	loss	49	122	brca
CSGALNACT1	ENSG00000147408	19404161.0	19758029.0	gain	15	122	brca
CSGALNACT1	ENSG00000147408	19404161.0	19758029.0	loss	48	122	brca
INTS10	ENSG00000104613	19817391.0	19852083.0	gain	15	122	brca
INTS10	ENSG00000104613	19817391.0	19852083.0	loss	49	122	brca
LPL	ENSG00000175445	19901717.0	19967259.0	gain	15	122	brca
LPL	ENSG00000175445	19901717.0	19967259.0	loss	49	122	brca
SLC18A1	ENSG00000036565	20144855.0	20183206.0	gain	15	122	brca
SLC18A1	ENSG00000036565	20144855.0	20183206.0	loss	49	122	brca
ATP6V1B2	ENSG00000147416	20197381.0	20226819.0	gain	15	122	brca
ATP6V1B2	ENSG00000147416	20197381.0	20226819.0	loss	49	122	brca
LZTS1	ENSG00000061337	20246165.0	20303963.0	gain	16	122	brca
LZTS1	ENSG00000061337	20246165.0	20303963.0	loss	48	122	brca
GFRA2	ENSG00000168546	21690398.0	21812357.0	gain	16	122	brca
GFRA2	ENSG00000168546	21690398.0	21812357.0	loss	48	122	brca
