,index,gain,neutral,loss,chromo,location
0,A1BG,33,60,5,19.0,58349335.0
1,A1CF,0,23,75,10.0,50842542.0
2,A2M,4,91,3,12.0,9091946.5
3,A2ML1,4,91,3,12.0,8854811.0
4,A3GALT2,4,88,6,1.0,33313932.0
5,A4GALT,1,74,23,22.0,42706709.5
6,A4GNT,4,89,5,3.0,138128051.5
7,AAAS,3,88,7,12.0,53316160.0
8,AACS,2,92,4,12.0,125104383.5
9,AADAC,4,90,4,3.0,151821280.5
10,AADACL2,4,90,4,3.0,151747627.5
11,AADACL3,5,85,8,1.0,12722435.0
12,AADACL4,5,85,8,1.0,12655816.5
13,AADAT,2,90,6,4.0,170075960.5
14,AAGAB,3,89,6,15.0,67227931.0
15,AAK1,1,95,2,2.0,69566173.0
16,AAMDC,3,87,8,11.0,77869770.5
17,AAMP,2,94,2,2.0,218267190.0
18,AANAT,5,89,4,17.0,76461734.0
19,AAR2,32,66,0,20.0,36253688.5
20,AARD,4,89,5,8.0,116941347.0
21,AARS,2,91,5,,
22,AARS2,3,88,7,6.0,44306039.0
23,AARSD1,3,85,10,17.0,42957512.0
24,AASDH,10,85,3,4.0,56362897.5
25,AASDHPPT,3,86,9,11.0,106087100.0
26,AASS,77,20,1,7.0,122108902.0
27,AATF,2,85,11,17.0,37002912.5
28,AATK,4,90,4,17.0,81138354.0
29,ABAT,5,92,1,16.0,8729585.5
30,ABCA1,10,80,8,9.0,104854580.5
31,ABCA10,4,89,5,17.0,69196030.0
32,ABCA12,2,93,3,2.0,215035084.0
33,ABCA13,68,29,1,7.0,48409477.5
34,ABCA2,12,79,7,9.0,137018078.0
35,ABCA3,7,90,1,16.0,2308313.5
36,ABCA4,3,89,6,1.0,94056991.0
37,ABCA5,5,88,5,17.0,69285777.5
38,ABCA6,4,89,5,17.0,69110298.5
39,ABCA7,39,58,1,19.0,1052784.5
40,ABCA8,4,89,5,17.0,68911340.5
41,ABCA9,4,89,5,17.0,69017718.5
42,ABCB1,79,19,0,7.0,87608170.0
