protein	cancers	mean_simp_change	num_cancers	overlap_size	pvals	adj_p
ARFGEF1	brca_colon_hnscc_luad	1	4	4	6.371090539567658e-07	1.2742181079135315e-05
HGH1	brca_colon_hnscc_luad	1	4	4	6.371090539567658e-07	1.2742181079135315e-05
STAU2	brca_colon_hnscc_luad	1	4	4	6.371090539567658e-07	1.2742181079135315e-05
YTHDF3	brca_colon_hnscc_luad	1	4	4	6.371090539567658e-07	1.2742181079135315e-05
MRPL15	brca_colon_hnscc	1	3	3	0.0001586401544352347	0.0007932007721761734
MRPL39	brca_colon_hnscc	1	3	3	0.0001586401544352347	0.0007932007721761734
MRPL45	brca_colon_hnscc	1	3	3	0.0001586401544352347	0.0007932007721761734
AGO2	brca_colon_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
CYC1	brca_colon_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
PTK2	brca_colon_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
TMEM70	brca_colon_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
UQCC2	brca_colon_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
UQCRH	brca_colon_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
HSF1	brca_hnscc_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
MTFR1	brca_hnscc_luad	1	3	3	0.0001586401544352347	0.0007932007721761734
ZBTB10	brca_luad_ovarian	1	3	3	0.0001586401544352347	0.0007932007721761734
AKAP1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
ANKFY1	brca_colon	-1	2	2	0.023503590109519048	0.023503590109519048
BOP1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
C8orf82	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
COL4A3BP	brca_colon	-1	2	2	0.023503590109519048	0.023503590109519048
COQ8A	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
DAP3	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
DDX27	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
DNAJC19	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
FBL	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
GGH	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
HSPD1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
HSPE1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
LRPPRC	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
LYRM4	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MALSU1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL10	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL17	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL19	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL3	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL4	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL44	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL47	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL49	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPL53	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPS18A	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPS27	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPS31	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPS6	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
MRPS7	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
NDUFAF4	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
PNPT1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
PRKDC	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
PRR15	brca_colon	0	2	2	0.023503590109519048	0.023503590109519048
PTCD3	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
PYCRL	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
RDH10	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
RRS1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
SMC1A	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
SMC3	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
TIMM13	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
TIMM8A	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
TOMM70	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
UQCR10	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
VCPIP1	brca_colon	1	2	2	0.023503590109519048	0.023503590109519048
XPNPEP1	brca_colon	-1	2	2	0.023503590109519048	0.023503590109519048
DDX28	brca_hnscc	1	2	2	0.023503590109519048	0.023503590109519048
LACTB2	brca_hnscc	1	2	2	0.023503590109519048	0.023503590109519048
MAPKAPK2	brca_hnscc	-1	2	2	0.023503590109519048	0.023503590109519048
UQCC3	brca_hnscc	1	2	2	0.023503590109519048	0.023503590109519048
CHRAC1	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
GGCT	brca_luad	0	2	2	0.023503590109519048	0.023503590109519048
NCOA2	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
PHF20L1	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
RB1CC1	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
REXO4	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
THOC1	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
THOC5	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
THOC7	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
TOMM22	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
UBE2W	brca_luad	1	2	2	0.023503590109519048	0.023503590109519048
FAM84B	colon_luad	1	2	2	0.023503590109519048	0.023503590109519048
THEM6	colon_luad	1	2	2	0.023503590109519048	0.023503590109519048
UQCC1	colon_luad	1	2	2	0.023503590109519048	0.023503590109519048
