	gain_event	loss_event
TCGA-KL-8323-01	False	False
TCGA-KL-8324-01	True	False
TCGA-KL-8325-01	False	False
TCGA-KL-8326-01	False	False
TCGA-KL-8327-01	False	True
TCGA-KL-8328-01	False	False
TCGA-KL-8329-01	False	False
TCGA-KL-8330-01	False	False
TCGA-KL-8331-01	True	False
TCGA-KL-8332-01	False	False
TCGA-KL-8333-01	False	False
TCGA-KL-8334-01	False	False
TCGA-KL-8335-01	False	False
TCGA-KL-8336-01	False	False
TCGA-KL-8337-01	False	True
TCGA-KL-8338-01	False	False
TCGA-KL-8339-01	True	False
TCGA-KL-8340-01	False	False
TCGA-KL-8341-01	False	False
TCGA-KL-8342-01	False	False
TCGA-KL-8343-01	False	False
TCGA-KL-8344-01	False	False
TCGA-KL-8345-01	False	False
TCGA-KL-8346-01	True	False
TCGA-KM-8438-01	True	False
TCGA-KM-8439-01	False	False
TCGA-KM-8440-01	False	False
TCGA-KM-8441-01	False	False
TCGA-KM-8442-01	False	False
TCGA-KM-8443-01	True	False
TCGA-KM-8476-01	False	True
TCGA-KM-8477-01	False	False
TCGA-KM-8639-01	False	False
TCGA-KN-8418-01	False	False
TCGA-KN-8419-01	True	False
TCGA-KN-8421-01	False	False
TCGA-KN-8422-01	False	False
TCGA-KN-8423-01	True	False
TCGA-KN-8424-01	False	True
TCGA-KN-8425-01	False	False
TCGA-KN-8426-01	True	False
TCGA-KN-8427-01	True	False
TCGA-KN-8428-01	True	False
TCGA-KN-8429-01	False	False
TCGA-KN-8430-01	True	False
TCGA-KN-8431-01	False	False
TCGA-KN-8432-01	False	True
TCGA-KN-8433-01	True	False
TCGA-KN-8434-01	False	False
TCGA-KN-8435-01	False	True
TCGA-KN-8436-01	False	True
TCGA-KN-8437-01	False	False
TCGA-KO-8403-01	False	False
TCGA-KO-8404-01	False	False
TCGA-KO-8405-01	True	False
TCGA-KO-8406-01	False	False
TCGA-KO-8407-01	False	False
TCGA-KO-8408-01	False	False
TCGA-KO-8409-01	True	False
TCGA-KO-8410-01	True	False
TCGA-KO-8411-01	False	True
TCGA-KO-8413-01	True	False
TCGA-KO-8414-01	False	True
TCGA-KO-8415-01	True	False
TCGA-KO-8416-01	False	True
TCGA-KO-8417-01	False	True
